Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Mississippi","Adams",28001,30693,2002,11,6522.66,358.39,0.0055
"US","Mississippi","Alcorn",28003,36953,3697,32,10004.60,865.96,0.0087
"US","Mississippi","Amite",28005,12296,973,5,7913.14,406.64,0.0051
"US","Mississippi","Attala",28007,18174,1249,8,6872.46,440.19,0.0064
"US","Mississippi","Benton",28009,8259,674,7,8160.79,847.56,0.0104
"US","Mississippi","Bolivar",28011,30627,2352,9,7679.50,293.86,0.0038
"US","Mississippi","Calhoun",28013,14360,1606,8,11183.84,557.10,0.0050
"US","Mississippi","Carroll",28015,9947,750,7,7539.96,703.73,0.0093
"US","Mississippi","Chickasaw",28017,17103,2264,18,13237.44,1052.45,0.0080
"US","Mississippi","Choctaw",28019,8209,601,1,7321.23,121.82,0.0017
"US","Mississippi","Claiborne",28021,8988,749,7,8333.33,778.82,0.0093
"US","Mississippi","Clarke",28023,15541,1019,3,6556.85,193.04,0.0029
"US","Mississippi","Clay",28025,19316,1712,12,8863.12,621.25,0.0070
"US","Mississippi","Coahoma",28027,22124,1959,10,8854.64,452.00,0.0051
"US","Mississippi","Copiah",28029,28064,2113,8,7529.22,285.06,0.0038
"US","Mississippi","Covington",28031,18636,2460,4,13200.26,214.64,0.0016
"US","Mississippi","DeSoto",28033,184945,15240,78,8240.29,421.75,0.0051
"US","Mississippi","Forrest",28035,74896,7091,29,9467.80,387.20,0.0041
"US","Mississippi","Franklin",28037,7712,609,7,7896.78,907.68,0.0115
"US","Mississippi","George",28039,24500,1749,1,7138.78,40.82,0.0006
"US","Mississippi","Greene",28041,13585,766,2,5638.57,147.22,0.0026
"US","Mississippi","Grenada",28043,20758,1530,14,7370.65,674.44,0.0092
"US","Mississippi","Hancock",28045,47631,3593,15,7543.41,314.92,0.0042
"US","Mississippi","Harrison",28047,208080,14932,56,7176.09,269.13,0.0038
"US","Mississippi","Hinds",28049,231840,18381,78,7928.31,336.44,0.0042
"US","Mississippi","Holmes",28051,17009,1555,10,9142.22,587.92,0.0064
"US","Mississippi","Humphreys",28053,8063,644,1,7987.10,124.02,0.0016
"US","Mississippi","Issaquena",28055,1327,56,1,4220.05,753.58,0.0179
"US","Mississippi","Itawamba",28057,23390,2366,20,10115.43,855.07,0.0085
"US","Mississippi","Jackson",28059,143616,10573,23,7361.99,160.15,0.0022
"US","Mississippi","Jasper",28061,16383,1207,2,7367.39,122.08,0.0017
"US","Mississippi","Jefferson",28063,6990,452,1,6466.38,143.06,0.0022
"US","Mississippi","Jefferson Davis",28065,11128,967,2,8689.79,179.73,0.0021
"US","Mississippi","Jones",28067,68097,6370,23,9354.30,337.75,0.0036
"US","Mississippi","Kemper",28069,9741,663,3,6806.28,307.98,0.0045
"US","Mississippi","Lafayette",28071,54019,5599,29,10364.87,536.85,0.0052
"US","Mississippi","Lamar",28073,63342,5808,6,9169.27,94.72,0.0010
"US","Mississippi","Lauderdale",28075,74125,5822,15,7854.30,202.36,0.0026
"US","Mississippi","Lawrence",28077,12585,1223,6,9717.92,476.76,0.0049
"US","Mississippi","Leake",28079,22786,1793,15,7868.87,658.30,0.0084
"US","Mississippi","Lee",28081,85435,9706,35,11360.68,409.67,0.0036
"US","Mississippi","Leflore",28083,28183,2432,12,8629.32,425.79,0.0049
"US","Mississippi","Lincoln",28085,34153,2242,11,6564.58,322.08,0.0049
"US","Mississippi","Lowndes",28087,58594,5512,24,9407.11,409.60,0.0044
"US","Mississippi","Madison",28089,106271,8287,22,7797.99,207.02,0.0027
"US","Mississippi","Marion",28091,24573,2458,20,10002.85,813.90,0.0081
"US","Mississippi","Marshall",28093,35293,3031,17,8588.11,481.68,0.0056
"US","Mississippi","Monroe",28095,35252,3404,18,9656.19,510.61,0.0053
"US","Mississippi","Montgomery",28097,9775,1028,9,10516.62,920.72,0.0088
"US","Mississippi","Neshoba",28099,29117,3266,13,11216.81,446.47,0.0040
"US","Mississippi","Newton",28101,21018,1844,11,8773.43,523.36,0.0060
"US","Mississippi","Noxubee",28103,10416,778,6,7469.28,576.04,0.0077
"US","Mississippi","Oktibbeha",28105,49587,3128,18,6308.10,363.00,0.0058
"US","Mississippi","Panola",28107,34192,3307,16,9671.85,467.95,0.0048
"US","Mississippi","Pearl River",28109,55535,4648,11,8369.50,198.07,0.0024
"US","Mississippi","Perry",28111,11973,810,2,6765.22,167.04,0.0025
"US","Mississippi","Pike",28113,39288,2859,13,7277.03,330.89,0.0045
"US","Mississippi","Pontotoc",28115,32174,2924,18,9088.08,559.46,0.0062
"US","Mississippi","Prentiss",28117,25126,2845,12,11322.93,477.59,0.0042
"US","Mississippi","Quitman",28119,6791,444,1,6538.07,147.25,0.0023
"US","Mississippi","Rankin",28121,155271,12613,52,8123.22,334.90,0.0041
"US","Mississippi","Scott",28123,28124,1609,8,5721.09,284.45,0.0050
"US","Mississippi","Sharkey",28125,4320,261,0,6041.67,0.00,0.0000
"US","Mississippi","Simpson",28127,26658,2044,17,7667.49,637.71,0.0083
"US","Mississippi","Smith",28129,15916,1174,13,7376.23,816.79,0.0111
"US","Mississippi","Stone",28131,18336,1545,2,8426.05,109.08,0.0013
"US","Mississippi","Sunflower",28133,25110,1350,9,5376.34,358.42,0.0067
"US","Mississippi","Tallahatchie",28135,13809,783,3,5670.22,217.25,0.0038
"US","Mississippi","Tate",28137,28321,2269,18,8011.72,635.57,0.0079
"US","Mississippi","Tippah",28139,22015,2029,16,9216.44,726.78,0.0079
"US","Mississippi","Tishomingo",28141,19382,2072,15,10690.33,773.91,0.0072
"US","Mississippi","Tunica",28143,9632,832,4,8637.87,415.28,0.0048
"US","Mississippi","Unassigned",90028,-1,0,0,0.00,0.00,0.0000
"US","Mississippi","Union",28145,28815,2868,15,9953.15,520.56,0.0052
"US","Mississippi","Walthall",28147,14285,1172,8,8204.41,560.03,0.0068
"US","Mississippi","Warren",28149,45381,2979,14,6564.42,308.50,0.0047
"US","Mississippi","Washington",28151,43909,2194,15,4996.70,341.62,0.0068
"US","Mississippi","Wayne",28153,20183,1135,7,5623.54,346.83,0.0062
"US","Mississippi","Webster",28155,9689,931,11,9608.83,1135.31,0.0118
"US","Mississippi","Wilkinson",28157,8630,696,2,8064.89,231.75,0.0029
"US","Mississippi","Winston",28159,17955,1697,7,9451.41,389.86,0.0041
"US","Mississippi","Yalobusha",28161,12108,1477,3,12198.55,247.77,0.0020
"US","Mississippi","Yazoo",28163,29690,3325,7,11199.06,235.77,0.0021
