Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Nebraska","Adams",31001,31362,2140,0,6823.54,0.00,0.0000
"US","Nebraska","Antelope",31003,6297,295,0,4684.77,0.00,0.0000
"US","Nebraska","Arthur",31005,462,5,0,1082.25,0.00,0.0000
"US","Nebraska","Banner",31007,745,33,0,4429.53,0.00,0.0000
"US","Nebraska","Blaine",31009,465,21,0,4516.13,0.00,0.0000
"US","Nebraska","Boone",31011,5192,303,0,5835.90,0.00,0.0000
"US","Nebraska","Box Butte",31013,10783,623,0,5777.61,0.00,0.0000
"US","Nebraska","Boyd",31015,1919,126,0,6565.92,0.00,0.0000
"US","Nebraska","Brown",31017,2955,155,0,5245.35,0.00,0.0000
"US","Nebraska","Buffalo",31019,49659,3496,0,7040.01,0.00,0.0000
"US","Nebraska","Burt",31021,6458,444,0,6875.19,0.00,0.0000
"US","Nebraska","Butler",31023,8016,675,0,8420.66,0.00,0.0000
"US","Nebraska","Cass",31025,26248,2180,0,8305.39,0.00,0.0000
"US","Nebraska","Cedar",31027,8402,452,0,5379.67,0.00,0.0000
"US","Nebraska","Chase",31029,3924,167,0,4255.86,0.00,0.0000
"US","Nebraska","Cherry",31031,5689,130,0,2285.11,0.00,0.0000
"US","Nebraska","Cheyenne",31033,8909,551,0,6184.76,0.00,0.0000
"US","Nebraska","Clay",31035,6202,477,0,7691.07,0.00,0.0000
"US","Nebraska","Colfax",31037,10709,780,0,7283.59,0.00,0.0000
"US","Nebraska","Cuming",31039,8846,562,0,6353.15,0.00,0.0000
"US","Nebraska","Custer",31041,10777,660,0,6124.15,0.00,0.0000
"US","Nebraska","Dakota",31043,20026,1685,0,8414.06,0.00,0.0000
"US","Nebraska","Dawes",31045,8589,232,0,2701.13,0.00,0.0000
"US","Nebraska","Dawson",31047,23595,1199,0,5081.59,0.00,0.0000
"US","Nebraska","Deuel",31049,1794,100,0,5574.14,0.00,0.0000
"US","Nebraska","Dixon",31051,5636,336,0,5961.67,0.00,0.0000
"US","Nebraska","Dodge",31053,36565,3495,0,9558.32,0.00,0.0000
"US","Nebraska","Douglas",31055,571326,52007,0,9102.86,0.00,0.0000
"US","Nebraska","Dundy",31057,1693,92,0,5434.14,0.00,0.0000
"US","Nebraska","Fillmore",31059,5462,365,0,6682.53,0.00,0.0000
"US","Nebraska","Franklin",31061,2979,70,0,2349.78,0.00,0.0000
"US","Nebraska","Frontier",31063,2627,132,0,5024.74,0.00,0.0000
"US","Nebraska","Furnas",31065,4676,378,0,8083.83,0.00,0.0000
"US","Nebraska","Gage",31067,21512,869,0,4039.61,0.00,0.0000
"US","Nebraska","Garden",31069,1837,138,0,7512.25,0.00,0.0000
"US","Nebraska","Garfield",31071,1969,114,0,5789.74,0.00,0.0000
"US","Nebraska","Gosper",31073,1990,101,0,5075.38,0.00,0.0000
"US","Nebraska","Grant",31075,623,25,0,4012.84,0.00,0.0000
"US","Nebraska","Greeley",31077,2356,112,0,4753.82,0.00,0.0000
"US","Nebraska","Hall",31079,61352,5368,0,8749.51,0.00,0.0000
"US","Nebraska","Hamilton",31081,9324,802,0,8601.46,0.00,0.0000
"US","Nebraska","Harlan",31083,3380,90,0,2662.72,0.00,0.0000
"US","Nebraska","Hayes",31085,921,24,0,2605.86,0.00,0.0000
"US","Nebraska","Hitchcock",31087,2761,153,0,5541.47,0.00,0.0000
"US","Nebraska","Holt",31089,10067,754,0,7489.82,0.00,0.0000
"US","Nebraska","Hooker",31091,682,27,0,3958.94,0.00,0.0000
"US","Nebraska","Howard",31093,6444,395,0,6129.73,0.00,0.0000
"US","Nebraska","Jefferson",31095,7046,342,0,4853.82,0.00,0.0000
"US","Nebraska","Johnson",31097,5071,161,0,3174.92,0.00,0.0000
"US","Nebraska","Kearney",31099,6495,313,0,4819.09,0.00,0.0000
"US","Nebraska","Keith",31101,8034,470,0,5850.14,0.00,0.0000
"US","Nebraska","Keya Paha",31103,806,35,0,4342.43,0.00,0.0000
"US","Nebraska","Kimball",31105,3631,167,0,4599.28,0.00,0.0000
"US","Nebraska","Knox",31107,8332,483,0,5796.93,0.00,0.0000
"US","Nebraska","Lancaster",31109,319090,29410,0,9216.84,0.00,0.0000
"US","Nebraska","Lincoln",31111,34913,2663,0,7627.53,0.00,0.0000
"US","Nebraska","Logan",31113,747,40,0,5354.75,0.00,0.0000
"US","Nebraska","Loup",31115,664,27,0,4066.27,0.00,0.0000
"US","Nebraska","Madison",31119,35099,3358,0,9567.22,0.00,0.0000
"US","Nebraska","McPherson",31117,493,17,0,3448.28,0.00,0.0000
"US","Nebraska","Merrick",31121,7755,539,0,6950.35,0.00,0.0000
"US","Nebraska","Morrill",31123,4641,379,0,8166.34,0.00,0.0000
"US","Nebraska","Nance",31125,3519,226,0,6422.28,0.00,0.0000
"US","Nebraska","Nemaha",31127,6971,510,0,7316.02,0.00,0.0000
"US","Nebraska","Nuckolls",31129,4148,303,0,7304.73,0.00,0.0000
"US","Nebraska","Otoe",31131,16012,1173,0,7325.76,0.00,0.0000
"US","Nebraska","Pawnee",31133,2613,100,0,3827.02,0.00,0.0000
"US","Nebraska","Perkins",31135,2891,150,0,5188.52,0.00,0.0000
"US","Nebraska","Phelps",31137,9034,805,0,8910.78,0.00,0.0000
"US","Nebraska","Pierce",31139,7147,429,0,6002.52,0.00,0.0000
"US","Nebraska","Platte",31141,33470,2760,0,8246.19,0.00,0.0000
"US","Nebraska","Polk",31143,5213,347,0,6656.44,0.00,0.0000
"US","Nebraska","Red Willow",31145,10724,602,0,5613.58,0.00,0.0000
"US","Nebraska","Richardson",31147,7864,781,0,9931.33,0.00,0.0000
"US","Nebraska","Rock",31149,1357,36,0,2652.91,0.00,0.0000
"US","Nebraska","Saline",31151,14224,1119,0,7866.99,0.00,0.0000
"US","Nebraska","Sarpy",31153,187196,18663,0,9969.76,0.00,0.0000
"US","Nebraska","Saunders",31155,21578,1517,0,7030.31,0.00,0.0000
"US","Nebraska","Scotts Bluff",31157,35617,2814,0,7900.72,0.00,0.0000
"US","Nebraska","Seward",31159,17284,706,0,4084.70,0.00,0.0000
"US","Nebraska","Sheridan",31161,5246,189,0,3602.74,0.00,0.0000
"US","Nebraska","Sherman",31163,3001,192,0,6397.87,0.00,0.0000
"US","Nebraska","Sioux",31165,1166,18,0,1543.74,0.00,0.0000
"US","Nebraska","Stanton",31167,5920,201,0,3395.27,0.00,0.0000
"US","Nebraska","Thayer",31169,5003,330,0,6596.04,0.00,0.0000
"US","Nebraska","Thomas",31171,722,30,0,4155.12,0.00,0.0000
"US","Nebraska","Thurston",31173,7224,580,0,8028.79,0.00,0.0000
"US","Nebraska","Unassigned",90031,-1,117,771,0.00,0.00,6.5897
"US","Nebraska","Valley",31175,4158,231,0,5555.56,0.00,0.0000
"US","Nebraska","Washington",31177,20729,1513,0,7298.95,0.00,0.0000
"US","Nebraska","Wayne",31179,9385,406,0,4326.05,0.00,0.0000
"US","Nebraska","Webster",31181,3487,187,0,5362.78,0.00,0.0000
"US","Nebraska","Wheeler",31183,783,45,0,5747.13,0.00,0.0000
"US","Nebraska","York",31185,13679,1209,0,8838.37,0.00,0.0000
