Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","New Mexico","Bernalillo",35001,679121,61021,405,8985.29,596.36,0.0066
"US","New Mexico","Catron",35003,3527,161,6,4564.79,1701.16,0.0373
"US","New Mexico","Chaves",35005,64615,8002,70,12384.12,1083.34,0.0087
"US","New Mexico","Cibola",35006,26675,2728,27,10226.80,1012.18,0.0099
"US","New Mexico","Colfax",35007,11941,910,12,7620.80,1004.94,0.0132
"US","New Mexico","Curry",35009,48954,4621,41,9439.47,837.52,0.0089
"US","New Mexico","De Baca",35011,1748,275,2,15732.27,1144.16,0.0073
"US","New Mexico","Dona Ana",35013,218194,28654,136,13132.35,623.30,0.0047
"US","New Mexico","Eddy",35015,58460,5482,40,9377.35,684.23,0.0073
"US","New Mexico","Grant",35017,26998,3310,19,12260.17,703.76,0.0057
"US","New Mexico","Guadalupe",35019,4299,404,1,9397.53,232.61,0.0025
"US","New Mexico","Harding",35021,625,28,1,4480.00,1600.00,0.0357
"US","New Mexico","Hidalgo",35023,4198,428,1,10195.33,238.21,0.0023
"US","New Mexico","Lea",35025,71070,5126,33,7212.61,464.33,0.0064
"US","New Mexico","Lincoln",35027,19571,1923,23,9825.76,1175.21,0.0120
"US","New Mexico","Los Alamos",35028,19369,1657,3,8554.91,154.89,0.0018
"US","New Mexico","Luna",35029,23709,2301,16,9705.18,674.85,0.0070
"US","New Mexico","McKinley",35031,71367,9220,47,12919.14,658.57,0.0051
"US","New Mexico","Mora",35033,4521,329,5,7277.15,1105.95,0.0152
"US","New Mexico","Otero",35035,67490,5553,56,8227.89,829.75,0.0101
"US","New Mexico","Quay",35037,8253,878,16,10638.56,1938.69,0.0182
"US","New Mexico","Rio Arriba",35039,38921,4334,27,11135.38,693.71,0.0062
"US","New Mexico","Roosevelt",35041,18500,1966,18,10627.03,972.97,0.0092
"US","New Mexico","San Juan",35045,123958,16060,138,12956.00,1113.28,0.0086
"US","New Mexico","San Miguel",35047,27277,2687,19,9850.79,696.56,0.0071
"US","New Mexico","Sandoval",35043,146748,14833,72,10107.80,490.64,0.0049
"US","New Mexico","Santa Fe",35049,150358,13087,63,8703.89,419.00,0.0048
"US","New Mexico","Sierra",35051,10791,828,12,7673.06,1112.04,0.0145
"US","New Mexico","Socorro",35053,16636,1859,16,11174.56,961.77,0.0086
"US","New Mexico","Taos",35055,32723,2543,15,7771.29,458.39,0.0059
"US","New Mexico","Torrance",35057,15460,1074,28,6946.96,1811.13,0.0261
"US","New Mexico","Unassigned",90035,-1,1246,0,0.00,0.00,0.0000
"US","New Mexico","Union",35059,4058,379,0,9339.58,0.00,0.0000
"US","New Mexico","Valencia",35061,76687,8114,84,10580.67,1095.36,0.0104
"US","New Mexico","Doña Ana",35013,-1,0,0,0.00,0.00,0.0000
