Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","New York","Albany",36001,305506,24572,91,8043.05,297.87,0.0037
"US","New York","Allegany",36003,46090,3481,40,7552.61,867.87,0.0115
"US","New York","Bronx",36005,1418207,191477,754,13501.34,531.66,0.0039
"US","New York","Broome",36007,190487,17516,83,9195.38,435.73,0.0047
"US","New York","Cattaraugus",36009,76117,6447,79,8469.86,1037.88,0.0123
"US","New York","Cayuga",36011,76576,6296,26,8221.90,339.53,0.0041
"US","New York","Chautauqua",36013,126903,9871,78,7778.38,614.64,0.0079
"US","New York","Chemung",36015,83456,8999,57,10782.93,682.99,0.0063
"US","New York","Chenango",36017,47207,3929,25,8322.92,529.58,0.0064
"US","New York","Clinton",36019,80485,8253,29,10254.08,360.32,0.0035
"US","New York","Columbia",36021,59461,4439,23,7465.40,386.81,0.0052
"US","New York","Cortland",36023,47581,4401,24,9249.49,504.40,0.0055
"US","New York","Delaware",36025,44134,3621,19,8204.56,430.51,0.0052
"US","New York","Dutchess",36027,294218,26067,119,8859.76,404.46,0.0046
"US","New York","Erie",36029,918702,92291,525,10045.80,571.46,0.0057
"US","New York","Essex",36031,36885,2693,16,7301.07,433.78,0.0059
"US","New York","Franklin",36033,50022,4084,16,8164.41,319.86,0.0039
"US","New York","Fulton",36035,53383,5142,50,9632.28,936.63,0.0097
"US","New York","Genesee",36037,57279,5910,44,10317.92,768.17,0.0074
"US","New York","Greene",36039,47188,3713,27,7868.53,572.18,0.0073
"US","New York","Hamilton",36041,4416,342,2,7744.57,452.90,0.0058
"US","New York","Herkimer",36043,61319,6036,51,9843.60,831.72,0.0084
"US","New York","Jefferson",36045,109834,9369,40,8530.15,364.19,0.0043
"US","New York","Kings",36047,2559903,338467,1456,13221.87,568.77,0.0043
"US","New York","Lewis",36049,26296,2209,6,8400.52,228.17,0.0027
"US","New York","Livingston",36051,62914,5152,34,8188.96,540.42,0.0066
"US","New York","Madison",36053,70941,5795,15,8168.76,211.44,0.0026
"US","New York","Monroe",36055,741770,59826,293,8065.30,395.00,0.0049
"US","New York","Montgomery",36057,49221,5022,36,10202.96,731.40,0.0072
"US","New York","Nassau",36059,1356924,177023,436,13045.90,321.31,0.0025
"US","New York","New York",36061,1628706,225497,597,13845.16,366.55,0.0026
"US","New York","Niagara",36063,209281,21444,141,10246.51,673.74,0.0066
"US","New York","Oneida",36065,228671,21221,152,9280.14,664.71,0.0072
"US","New York","Onondaga",36067,460527,49901,210,10835.63,456.00,0.0042
"US","New York","Ontario",36069,109777,9091,55,8281.33,501.02,0.0060
"US","New York","Orange",36071,384940,48537,171,12608.98,444.23,0.0035
"US","New York","Orleans",36073,40352,3757,17,9310.57,421.29,0.0045
"US","New York","Oswego",36075,117124,11537,42,9850.24,358.59,0.0036
"US","New York","Otsego",36077,59493,4513,26,7585.77,437.03,0.0058
"US","New York","Out of NY",80036,-1,0,115,0.00,0.00,0.0000
"US","New York","Putnam",36079,98320,10304,20,10480.07,203.42,0.0019
"US","New York","Queens",36081,2253858,309359,1154,13725.75,512.01,0.0037
"US","New York","Rensselaer",36083,158714,14498,63,9134.67,396.94,0.0043
"US","New York","Richmond",36085,476143,72277,253,15179.68,531.35,0.0035
"US","New York","Rockland",36087,325789,36318,103,11147.71,316.16,0.0028
"US","New York","Saratoga",36091,229863,22664,101,9859.79,439.39,0.0045
"US","New York","Schenectady",36093,155299,14125,55,9095.36,354.16,0.0039
"US","New York","Schoharie",36095,30999,2355,9,7597.02,290.33,0.0038
"US","New York","Schuyler",36097,17807,1644,5,9232.32,280.79,0.0030
"US","New York","Seneca",36099,34016,2710,25,7966.84,734.95,0.0092
"US","New York","St. Lawrence",36089,107740,8341,34,7741.79,315.57,0.0041
"US","New York","Steuben",36101,95379,8200,56,8597.28,587.13,0.0068
"US","New York","Suffolk",36103,1476601,175375,617,11876.94,417.85,0.0035
"US","New York","Sullivan",36105,75432,9098,36,12061.19,477.25,0.0040
"US","New York","Tioga",36107,48202,4766,9,9887.56,186.71,0.0019
"US","New York","Tompkins",36109,102180,9986,17,9772.95,166.37,0.0017
"US","New York","Ulster",36111,177573,12479,63,7027.53,354.78,0.0050
"US","New York","Unassigned",90036,-1,345,-10,0.00,0.00,-0.0290
"US","New York","Warren",36113,63944,6975,29,10907.98,453.52,0.0042
"US","New York","Washington",36115,61204,6497,38,10615.32,620.87,0.0058
"US","New York","Wayne",36117,89918,7787,71,8660.11,789.61,0.0091
"US","New York","Westchester",36119,967506,99049,290,10237.56,299.74,0.0029
"US","New York","Wyoming",36121,39859,3528,21,8851.20,526.86,0.0060
"US","New York","Yates",36123,24913,1456,7,5844.34,280.98,0.0048
"US","New York","New York City",36061,-1,0,0,0.00,0.00,0.0000
