Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Pennsylvania","Adams",42001,103009,10457,110,10151.54,1067.87,0.0105
"US","Pennsylvania","Allegheny",42003,1216045,120163,703,9881.46,578.10,0.0059
"US","Pennsylvania","Armstrong",42005,64735,5693,106,8794.32,1637.44,0.0186
"US","Pennsylvania","Beaver",42007,163929,15659,207,9552.31,1262.74,0.0132
"US","Pennsylvania","Bedford",42009,47888,3580,82,7475.78,1712.33,0.0229
"US","Pennsylvania","Berks",42011,421164,40199,361,9544.74,857.15,0.0090
"US","Pennsylvania","Blair",42013,121829,10316,183,8467.61,1502.11,0.0177
"US","Pennsylvania","Bradford",42015,60323,6358,65,10539.93,1077.53,0.0102
"US","Pennsylvania","Bucks",42017,628270,45572,335,7253.57,533.21,0.0074
"US","Pennsylvania","Butler",42019,187853,17473,171,9301.42,910.29,0.0098
"US","Pennsylvania","Cambria",42021,130192,13258,160,10183.42,1228.95,0.0121
"US","Pennsylvania","Cameron",42023,4447,265,7,5959.07,1574.09,0.0264
"US","Pennsylvania","Carbon",42025,64181,6379,65,9939.08,1012.76,0.0102
"US","Pennsylvania","Centre",42027,162385,12646,81,7787.67,498.81,0.0064
"US","Pennsylvania","Chester",42029,524989,36901,200,7028.91,380.96,0.0054
"US","Pennsylvania","Clarion",42031,38438,3003,64,7812.58,1665.02,0.0213
"US","Pennsylvania","Clearfield",42033,79254,6866,106,8663.29,1337.47,0.0154
"US","Pennsylvania","Clinton",42035,38632,3547,37,9181.51,957.76,0.0104
"US","Pennsylvania","Columbia",42037,64964,6171,65,9499.11,1000.55,0.0105
"US","Pennsylvania","Crawford",42039,84629,7886,98,9318.32,1158.00,0.0124
"US","Pennsylvania","Cumberland",42041,253369,20327,196,8022.69,773.58,0.0096
"US","Pennsylvania","Dauphin",42043,278299,22060,226,7926.73,812.08,0.0102
"US","Pennsylvania","Delaware",42045,566747,44247,247,7807.19,435.82,0.0056
"US","Pennsylvania","Elk",42047,29910,2604,27,8706.12,902.71,0.0104
"US","Pennsylvania","Erie",42049,269728,24974,204,9258.96,756.32,0.0082
"US","Pennsylvania","Fayette",42051,129274,11081,180,8571.72,1392.39,0.0162
"US","Pennsylvania","Forest",42053,7247,549,9,7575.55,1241.89,0.0164
"US","Pennsylvania","Franklin",42055,155026,16925,172,10917.52,1109.49,0.0102
"US","Pennsylvania","Fulton",42057,14530,1622,28,11163.11,1927.05,0.0173
"US","Pennsylvania","Greene",42059,36233,2985,35,8238.35,965.97,0.0117
"US","Pennsylvania","Huntingdon",42061,45143,3964,73,8780.98,1617.08,0.0184
"US","Pennsylvania","Indiana",42063,84073,7233,96,8603.24,1141.86,0.0133
"US","Pennsylvania","Jefferson",42065,43424,3347,83,7707.72,1911.39,0.0248
"US","Pennsylvania","Juniata",42067,24763,1614,52,6517.79,2099.91,0.0322
"US","Pennsylvania","Lackawanna",42069,209674,18227,165,8693.02,786.94,0.0091
"US","Pennsylvania","Lancaster",42071,545724,45198,433,8282.21,793.44,0.0096
"US","Pennsylvania","Lawrence",42073,85511,7341,115,8584.86,1344.86,0.0157
"US","Pennsylvania","Lebanon",42075,141793,14708,139,10372.87,980.30,0.0095
"US","Pennsylvania","Lehigh",42077,369317,38560,239,10440.89,647.14,0.0062
"US","Pennsylvania","Luzerne",42079,317417,29355,295,9248.09,929.38,0.0100
"US","Pennsylvania","Lycoming",42081,113299,10526,124,9290.46,1094.45,0.0118
"US","Pennsylvania","McKean",42083,40625,2496,35,6144.00,861.54,0.0140
"US","Pennsylvania","Mercer",42085,109424,8713,132,7962.60,1206.32,0.0151
"US","Pennsylvania","Mifflin",42087,46138,4329,59,9382.72,1278.77,0.0136
"US","Pennsylvania","Monroe",42089,170271,16091,114,9450.23,669.52,0.0071
"US","Pennsylvania","Montgomery",42091,830915,60028,335,7224.32,403.17,0.0056
"US","Pennsylvania","Montour",42093,18230,1693,13,9286.89,713.11,0.0077
"US","Pennsylvania","Northampton",42095,305285,32427,226,10621.88,740.29,0.0070
"US","Pennsylvania","Northumberland",42097,90842,8897,95,9793.93,1045.77,0.0107
"US","Pennsylvania","Perry",42099,46271,3144,49,6794.75,1058.98,0.0156
"US","Pennsylvania","Philadelphia",42101,1584064,114221,762,7210.63,481.04,0.0067
"US","Pennsylvania","Pike",42103,55809,4035,26,7230.02,465.87,0.0064
"US","Pennsylvania","Potter",42105,16526,1055,39,6383.88,2359.92,0.0370
"US","Pennsylvania","Schuylkill",42107,141359,13616,157,9632.21,1110.65,0.0115
"US","Pennsylvania","Snyder",42109,40372,2981,43,7383.83,1065.09,0.0144
"US","Pennsylvania","Somerset",42111,73447,7233,124,9847.92,1688.29,0.0171
"US","Pennsylvania","Sullivan",42113,6066,430,8,7088.69,1318.83,0.0186
"US","Pennsylvania","Susquehanna",42115,40328,3567,33,8844.97,818.29,0.0093
"US","Pennsylvania","Tioga",42117,40591,2915,54,7181.39,1330.34,0.0185
"US","Pennsylvania","Unassigned",90042,-1,0,0,0.00,0.00,0.0000
"US","Pennsylvania","Union",42119,44923,3605,38,8024.84,845.89,0.0105
"US","Pennsylvania","Venango",42121,50668,4309,78,8504.38,1539.43,0.0181
"US","Pennsylvania","Warren",42123,39191,2787,70,7111.33,1786.12,0.0251
"US","Pennsylvania","Washington",42125,206865,22838,196,11040.05,947.48,0.0086
"US","Pennsylvania","Wayne",42127,51361,3866,43,7527.11,837.21,0.0111
"US","Pennsylvania","Westmoreland",42129,348899,30610,365,8773.31,1046.15,0.0119
"US","Pennsylvania","Wyoming",42131,26794,2036,33,7598.72,1231.62,0.0162
"US","Pennsylvania","York",42133,449058,51273,413,11417.90,919.70,0.0081
