Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Utah","Bear River",0,186818,18656,42,9986.19,224.82,0.0023
"US","Utah","Central Utah",0,81954,5625,33,6863.61,402.66,0.0059
"US","Utah","Davis",49011,355480,41210,78,11592.78,219.42,0.0019
"US","Utah","Salt Lake",49035,1160437,133450,296,11499.98,255.08,0.0022
"US","Utah","San Juan",49037,15308,1329,5,8681.74,326.63,0.0038
"US","Utah","Southeast Utah",0,40229,3396,21,8441.67,522.01,0.0062
"US","Utah","Southwest Utah",0,252042,20242,151,8031.20,599.11,0.0075
"US","Utah","Summit",49043,42145,6186,1,14677.90,23.73,0.0002
"US","Utah","Tooele",49045,72259,8321,22,11515.52,304.46,0.0026
"US","Utah","TriCounty",0,56621,3870,17,6834.92,300.24,0.0044
"US","Utah","Unassigned",90049,-1,2006,4,0.00,0.00,0.0020
"US","Utah","Utah",49049,636235,69849,166,10978.49,260.91,0.0024
"US","Utah","Wasatch",49051,34091,4316,5,12660.23,146.67,0.0012
"US","Utah","Weber-Morgan",0,272337,26408,82,9696.81,301.10,0.0031
"US","Utah","Cache",49005,-1,0,0,0.00,0.00,0.0000
"US","Utah","Box Elder",49003,-1,0,0,0.00,0.00,0.0000
"US","Utah","Beaver",49001,-1,0,0,0.00,0.00,0.0000
"US","Utah","Carbon",49007,-1,0,0,0.00,0.00,0.0000
"US","Utah","Daggett",49009,-1,0,0,0.00,0.00,0.0000
"US","Utah","Duchesne",49013,-1,0,0,0.00,0.00,0.0000
"US","Utah","Emery",49015,-1,0,0,0.00,0.00,0.0000
"US","Utah","Garfield",49017,-1,0,0,0.00,0.00,0.0000
"US","Utah","Grand",49019,-1,0,0,0.00,0.00,0.0000
"US","Utah","Iron",49021,-1,0,0,0.00,0.00,0.0000
"US","Utah","Juab",49023,-1,0,0,0.00,0.00,0.0000
"US","Utah","Kane",49025,-1,0,0,0.00,0.00,0.0000
"US","Utah","Millard",49027,-1,0,0,0.00,0.00,0.0000
"US","Utah","Morgan",49029,-1,0,0,0.00,0.00,0.0000
"US","Utah","Piute",49031,-1,0,0,0.00,0.00,0.0000
"US","Utah","Rich",49033,-1,0,0,0.00,0.00,0.0000
"US","Utah","Sanpete",49039,-1,0,0,0.00,0.00,0.0000
"US","Utah","Sevier",49041,-1,0,0,0.00,0.00,0.0000
"US","Utah","Uintah",49047,-1,0,0,0.00,0.00,0.0000
"US","Utah","Washington",49053,-1,0,0,0.00,0.00,0.0000
"US","Utah","Wayne",49055,-1,0,0,0.00,0.00,0.0000
"US","Utah","Weber",49057,-1,0,0,0.00,0.00,0.0000
