Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Washington","Adams",53001,19983,1463,2,7321.22,100.09,0.0014
"US","Washington","Asotin",53003,22582,1269,5,5619.52,221.42,0.0039
"US","Washington","Benton",53005,204390,18452,57,9027.84,278.88,0.0031
"US","Washington","Chelan",53007,77199,7726,39,10007.90,505.19,0.0050
"US","Washington","Clallam",53009,77331,5409,48,6994.61,620.71,0.0089
"US","Washington","Clark",53011,488241,36241,202,7422.77,413.73,0.0056
"US","Washington","Columbia",53013,3985,193,3,4843.16,752.82,0.0155
"US","Washington","Cowlitz",53015,110592,7045,66,6370.26,596.79,0.0094
"US","Washington","Douglas",53017,43428,4234,19,9749.47,437.51,0.0045
"US","Washington","Ferry",53019,7627,405,5,5310.08,655.57,0.0123
"US","Washington","Franklin",53021,95222,11434,18,12007.73,189.03,0.0016
"US","Washington","Garfield",53023,2225,98,0,4404.49,0.00,0.0000
"US","Washington","Grant",53025,97733,8182,46,8371.79,470.67,0.0056
"US","Washington","Grays Harbor",53027,75061,6250,47,8326.56,626.16,0.0075
"US","Washington","Island",53029,85141,5228,13,6140.40,152.69,0.0025
"US","Washington","Jefferson",53031,32220,1518,6,4711.36,186.22,0.0040
"US","Washington","King",53033,2252782,187674,337,8330.77,149.59,0.0018
"US","Washington","Kitsap",53035,271473,19463,51,7169.41,187.86,0.0026
"US","Washington","Kittitas",53037,47935,3032,2,6325.23,41.72,0.0007
"US","Washington","Klickitat",53039,22424,1215,19,5418.30,847.31,0.0156
"US","Washington","Lewis",53041,80707,6099,59,7556.97,731.04,0.0097
"US","Washington","Lincoln",53043,10939,658,5,6015.18,457.08,0.0076
"US","Washington","Mason",53045,66768,5293,48,7927.45,718.91,0.0091
"US","Washington","Okanogan",53047,42243,2364,26,5596.19,615.49,0.0110
"US","Washington","Pacific",53049,22471,1246,12,5544.92,534.02,0.0096
"US","Washington","Pend Oreille",53051,13724,855,7,6229.96,510.06,0.0082
"US","Washington","Pierce",53053,904979,85594,298,9458.12,329.29,0.0035
"US","Washington","San Juan",53055,17581,663,1,3771.12,56.88,0.0015
"US","Washington","Skagit",53057,129205,9364,59,7247.40,456.64,0.0063
"US","Washington","Skamania",53059,12082,577,3,4775.70,248.30,0.0052
"US","Washington","Snohomish",53061,822083,77129,197,9382.14,239.64,0.0026
"US","Washington","Spokane",53063,522798,44316,223,8476.70,426.55,0.0050
"US","Washington","Stevens",53065,45723,2533,30,5539.88,656.12,0.0118
"US","Washington","Thurston",53067,290536,22787,87,7843.09,299.45,0.0038
"US","Washington","Unassigned",90053,-1,2650,1,0.00,0.00,0.0004
"US","Washington","Wahkiakum",53069,4488,209,0,4656.86,0.00,0.0000
"US","Washington","Walla Walla",53071,60760,5619,21,9247.86,345.62,0.0037
"US","Washington","Whatcom",53073,229247,18091,78,7891.49,340.24,0.0043
"US","Washington","Whitman",53075,50104,3320,8,6626.22,159.67,0.0024
"US","Washington","Yakima",53077,250873,25616,106,10210.74,422.52,0.0041
