Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","West Virginia","Barbour",54001,16440,1597,18,9714.11,1094.89,0.0113
"US","West Virginia","Berkeley",54003,119170,15546,63,13045.23,528.66,0.0041
"US","West Virginia","Boone",54005,21457,2461,5,11469.45,233.02,0.0020
"US","West Virginia","Braxton",54007,13957,1303,14,9335.82,1003.08,0.0107
"US","West Virginia","Brooke",54009,21939,1628,23,7420.58,1048.36,0.0141
"US","West Virginia","Cabell",54011,91944,10557,59,11481.99,641.69,0.0056
"US","West Virginia","Calhoun",54013,7109,712,5,10015.47,703.33,0.0070
"US","West Virginia","Clay",54015,8508,892,11,10484.25,1292.90,0.0123
"US","West Virginia","Doddridge",54017,8447,616,5,7292.53,591.93,0.0081
"US","West Virginia","Fayette",54019,42406,5587,33,13175.02,778.19,0.0059
"US","West Virginia","Gilmer",54021,7823,570,4,7286.21,511.31,0.0070
"US","West Virginia","Grant",54023,11568,1385,17,11972.68,1469.57,0.0123
"US","West Virginia","Greenbrier",54025,34662,3543,30,10221.57,865.50,0.0085
"US","West Virginia","Hampshire",54027,23175,2210,15,9536.14,647.25,0.0068
"US","West Virginia","Hancock",54029,28809,2175,14,7549.72,485.96,0.0064
"US","West Virginia","Hardy",54031,13776,1576,13,11440.19,943.67,0.0082
"US","West Virginia","Harrison",54033,67256,6638,63,9869.75,936.72,0.0095
"US","West Virginia","Jackson",54035,28576,2437,30,8528.14,1049.83,0.0123
"US","West Virginia","Jefferson",54037,57146,6846,30,11979.84,524.97,0.0044
"US","West Virginia","Kanawha",54039,178124,18911,124,10616.76,696.14,0.0066
"US","West Virginia","Lewis",54041,15907,1756,20,11039.17,1257.31,0.0114
"US","West Virginia","Lincoln",54043,20409,2088,17,10230.78,832.97,0.0081
"US","West Virginia","Logan",54045,32018,3448,24,10768.94,749.58,0.0070
"US","West Virginia","Marion",54049,56072,5293,47,9439.65,838.21,0.0089
"US","West Virginia","Marshall",54051,30530,2895,28,9482.48,917.13,0.0097
"US","West Virginia","Mason",54053,26515,2356,25,8885.54,942.86,0.0106
"US","West Virginia","McDowell",54047,17624,1826,9,10360.87,510.67,0.0049
"US","West Virginia","Mercer",54055,58758,6401,52,10893.84,884.99,0.0081
"US","West Virginia","Mineral",54057,26868,2743,31,10209.17,1153.79,0.0113
"US","West Virginia","Mingo",54059,23424,2481,23,10591.70,981.90,0.0093
"US","West Virginia","Monongalia",54061,105611,9519,35,9013.27,331.40,0.0037
"US","West Virginia","Monroe",54063,13274,1707,9,12859.73,678.02,0.0053
"US","West Virginia","Morgan",54065,17884,1927,13,10774.99,726.91,0.0067
"US","West Virginia","Nicholas",54067,24496,2823,31,11524.33,1265.51,0.0110
"US","West Virginia","Ohio",54069,41410,4424,39,10683.41,941.80,0.0088
"US","West Virginia","Pendleton",54071,6968,725,1,10404.71,143.51,0.0014
"US","West Virginia","Pleasants",54073,7460,564,4,7560.32,536.19,0.0071
"US","West Virginia","Pocahontas",54075,8246,671,6,8137.28,727.63,0.0089
"US","West Virginia","Preston",54077,33432,3128,32,9356.31,957.17,0.0102
"US","West Virginia","Putnam",54079,56450,6515,28,11541.19,496.01,0.0043
"US","West Virginia","Raleigh",54081,73361,9294,97,12668.86,1322.23,0.0104
"US","West Virginia","Randolph",54083,28694,3370,16,11744.62,557.61,0.0047
"US","West Virginia","Ritchie",54085,9554,750,7,7850.12,732.68,0.0093
"US","West Virginia","Roane",54087,13688,1332,9,9731.15,657.51,0.0068
"US","West Virginia","Summers",54089,12573,1088,14,8653.46,1113.50,0.0129
"US","West Virginia","Taylor",54091,16695,1681,21,10068.88,1257.86,0.0125
"US","West Virginia","Tucker",54093,6839,674,4,9855.24,584.88,0.0059
"US","West Virginia","Tyler",54095,8591,688,6,8008.38,698.41,0.0087
"US","West Virginia","Unassigned",90054,-1,0,0,0.00,0.00,0.0000
"US","West Virginia","Upshur",54097,24176,2090,12,8644.94,496.36,0.0057
"US","West Virginia","Wayne",54099,39402,3439,19,8727.98,482.21,0.0055
"US","West Virginia","Webster",54101,8114,773,9,9526.74,1109.19,0.0116
"US","West Virginia","Wetzel",54103,15065,1429,17,9485.56,1128.44,0.0119
"US","West Virginia","Wirt",54105,5821,513,6,8812.92,1030.75,0.0117
"US","West Virginia","Wood",54107,83518,7580,51,9075.89,610.65,0.0067
"US","West Virginia","Wyoming",54109,20394,2587,21,12685.10,1029.71,0.0081
