Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Wyoming","Albany",56001,38880,3185,11,8191.87,282.92,0.0035
"US","Wyoming","Big Horn",56003,11790,446,6,3782.87,508.91,0.0135
"US","Wyoming","Campbell",56005,46341,2859,31,6169.48,668.95,0.0108
"US","Wyoming","Carbon",56007,14800,1496,12,10108.11,810.81,0.0080
"US","Wyoming","Converse",56009,13822,822,14,5947.04,1012.88,0.0170
"US","Wyoming","Crook",56011,7584,382,6,5036.92,791.14,0.0157
"US","Wyoming","Fremont",56013,39261,4039,45,10287.56,1146.18,0.0111
"US","Wyoming","Goshen",56015,13210,974,14,7373.20,1059.80,0.0144
"US","Wyoming","Hot Springs",56017,4413,205,5,4645.37,1133.02,0.0244
"US","Wyoming","Johnson",56019,8445,611,2,7235.05,236.83,0.0033
"US","Wyoming","Laramie",56021,99499,8998,61,9043.31,613.07,0.0068
"US","Wyoming","Lincoln",56023,19830,1017,7,5128.59,353.00,0.0069
"US","Wyoming","Natrona",56025,79858,6521,72,8165.74,901.60,0.0110
"US","Wyoming","Niobrara",56027,2356,225,3,9550.08,1273.34,0.0133
"US","Wyoming","Park",56029,29193,1379,54,4723.74,1849.76,0.0392
"US","Wyoming","Platte",56031,8393,435,12,5182.89,1429.76,0.0276
"US","Wyoming","Sheridan",56033,30485,2343,15,7685.75,492.05,0.0064
"US","Wyoming","Sublette",56035,9831,497,7,5055.44,712.03,0.0141
"US","Wyoming","Sweetwater",56037,42343,2964,34,6999.98,802.97,0.0115
"US","Wyoming","Teton",56039,23464,4229,1,18023.35,42.62,0.0002
"US","Wyoming","Uinta",56041,20225,1649,8,8153.28,395.55,0.0049
"US","Wyoming","Unassigned",90056,-1,0,0,0.00,0.00,0.0000
"US","Wyoming","Washakie",56043,7805,485,6,6213.97,768.74,0.0124
"US","Wyoming","Weston",56045,6927,373,8,5384.73,1154.90,0.0214
