Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Algeria","","",0,43851043,262632,6753,598.92,154.00,0.0257
"Angola","","",0,32866268,98554,1899,299.86,57.78,0.0193
"Benin","","",0,12123198,26555,163,219.04,13.45,0.0061
"Botswana","","",0,2351625,260634,2603,11083.14,1106.89,0.0100
"Burkina Faso","","",0,20903278,20725,375,99.15,17.94,0.0181
"Burundi","","",0,11890781,37928,38,318.97,3.20,0.0010
"Cabo Verde","","",0,555987,55849,400,10045.02,719.44,0.0072
"Cameroon","","",0,26545863,118779,1916,447.45,72.18,0.0161
"Central African Republic","","",0,4829764,14192,112,293.84,23.19,0.0079
"Chad","","",0,16425858,7218,190,43.94,11.57,0.0263
"Comoros","","",0,869595,8009,160,921.00,183.99,0.0200
"Congo (Brazzaville)","","",0,5518092,23881,375,432.78,67.96,0.0157
"Congo (Kinshasa)","","",0,89561404,85805,1317,95.81,14.70,0.0153
"Cote d'Ivoire","","",0,26378274,81234,791,307.96,29.99,0.0097
"Djibouti","","",0,988001,15536,189,1572.47,191.30,0.0122
"Egypt","","",0,102334403,459035,23460,448.56,229.25,0.0511
"Equatorial Guinea","","",0,1402985,15867,182,1130.95,129.72,0.0115
"Eritrea","","",0,3546427,9679,103,272.92,29.04,0.0106
"Eswatini","","",0,1160164,68859,1384,5935.28,1192.93,0.0201
"Ethiopia","","",0,114963582,467709,7431,406.83,64.64,0.0159
"Gabon","","",0,2225728,47453,302,2132.02,135.69,0.0064
"Gambia","","",0,2416664,11913,365,492.95,151.03,0.0306
"Ghana","","",0,31072945,157969,1428,508.38,45.96,0.0090
"Guinea","","",0,13132791,36334,436,276.67,33.20,0.0120
"Guinea-Bissau","","",0,1967997,7876,164,400.20,83.33,0.0208
"Kenya","","",0,53771299,322533,5633,599.82,104.76,0.0175
"Lesotho","","",0,2142252,32432,696,1513.92,324.89,0.0215
"Liberia","","",0,5057677,7363,290,145.58,57.34,0.0394
"Libya","","",0,6871287,475752,6143,6923.77,894.01,0.0129
"Madagascar","","",0,27691019,62925,1336,227.24,48.25,0.0212
"Malawi","","",0,19129955,85069,2600,444.69,135.91,0.0306
"Mali","","",0,20250834,30285,717,149.55,35.41,0.0237
"Mauritania","","",0,4649660,58583,973,1259.94,209.26,0.0166
"Mauritius","","",0,1271767,70862,786,5571.93,618.04,0.0111
"Morocco","","",0,36910558,1156637,15824,3133.62,428.71,0.0137
"Mozambique","","",0,31255434,224774,2189,719.15,70.04,0.0097
"Namibia","","",0,2540916,156853,3996,6173.09,1572.66,0.0255
"Niger","","",0,24206636,8722,303,36.03,12.52,0.0347
"Nigeria","","",0,206139587,254115,3141,123.27,15.24,0.0124
"Rwanda","","",0,12952209,129332,1452,998.53,112.10,0.0112
"Sao Tome and Principe","","",0,219161,5920,71,2701.21,323.96,0.0120
"Senegal","","",0,16743930,85457,1957,510.38,116.88,0.0229
"Seychelles","","",0,98340,38743,158,39396.99,1606.67,0.0041
"Sierra Leone","","",0,7976984,7659,125,96.01,15.67,0.0163
"Somalia","","",0,15893218,26252,1344,165.18,84.56,0.0512
"South Africa","","",0,59308689,3645675,97427,6146.95,1642.71,0.0267
"South Sudan","","",0,11193729,16900,137,150.98,12.24,0.0081
"Sudan","","",0,43849269,59910,3845,136.63,87.69,0.0642
"Tanzania","","",0,59734212,33535,795,56.14,13.31,0.0237
"Togo","","",0,8278737,36686,271,443.14,32.73,0.0074
"Tunisia","","",0,11818618,969555,27163,8203.62,2298.32,0.0280
"Uganda","","",0,45741000,162866,3580,356.06,78.27,0.0220
"Zambia","","",0,18383955,309929,3939,1685.87,214.26,0.0127
"Zimbabwe","","",0,14862927,231635,5375,1558.47,361.64,0.0232
