Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Afghanistan","","",0,38928340,171553,7505,440.69,192.79,0.0437
"Armenia","","",0,2963233,409003,8199,13802.59,2766.91,0.0200
"Azerbaijan","","",0,10139175,753672,9104,7433.27,897.90,0.0121
"Bahrain","","",0,1701583,474138,1429,27864.52,839.81,0.0030
"Bangladesh","","",0,164689383,1920241,28874,1165.98,175.32,0.0150
"Bhutan","","",0,771612,7889,5,1022.41,6.48,0.0006
"Burma","","",0,54409794,550408,19313,1011.60,354.95,0.0351
"Cambodia","","",0,16718971,124095,3015,742.24,180.33,0.0243
"Georgia","","",0,3989175,1482840,15631,37171.60,3918.35,0.0105
"Indonesia","","",0,273523621,4822203,145203,1762.99,530.86,0.0301
"Iran","","",0,83992953,6863442,134032,8171.45,1595.75,0.0195
"Iraq","","",0,40222502,2282175,24762,5673.88,615.63,0.0109
"Israel","","",0,8655541,3478333,9651,40186.20,1115.01,0.0028
"Jordan","","",0,10203140,1509103,13554,14790.57,1328.41,0.0090
"Kazakhstan","","",0,18776707,1382257,18795,7361.55,1000.97,0.0136
"Kuwait","","",0,4270563,606571,2522,14203.54,590.55,0.0042
"Kyrgyzstan","","",0,6524191,200147,2933,3067.77,449.56,0.0147
"Laos","","",0,7275555,139702,598,1920.16,82.19,0.0043
"Maldives","","",0,540542,161245,289,29830.24,534.65,0.0018
"Mongolia","","",0,3278292,887552,2149,27073.61,655.52,0.0024
"Nepal","","",0,29136808,974310,11905,3343.91,408.59,0.0122
"Oman","","",0,5106622,369143,4215,7228.71,825.40,0.0114
"Papua New Guinea","","",0,8947026,38703,611,432.58,68.29,0.0158
"Philippines","","",0,109581085,3642907,55146,3324.39,503.24,0.0151
"Qatar","","",0,2881060,352041,658,12219.15,228.39,0.0019
"Saudi Arabia","","",0,34813867,732974,8975,2105.41,257.80,0.0122
"Singapore","","",0,5850343,496120,911,8480.19,155.72,0.0018
"Sri Lanka","","",0,21413250,630649,15873,2945.13,741.27,0.0252
"Taiwan","","",0,23816775,19672,851,82.60,35.73,0.0433
"Tajikistan","","",0,9537642,17779,125,186.41,13.11,0.0070
"Thailand","","",0,69799978,2638302,22514,3779.80,322.55,0.0085
"Timor-Leste","","",0,1318442,21901,124,1661.13,94.05,0.0057
"United Arab Emirates","","",0,9890400,870599,2289,8802.47,231.44,0.0026
"Uzbekistan","","",0,33469199,234234,1607,699.85,48.01,0.0069
"Vietnam","","",0,97338583,2568648,39123,2638.88,401.93,0.0152
"West Bank and Gaza","","",0,5101416,618120,5289,12116.64,1036.77,0.0086
"Yemen","","",0,29825968,11721,2111,39.30,70.78,0.1801
"Japan","","",0,133719178,4087579,21590,3056.84,161.46,0.0053
"India","","",0,1371753889,42744087,510274,3116.02,371.99,0.0119
"Pakistan","","",0,211877158,1495014,29926,705.60,141.24,0.0200
"China","","",0,1467916325,126594,4867,8.62,3.32,0.0384
"Malaysia","","",0,36400896,3081732,32174,8466.09,883.88,0.0104
