Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Albania","","",0,2877800,268630,3419,9334.56,1188.06,0.0127
"Andorra","","",0,77265,37358,149,48350.48,1928.43,0.0040
"Austria","","",0,9006400,2327428,14424,25841.93,1601.53,0.0062
"Belarus","","",0,9449321,844418,6279,8936.28,664.49,0.0074
"Bosnia and Herzegovina","","",0,3280815,365597,15124,11143.48,4609.83,0.0414
"Bulgaria","","",0,6948445,1049719,34674,15107.25,4990.18,0.0330
"Croatia","","",0,4105268,1023103,14582,24921.71,3552.02,0.0143
"Cyprus","","",0,1207361,295639,792,24486.38,655.98,0.0027
"Czech Republic","","",0,10708982,3449340,37974,32209.78,3546.00,0.0110
"Denmark","","",0,5946704,2444994,4168,41115.11,700.89,0.0017
"Estonia","","",0,1326539,428126,2123,32273.91,1600.41,0.0050
"Finland","","",0,5540718,587483,2216,10603.01,399.95,0.0038
"France","","",0,68450410,22306241,136279,32587.45,1990.92,0.0061
"Greece","","",0,10423056,2215647,24923,21257.17,2391.14,0.0112
"Vatican City","","",0,809,29,0,3584.67,0.00,0.0000
"Iceland","","",0,341250,93466,56,27389.30,164.10,0.0006
"Ireland","","",0,4937795,1251995,6370,25355.35,1290.05,0.0051
"Kosovo","","",0,1810366,223804,3079,12362.36,1700.76,0.0138
"Latvia","","",0,1886202,534513,5042,28338.06,2673.10,0.0094
"Liechtenstein","","",0,38137,10779,74,28263.89,1940.37,0.0069
"Lithuania","","",0,2722291,828491,8166,30433.59,2999.68,0.0099
"Luxembourg","","",0,625975,175553,978,28044.73,1562.36,0.0056
"Moldova","","",0,4033963,487833,10984,12093.15,2722.88,0.0225
"Monaco","","",0,39244,9090,49,23162.78,1248.60,0.0054
"Montenegro","","",0,628062,227109,2642,36160.28,4206.59,0.0116
"Norway","","",0,5421241,1070564,1516,19747.58,279.64,0.0014
"Poland","","",0,37846605,5415776,108516,14309.81,2867.26,0.0200
"Portugal","","",0,10196707,3117448,20619,30573.09,2022.12,0.0066
"Romania","","",0,19237682,2599287,61874,13511.44,3216.29,0.0238
"San Marino","","",0,33938,14047,110,41390.18,3241.20,0.0078
"Serbia","","",0,8737370,1857002,14553,21253.56,1665.60,0.0078
"Slovakia","","",0,5459643,1893653,18125,34684.56,3319.81,0.0096
"Slovenia","","",0,2078932,859858,6121,41360.56,2944.30,0.0071
"Switzerland","","",0,8654618,2606435,12978,30116.12,1499.55,0.0050
"Turkey","","",0,84339067,13084799,91099,15514.52,1080.15,0.0070
"Italy","","",0,61672584,12213311,151514,19803.47,2456.75,0.0124
"Russia","","",0,147098081,14268447,334713,9699.95,2275.44,0.0235
"Sweden","","",0,10487188,2413043,16514,23009.44,1574.68,0.0068
"Germany","","",0,94088744,12737156,120301,13537.39,1278.59,0.0094
"Spain","","",0,55364464,10711832,96695,19347.85,1746.52,0.0090
"Belgium","","",0,24782029,3459229,29732,13958.62,1199.74,0.0086
"Netherlands","","",0,17854316,5959548,21985,33378.75,1231.35,0.0037
"Ukraine","","",0,47107398,4789060,110087,10166.26,2336.94,0.0230
"United Kingdom","","",0,66992815,18549920,160349,27689.42,2393.53,0.0086
