Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Chile","Antofagasta","",0,607534,106036,1337,17453.51,2200.70,0.0126
"Chile","Araucania","",0,957224,153100,1580,15994.17,1650.61,0.0103
"Chile","Arica y Parinacota","",0,226067,49686,592,21978.44,2618.69,0.0119
"Chile","Atacama","",0,288944,48991,402,16955.19,1391.27,0.0082
"Chile","Aysen","",0,103158,17870,113,17322.94,1095.41,0.0063
"Chile","Biobio","",0,1556805,233270,2999,14983.89,1926.38,0.0129
"Chile","Coquimbo","",0,757586,91966,1166,12139.35,1539.10,0.0127
"Chile","Los Lagos","",0,828708,137586,1598,16602.47,1928.30,0.0116
"Chile","Los Rios","",0,384837,76168,766,19792.28,1990.45,0.0101
"Chile","Magallanes","",0,166533,42894,529,25757.06,3176.55,0.0123
"Chile","Maule","",0,1044949,153125,1912,14653.83,1829.75,0.0125
"Chile","Metropolitana","",0,7112808,1052788,20143,14801.30,2831.93,0.0191
"Chile","Nuble","",0,480609,63531,693,13218.85,1441.92,0.0109
"Chile","OHiggins","",0,914554,105393,1671,11523.98,1827.12,0.0159
"Chile","Tarapaca","",0,330557,73669,910,22286.32,2752.93,0.0124
"Chile","Unknown","",0,-1,42,0,0.00,0.00,0.0000
"Chile","Valparaiso","",0,1815902,222950,3766,12277.64,2073.90,0.0169
