Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Colombia","Amazonas","",0,76589,7505,264,9799.06,3446.97,0.0352
"Colombia","Antioquia","",0,6407102,914045,18062,14266.12,2819.06,0.0198
"Colombia","Arauca","",0,262174,15856,510,6047.89,1945.27,0.0322
"Colombia","Atlantico","",0,2535517,400010,10036,15776.27,3958.17,0.0251
"Colombia","Bolivar","",0,2070110,196203,3227,9477.90,1558.85,0.0164
"Colombia","Boyaca","",0,1217375,123679,2723,10159.48,2236.78,0.0220
"Colombia","Caldas","",0,998255,116510,2470,11671.37,2474.32,0.0212
"Colombia","Capital District","",0,7412565,1741913,28828,23499.46,3889.07,0.0165
"Colombia","Caqueta","",0,401489,24649,996,6139.40,2480.77,0.0404
"Colombia","Casanare","",0,420504,40940,969,9735.94,2304.38,0.0237
"Colombia","Cauca","",0,1464488,71606,1768,4889.49,1207.25,0.0247
"Colombia","Cesar","",0,1200574,105491,2647,8786.71,2204.78,0.0251
"Colombia","Choco","",0,534826,18496,426,3458.32,796.52,0.0230
"Colombia","Cordoba","",0,1784782,118453,3896,6636.83,2182.90,0.0329
"Colombia","Cundinamarca","",0,2919059,313406,7100,10736.54,2432.29,0.0227
"Colombia","Guainia","",0,48114,2747,36,5709.36,748.22,0.0131
"Colombia","Guaviare","",0,82767,5541,102,6694.70,1232.38,0.0184
"Colombia","Huila","",0,1100386,99413,3426,9034.38,3113.45,0.0345
"Colombia","La Guajira","",0,880560,55666,1493,6321.66,1695.51,0.0268
"Colombia","Magdalena","",0,1341746,114105,3588,8504.22,2674.13,0.0314
"Colombia","Meta","",0,1039722,103838,2478,9987.09,2383.33,0.0239
"Colombia","Narino","",0,1630592,103954,3258,6375.23,1998.05,0.0313
"Colombia","Norte de Santander","",0,1491689,117936,4966,7906.21,3329.11,0.0421
"Colombia","Putumayo","",0,348182,20264,758,5819.94,2177.02,0.0374
"Colombia","Quindio","",0,539904,70493,2030,13056.58,3759.93,0.0288
"Colombia","Risaralda","",0,943400,105730,2443,11207.34,2589.57,0.0231
"Colombia","San Andres y Providencia","",0,61280,10104,154,16488.25,2513.05,0.0152
"Colombia","Santander","",0,2184837,279686,8011,12801.23,3666.64,0.0286
"Colombia","Sucre","",0,904863,65464,1697,7234.69,1875.42,0.0259
"Colombia","Tolima","",0,1330186,123572,3910,9289.83,2939.44,0.0316
"Colombia","Unknown","",0,-1,77,303,0.00,0.00,3.9351
"Colombia","Valle del Cauca","",0,4475886,536412,14799,11984.49,3306.38,0.0276
"Colombia","Vaupes","",0,40796,1867,19,4576.43,465.73,0.0102
"Colombia","Vichada","",0,107808,3353,59,3110.16,547.27,0.0176
