Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Germany","Baden-Wurttemberg","",0,11069533,1750833,12327,15816.68,1113.60,0.0070
"Germany","Bayern","",0,13076721,2273693,18662,17387.33,1427.12,0.0082
"Germany","Berlin","",0,3644826,648256,3993,17785.65,1095.53,0.0062
"Germany","Brandenburg","",0,2511917,436737,4929,17386.60,1962.25,0.0113
"Germany","Bremen","",0,682986,104594,629,15314.22,920.96,0.0060
"Germany","Hamburg","",0,1841179,316011,1984,17163.51,1077.57,0.0063
"Germany","Hessen","",0,6265809,927710,8588,14805.91,1370.61,0.0093
"Germany","Mecklenburg-Vorpommern","",0,1609675,192791,1680,11977.01,1043.69,0.0087
"Germany","Niedersachsen","",0,7982447,853807,6733,10696.06,843.48,0.0079
"Germany","Nordrhein-Westfalen","",0,17932651,2587289,20125,14427.81,1122.25,0.0078
"Germany","Rheinland-Pfalz","",0,4084844,491375,4675,12029.22,1144.47,0.0095
"Germany","Saarland","",0,990509,131797,1207,13305.99,1218.57,0.0092
"Germany","Sachsen","",0,4077937,831392,14043,20387.56,3443.65,0.0169
"Germany","Sachsen-Anhalt","",0,2208320,339494,4637,15373.41,2099.79,0.0137
"Germany","Schleswig-Holstein","",0,2896712,270280,1931,9330.58,666.62,0.0071
"Germany","Thuringen","",0,2143145,358192,6376,16713.38,2975.07,0.0178
"Germany","Unknown","",0,-1,48801,-83,0.00,0.00,-0.0017
