Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"India","Andaman and Nicobar Islands","",0,417035,9956,129,2387.33,309.33,0.0130
"India","Andhra Pradesh","",0,53903393,2309354,14626,4284.25,271.34,0.0063
"India","Arunachal Pradesh","",0,1570457,64071,294,4079.77,187.21,0.0046
"India","Assam","",0,35607038,721019,6613,2024.93,185.72,0.0092
"India","Bihar","",0,124799925,823911,12222,660.19,97.93,0.0148
"India","Chandigarh","",0,1158473,91107,1149,7864.40,991.82,0.0126
"India","Chhattisgarh","",0,29436231,1146477,14009,3894.78,475.91,0.0122
"India","Dadra and Nagar Haveli and Daman and Diu","",0,615724,11438,3,1857.65,4.87,0.0003
"India","Delhi","",0,18710922,1822481,25231,9740.20,1348.46,0.0138
"India","Goa","",0,1586250,244039,3778,15384.65,2381.72,0.0155
"India","Gujarat","",0,63872399,1197265,9545,1874.46,149.44,0.0080
"India","Haryana","",0,28204692,970408,10461,3440.59,370.90,0.0108
"India","Himachal Pradesh","",0,7451955,280679,4081,3766.51,547.64,0.0145
"India","Jammu and Kashmir","",0,13606320,447233,4700,3286.95,345.43,0.0105
"India","Jharkhand","",0,38593948,432232,5307,1119.95,137.51,0.0123
"India","Karnataka","",0,67562686,3925587,39635,5810.29,586.64,0.0101
"India","Kerala","",0,35699443,6431003,62810,18014.30,1759.41,0.0098
"India","Ladakh","",0,274289,27520,226,10033.21,823.95,0.0082
"India","Lakshadweep","",0,64429,11344,52,17606.98,807.09,0.0046
"India","Madhya Pradesh","",0,85358965,1019926,10284,1194.87,120.48,0.0101
"India","Maharashtra","",0,123144223,7760461,140246,6301.93,1138.88,0.0181
"India","Manipur","",0,3091545,135768,2086,4391.59,674.74,0.0154
"India","Meghalaya","",0,3366709,93057,1564,2764.03,464.55,0.0168
"India","Mizoram","",0,1239244,200567,638,16184.63,514.83,0.0032
"India","Nagaland","",0,2249695,35157,753,1562.75,334.71,0.0214
"India","Odisha","",0,46356334,1276285,8917,2753.21,192.36,0.0070
"India","Puducherry","",0,1413541,165295,1959,11693.68,1385.88,0.0119
"India","Punjab","",0,30141372,753597,17574,2500.21,583.05,0.0233
"India","Rajasthan","",0,81032689,1258051,9230,1552.52,113.90,0.0073
"India","Sikkim","",0,690251,38985,439,5647.95,636.00,0.0113
"India","Tamil Nadu","",0,77841267,3406503,37653,4376.22,483.72,0.0111
"India","Telangana","",0,39362732,780998,3963,1984.11,100.68,0.0051
"India","Tripura","",0,4169793,99970,918,2397.48,220.15,0.0092
"India","Unknown","",0,-1,-9434,0,0.00,0.00,0.0000
"India","Uttar Pradesh","",0,237882725,2049897,23117,861.73,97.18,0.0113
"India","Uttarakhand","",0,11250858,432727,7648,3846.17,679.77,0.0177
"India","West Bengal","",0,99609302,2002996,20654,2010.85,207.35,0.0103
