Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Italy","Abruzzo","",0,1311580,243507,2510,18565.93,1913.72,0.0103
"Italy","Basilicata","",0,562868,75892,694,13483.09,1232.97,0.0091
"Italy","Calabria","",0,1947131,194268,1919,9977.14,985.55,0.0099
"Italy","Campania","",0,5801692,1146500,9181,19761.48,1582.47,0.0080
"Italy","Emilia-Romagna","",0,4459477,1124423,11699,25214.23,2623.40,0.0104
"Italy","Friuli Venezia Giulia","",0,1215220,295499,4346,24316.50,3576.31,0.0147
"Italy","Lazio","",0,5879082,1002167,9602,17046.32,1633.25,0.0096
"Italy","Liguria","",0,1550640,322016,3694,20766.65,2382.24,0.0115
"Italy","Lombardia","",0,10060574,2189567,22855,21763.84,2271.74,0.0104
"Italy","Marche","",0,1525271,300489,2543,19700.70,1667.24,0.0085
"Italy","Molise","",0,305617,35150,535,11501.32,1750.56,0.0152
"Italy","P.A. Bolzano","",0,532318,178034,1099,33445.05,2064.56,0.0062
"Italy","P.A. Trento","",0,541418,130446,1053,24093.40,1944.89,0.0081
"Italy","Piemonte","",0,4356406,921152,9401,21144.77,2157.97,0.0102
"Italy","Puglia","",0,4029053,683618,7000,16967.21,1737.38,0.0102
"Italy","Sardegna","",0,1639591,155668,1831,9494.32,1116.74,0.0118
"Italy","Sicilia","",0,4999891,719851,8851,14397.33,1770.24,0.0123
"Italy","Toscana","",0,3729641,811774,7719,21765.47,2069.64,0.0095
"Italy","Umbria","",0,882015,172674,1625,19577.22,1842.37,0.0094
"Italy","Valle d'Aosta","",0,125665,29706,374,23639.04,2976.17,0.0126
"Italy","Veneto","",0,4905854,1258801,11873,25659.16,2420.17,0.0094
