Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Japan","Aichi","",0,7552238,254958,1362,3375.93,180.34,0.0053
"Japan","Akita","",0,966489,6982,29,722.41,30.01,0.0042
"Japan","Aomori","",0,1246370,15827,49,1269.85,39.31,0.0031
"Japan","Chiba","",0,6259382,216580,1138,3460.09,181.81,0.0053
"Japan","Ehime","",0,1339215,13942,103,1041.06,76.91,0.0074
"Japan","Fukui","",0,767937,8901,38,1159.08,49.48,0.0043
"Japan","Fukuoka","",0,5103679,190826,763,3738.99,149.50,0.0040
"Japan","Fukushima","",0,1845519,20142,182,1091.40,98.62,0.0090
"Japan","Gifu","",0,1986587,42247,246,2126.61,123.83,0.0058
"Japan","Gunma","",0,1942456,43014,224,2214.41,115.32,0.0052
"Japan","Hiroshima","",0,2804177,64810,318,2311.20,113.40,0.0049
"Japan","Hokkaido","",0,5250049,141337,1617,2692.11,308.00,0.0114
"Japan","Hyogo","",0,5466189,209733,1590,3836.91,290.88,0.0076
"Japan","Ibaraki","",0,2860307,56597,246,1978.70,86.00,0.0043
"Japan","Ishikawa","",0,1137649,19292,153,1695.78,134.49,0.0079
"Japan","Iwate","",0,1226816,7035,55,573.44,44.83,0.0078
"Japan","Kagawa","",0,956346,13423,55,1403.57,57.51,0.0041
"Japan","Kagoshima","",0,1602273,25210,99,1573.39,61.79,0.0039
"Japan","Kanagawa","",0,9198268,364015,1466,3957.43,159.38,0.0040
"Japan","Kochi","",0,698028,9562,50,1369.86,71.63,0.0052
"Japan","Kumamoto","",0,1747567,40761,181,2332.44,103.57,0.0044
"Japan","Kyoto","",0,2582957,100629,337,3895.88,130.47,0.0033
"Japan","Mie","",0,1780882,32845,205,1844.31,115.11,0.0062
"Japan","Miyagi","",0,2306365,31539,125,1367.48,54.20,0.0040
"Japan","Miyazaki","",0,1073301,15722,67,1464.83,62.42,0.0043
"Japan","Nagano","",0,2048790,25755,122,1257.08,59.55,0.0047
"Japan","Nagasaki","",0,1326524,21418,92,1614.60,69.35,0.0043
"Japan","Nara","",0,1330123,41549,190,3123.70,142.84,0.0046
"Japan","Niigata","",0,2223106,23545,65,1059.10,29.24,0.0028
"Japan","Oita","",0,1135434,19704,90,1735.37,79.26,0.0046
"Japan","Okayama","",0,1889586,40416,169,2138.88,89.44,0.0042
"Japan","Okinawa","",0,1453167,91727,421,6312.21,289.71,0.0046
"Japan","Osaka","",0,8809363,526533,3414,5976.97,387.54,0.0065
"Japan","Port Quarantine","",0,-1,4463,4,0.00,0.00,0.0009
"Japan","Saga","",0,814711,18485,47,2268.90,57.69,0.0025
"Japan","Saitama","",0,7349693,249678,1115,3397.12,151.71,0.0045
"Japan","Shiga","",0,1413943,36899,118,2609.65,83.45,0.0032
"Japan","Shimane","",0,674346,5376,7,797.22,10.38,0.0013
"Japan","Shizuoka","",0,3643528,70458,270,1933.79,74.10,0.0038
"Japan","Tochigi","",0,1933990,35937,146,1858.18,75.49,0.0041
"Japan","Tokushima","",0,727977,7491,71,1029.02,97.53,0.0095
"Japan","Tokyo","",0,13920663,830237,3332,5964.06,239.36,0.0040
"Japan","Tottori","",0,555558,4916,5,884.88,9.00,0.0010
"Japan","Toyama","",0,1043502,11953,55,1145.47,52.71,0.0046
"Japan","Unknown","",0,-1,8,0,0.00,0.00,0.0000
"Japan","Wakayama","",0,924932,18317,82,1980.36,88.66,0.0045
"Japan","Yamagata","",0,1077666,9097,58,844.14,53.82,0.0064
"Japan","Yamaguchi","",0,1358336,17616,111,1296.88,81.72,0.0063
"Japan","Yamanashi","",0,810956,13406,38,1653.11,46.86,0.0028
