Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Malaysia","Johor","",0,3768200,287779,3952,7637.04,1048.78,0.0137
"Malaysia","Kedah","",0,2185900,198068,2203,9061.16,1007.82,0.0111
"Malaysia","Kelantan","",0,1892200,192264,1289,10160.87,681.22,0.0067
"Malaysia","Melaka","",0,932700,88845,977,9525.57,1047.50,0.0110
"Malaysia","Negeri Sembilan","",0,1132100,128017,1345,11307.92,1188.06,0.0105
"Malaysia","Pahang","",0,1677100,111694,815,6659.95,485.96,0.0073
"Malaysia","Perak","",0,2514299,138448,1463,5506.43,581.87,0.0106
"Malaysia","Perlis","",0,254599,9083,139,3567.57,545.96,0.0153
"Malaysia","Pulau Pinang","",0,1777600,182110,1779,10244.71,1000.79,0.0098
"Malaysia","Sabah","",0,3904700,282013,2862,7222.40,732.96,0.0101
"Malaysia","Sarawak","",0,2818099,254677,1622,9037.19,575.57,0.0064
"Malaysia","Selangor","",0,6541900,863190,10082,13194.79,1541.14,0.0117
"Malaysia","Terengganu","",0,1250100,88890,766,7110.63,612.75,0.0086
"Malaysia","W.P. Kuala Lumpur","",0,1778400,232586,2704,13078.39,1520.47,0.0116
"Malaysia","W.P. Labuan","",0,99400,12118,151,12191.15,1519.11,0.0125
"Malaysia","W.P. Putrajaya","",0,105399,11947,22,11335.02,208.73,0.0018
"Malaysia","Unknown","",0,-1,0,0,0.00,0.00,0.0000
