Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Mexico","Aguascalientes","",0,1434635,55145,3359,3843.83,2341.36,0.0609
"Mexico","Baja California","",0,3634868,122722,11263,3376.24,3098.60,0.0918
"Mexico","Baja California Sur","",0,804708,97650,2541,12134.84,3157.67,0.0260
"Mexico","Campeche","",0,1000616,31983,2104,3196.33,2102.70,0.0658
"Mexico","Chiapas","",0,5730367,29364,2289,512.43,399.45,0.0780
"Mexico","Chihuahua","",0,3801486,114452,9387,3010.72,2469.30,0.0820
"Mexico","Ciudad de Mexico","",0,9018645,1288534,40111,14287.45,4447.56,0.0311
"Mexico","Coahuila","",0,3218720,140628,8531,4369.07,2650.43,0.0607
"Mexico","Colima","",0,785153,52434,2113,6678.19,2691.20,0.0403
"Mexico","Durango","",0,1868996,65951,3378,3528.69,1807.39,0.0512
"Mexico","Guanajuato","",0,6228175,263292,14310,4227.43,2297.62,0.0544
"Mexico","Guerrero","",0,3657047,93243,6398,2549.68,1749.50,0.0686
"Mexico","Hidalgo","",0,3086414,82685,7985,2679.00,2587.14,0.0966
"Mexico","Jalisco","",0,8409693,218079,18592,2593.19,2210.78,0.0853
"Mexico","Mexico","",0,17427790,491553,45384,2820.51,2604.12,0.0923
"Mexico","Michoacan","",0,4825400,89417,8438,1853.05,1748.66,0.0944
"Mexico","Morelos","",0,2044057,61596,4890,3013.42,2392.30,0.0794
"Mexico","Nayarit","",0,1288571,55601,3009,4314.93,2335.14,0.0541
"Mexico","Nuevo Leon","",0,5610153,288859,14507,5148.86,2585.85,0.0502
"Mexico","Oaxaca","",0,4143592,109503,5797,2642.71,1399.03,0.0529
"Mexico","Puebla","",0,6604450,156982,15790,2376.91,2390.81,0.1006
"Mexico","Queretaro","",0,2279637,134016,5884,5878.83,2581.11,0.0439
"Mexico","Quintana Roo","",0,1723259,88953,4021,5161.91,2333.37,0.0452
"Mexico","San Luis Potosi","",0,2866142,168070,7278,5863.98,2539.30,0.0433
"Mexico","Sinaloa","",0,3156673,110428,9082,3498.24,2877.08,0.0822
"Mexico","Sonora","",0,3074745,155052,9746,5042.76,3169.69,0.0629
"Mexico","Tabasco","",0,2572287,183359,5585,7128.25,2171.22,0.0305
"Mexico","Tamaulipas","",0,3650601,136894,7638,3749.90,2092.26,0.0558
"Mexico","Tlaxcala","",0,1380010,40079,2919,2904.25,2115.20,0.0728
"Mexico","Unknown","",0,-1,0,0,0.00,0.00,0.0000
"Mexico","Veracruz","",0,8539862,155682,15279,1823.00,1789.14,0.0981
"Mexico","Yucatan","",0,2259098,103867,5839,4597.72,2584.66,0.0562
"Mexico","Zacatecas","",0,1666426,64730,3742,3884.36,2245.52,0.0578
