Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Peru","Amazonas","",0,426800,41890,1307,9814.90,3062.32,0.0312
"Peru","Ancash","",0,1180600,119037,6915,10082.75,5857.19,0.0581
"Peru","Apurimac","",0,430700,35814,1568,8315.30,3640.59,0.0438
"Peru","Arequipa","",0,1497400,198896,9942,13282.76,6639.51,0.0500
"Peru","Ayacucho","",0,668200,46689,2238,6987.28,3349.30,0.0479
"Peru","Cajamarca","",0,1453700,92318,4294,6350.55,2953.84,0.0465
"Peru","Callao","",0,1129899,143180,10311,12671.93,9125.59,0.0720
"Peru","Cusco","",0,1357100,113107,4973,8334.46,3664.43,0.0440
"Peru","Huancavelica","",0,365300,23659,1219,6476.59,3336.98,0.0515
"Peru","Huanuco","",0,760300,49978,2785,6573.46,3663.03,0.0557
"Peru","Ica","",0,975200,97412,8755,9988.93,8977.65,0.0899
"Peru","Junin","",0,1361500,120798,7258,8872.42,5330.89,0.0601
"Peru","La Libertad","",0,2016800,140626,10659,6972.73,5285.11,0.0758
"Peru","Lambayeque","",0,1310800,102601,8871,7827.36,6767.62,0.0865
"Peru","Lima","",0,10628500,1529585,91304,14391.35,8590.49,0.0597
"Peru","Loreto","",0,1027600,57208,4318,5567.15,4202.02,0.0755
"Peru","Madre de Dios","",0,173799,17191,811,9891.31,4666.31,0.0472
"Peru","Moquegua","",0,192700,45831,1562,23783.60,8105.86,0.0341
"Peru","Pasco","",0,271900,22652,1067,8331.00,3924.24,0.0471
"Peru","Piura","",0,2048000,150775,12602,7362.06,6153.32,0.0836
"Peru","Puno","",0,1238000,62724,4470,5066.56,3610.66,0.0713
"Peru","San Martin","",0,899600,60458,3078,6720.54,3421.52,0.0509
"Peru","Tacna","",0,371000,51650,2044,13921.83,5509.43,0.0396
"Peru","Tumbes","",0,251499,22957,1636,9128.07,6505.00,0.0713
"Peru","Ucayali","",0,589100,38590,3101,6550.67,5263.96,0.0804
"Peru","Unknown","",0,-1,73990,1548,0.00,0.00,0.0209
