Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Russia","Adygea Republic","",0,453376,35988,844,7937.78,1861.59,0.0235
"Russia","Altai Krai","",0,2350080,184845,7651,7865.48,3255.63,0.0414
"Russia","Altai Republic","",0,218063,29226,579,13402.55,2655.20,0.0198
"Russia","Amur Oblast","",0,798424,70847,700,8873.36,876.73,0.0099
"Russia","Arkhangelsk Oblast","",0,1155028,183410,1571,15879.27,1360.14,0.0086
"Russia","Astrakhan Oblast","",0,1017514,98876,2740,9717.41,2692.84,0.0277
"Russia","Bashkortostan Republic","",0,4063293,164835,4945,4056.69,1216.99,0.0300
"Russia","Belgorod Oblast","",0,1549876,100955,1969,6513.75,1270.42,0.0195
"Russia","Bryansk Oblast","",0,1210981,122786,3325,10139.38,2745.71,0.0271
"Russia","Buryatia Republic","",0,984511,108353,2719,11005.77,2761.78,0.0251
"Russia","Chechen Republic","",0,1436980,40198,1044,2797.39,726.52,0.0260
"Russia","Chelyabinsk Oblast","",0,3493036,228137,6685,6531.20,1913.81,0.0293
"Russia","Chukotka Autonomous Okrug","",0,49348,3865,39,7832.13,790.31,0.0101
"Russia","Chuvashia Republic","",0,1231116,64925,4294,5273.67,3487.89,0.0661
"Russia","Dagestan Republic","",0,3063885,78042,3151,2547.16,1028.43,0.0404
"Russia","Ingushetia Republic","",0,488043,34542,477,7077.66,977.37,0.0138
"Russia","Irkutsk Oblast","",0,2404195,206648,7634,8595.31,3175.28,0.0369
"Russia","Ivanovo Oblast","",0,1014646,79551,2756,7840.27,2716.22,0.0346
"Russia","Jewish Autonomous Okrug","",0,162014,12939,465,7986.35,2870.12,0.0359
"Russia","Kabardino-Balkarian Republic","",0,865827,48574,1623,5610.13,1874.51,0.0334
"Russia","Kaliningrad Oblast","",0,994599,117702,1503,11834.12,1511.16,0.0128
"Russia","Kalmykia Republic","",0,275413,42832,786,15551.92,2853.90,0.0184
"Russia","Kaluga Oblast","",0,1012056,83111,1302,8212.09,1286.49,0.0157
"Russia","Kamchatka Krai","",0,315557,30023,553,9514.29,1752.46,0.0184
"Russia","Karachay-Cherkess Republic","",0,466305,39025,945,8368.99,2026.57,0.0242
"Russia","Karelia Republic","",0,622484,112506,1367,18073.72,2196.04,0.0122
"Russia","Kemerovo Oblast","",0,2694877,119513,2022,4434.82,750.31,0.0169
"Russia","Khabarovsk Krai","",0,1328302,150726,1371,11347.27,1032.14,0.0091
"Russia","Khakassia Republic","",0,537513,72837,2173,13550.74,4042.69,0.0298
"Russia","Khanty-Mansi Autonomous Okrug","",0,1532243,167791,2230,10950.68,1455.38,0.0133
"Russia","Kirov Oblast","",0,1283238,110076,839,8577.99,653.81,0.0076
"Russia","Komi Republic","",0,840873,130526,2810,15522.68,3341.77,0.0215
"Russia","Kostroma Oblast","",0,643324,64339,1187,10001.03,1845.10,0.0184
"Russia","Krasnodar Krai","",0,5603420,182661,10191,3259.81,1818.71,0.0558
"Russia","Krasnoyarsk Krai","",0,2876497,260084,9653,9041.69,3355.82,0.0371
"Russia","Kurgan Oblast","",0,845537,69762,1092,8250.61,1291.49,0.0157
"Russia","Kursk Oblast","",0,1115237,94729,2225,8494.07,1995.09,0.0235
"Russia","Leningrad Oblast","",0,1813816,146343,3232,8068.24,1781.88,0.0221
"Russia","Lipetsk Oblast","",0,1150201,110929,3160,9644.31,2747.35,0.0285
"Russia","Magadan Oblast","",0,144091,16594,359,11516.33,2491.48,0.0216
"Russia","Mari El Republic","",0,682333,38005,985,5569.86,1443.58,0.0259
"Russia","Mordovia Republic","",0,805056,50049,1202,6216.83,1493.06,0.0240
