Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Spain","Andalusia","",0,8427405,1292535,11124,15337.28,1319.98,0.0086
"Spain","Aragon","",0,1320586,383483,3848,29038.85,2913.86,0.0100
"Spain","Asturias","",0,1022205,186260,2097,18221.39,2051.45,0.0113
"Spain","Baleares","",0,1188220,245970,978,20700.71,823.08,0.0040
"Spain","C. Valenciana","",0,4974969,1243441,7497,24993.94,1506.94,0.0060
"Spain","Canarias","",0,2206901,270725,1384,12267.20,627.12,0.0051
"Spain","Cantabria","",0,581640,120160,530,20658.83,911.22,0.0044
"Spain","Castilla - La Mancha","",0,2034877,443472,4142,21793.55,2035.50,0.0093
"Spain","Castilla y Leon","",0,2407733,618777,6192,25699.57,2571.71,0.0100
"Spain","Catalonia","",0,7566431,2154015,11365,28468.05,1502.03,0.0053
"Spain","Ceuta","",0,84829,18405,140,21696.59,1650.38,0.0076
"Spain","Extremadura","",0,1065424,225495,1706,21164.81,1601.24,0.0076
"Spain","Galicia","",0,2700441,496044,2440,18369.00,903.56,0.0049
"Spain","La Rioja","",0,313571,83139,553,26513.61,1763.56,0.0067
"Spain","Madrid","",0,6641649,1482396,8128,22319.70,1223.79,0.0055
"Spain","Melilla","",0,84689,19884,144,23478.85,1700.34,0.0072
"Spain","Murcia","",0,1487663,357213,1962,24011.69,1318.85,0.0055
"Spain","Navarra","",0,649946,214216,976,32959.05,1501.66,0.0046
"Spain","Pais Vasco","",0,2177880,627506,4380,28812.70,2011.13,0.0070
"Spain","Unknown","",0,-1,0,0,0.00,0.00,0.0000
