Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Sweden","Blekinge","",0,159606,28127,141,17622.77,883.43,0.0050
"Sweden","Dalarna","",0,287965,64335,252,22341.26,875.11,0.0039
"Sweden","Gavleborg","",0,287382,69214,490,24084.32,1705.05,0.0071
"Sweden","Gotland","",0,59685,10884,51,18235.74,854.49,0.0047
"Sweden","Halland","",0,333848,100336,317,30054.40,949.53,0.0032
"Sweden","Jamtland Harjedalen","",0,130810,30604,112,23395.76,856.20,0.0037
"Sweden","Jonkoping","",0,363598,82185,467,22603.26,1284.39,0.0057
"Sweden","Kalmar","",0,245446,56692,239,23097.54,973.74,0.0042
"Sweden","Kronoberg","",0,201468,46253,274,22957.99,1360.02,0.0059
"Sweden","Norrbotten","",0,250093,45760,269,18297.19,1075.60,0.0059
"Sweden","Orebro","",0,304805,85432,253,28028.41,830.04,0.0030
"Sweden","Ostergotland","",0,465495,89190,516,19160.25,1108.50,0.0058
"Sweden","Skane","",0,1377827,328017,1870,23806.83,1357.21,0.0057
"Sweden","Sormland","",0,297540,58602,293,19695.50,984.74,0.0050
"Sweden","Stockholm","",0,2377080,542070,2764,22804.03,1162.77,0.0051
"Sweden","Uppsala","",0,383712,84157,422,21932.33,1099.78,0.0050
"Sweden","Varmland","",0,282413,60185,218,21310.99,771.92,0.0036
"Sweden","Vasterbotten","",0,271736,51021,191,18775.94,702.89,0.0037
"Sweden","Vasternorrland","",0,245347,49852,404,20318.98,1646.65,0.0081
"Sweden","Vastmanland","",0,275845,70923,255,25711.18,924.43,0.0036
"Sweden","Vastra Gotaland","",0,1725881,417315,2149,24179.82,1245.16,0.0051
