Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Alabama","",1001,4959043,1266566,17648,25540.53,3558.75,0.0139
"US","Alaska","",2013,735124,234183,1115,31856.26,1516.75,0.0048
"US","Arizona","",4001,7350602,1954739,27213,26592.91,3702.15,0.0139
"US","Arkansas","",5001,3035276,809648,10137,26674.61,3339.73,0.0125
"US","California","",6001,41183542,8856822,83086,21505.73,2017.46,0.0094
"US","Colorado","",8001,6276142,1295247,11664,20637.63,1858.47,0.0090
"US","Connecticut","",9001,4508618,715610,10313,15872.05,2287.40,0.0144
"US","Delaware","",10001,1154550,253970,2648,21997.31,2293.53,0.0104
"US","District of Columbia","",11001,1411498,133342,1310,9446.84,928.09,0.0098
"US","Florida","",12001,21746763,5784439,67965,26599.08,3125.29,0.0117
"US","Georgia","",13001,10635777,2414339,33880,22700.17,3185.47,0.0140
"US","Hawaii","",15001,1617299,232482,1264,14374.71,781.55,0.0054
"US","Idaho","",16001,2268643,406870,4607,17934.51,2030.73,0.0113
"US","Illinois","",17001,12737231,3004048,34495,23584.78,2708.20,0.0115
"US","Indiana","",18001,6767979,1670160,22255,24677.38,3288.28,0.0133
"US","Iowa","",19001,3162195,741802,8841,23458.45,2795.84,0.0119
"US","Kansas","",20001,2925654,757028,7821,25875.51,2673.25,0.0103
"US","Kentucky","",21001,4486848,1244600,13441,27738.85,2995.64,0.0108
"US","Louisiana","",22001,4710830,1153557,16261,24487.34,3451.83,0.0141
"US","Maine","",23001,1452488,196402,1845,13521.76,1270.23,0.0094
"US","Maryland","",24001,6116093,971367,13947,15882.15,2280.38,0.0144
"US","Massachusetts","",25001,7105490,1662808,22963,23401.74,3231.73,0.0138
"US","Michigan","",26001,9997243,2332225,33553,23328.68,3356.23,0.0144
"US","Minnesota","",27001,5655505,1398926,12024,24735.65,2126.07,0.0086
"US","Mississippi","",28001,3006817,783162,11694,26046.21,3889.16,0.0149
"US","Missouri","",29001,6651687,1388065,18464,20867.86,2775.84,0.0133
"US","Montana","",30001,1078220,258833,3082,24005.58,2858.41,0.0119
"US","Nebraska","",31001,1965754,451812,3830,22984.16,1948.36,0.0085
"US","Nevada","",32510,3136068,675803,9414,21549.37,3001.85,0.0139
"US","New Hampshire","",33001,1421012,290796,2313,20464.01,1627.71,0.0080
"US","New Jersey","",34001,9145854,2148241,32488,23488.69,3552.21,0.0151
"US","New Mexico","",35001,2775947,504392,6709,18170.09,2416.83,0.0133
"US","New York","",36001,19759056,4889578,66715,24746.01,3376.43,0.0136
"US","North Carolina","",37001,10657569,2544109,21843,23871.38,2049.53,0.0086
"US","North Dakota","",38001,764264,235613,2211,30828.75,2892.98,0.0094
"US","Ohio","",39001,11716781,2636483,35376,22501.77,3019.26,0.0134
"US","Oklahoma","",40001,3979150,1009919,14067,25380.27,3535.18,0.0139
"US","Oregon","",41001,4233851,681106,6395,16087.15,1510.45,0.0094
"US","Pennsylvania","",42001,12904989,2729905,42422,21153.87,3287.26,0.0155
"US","Puerto Rico","",72001,3211041,492786,3868,15346.61,1204.59,0.0078
"US","Rhode Island","",44001,1107840,353109,3391,31873.65,3060.91,0.0096
"US","South Carolina","",45001,5173231,1443405,16251,27901.42,3141.36,0.0113
"US","South Dakota","",46003,887398,233459,2743,26308.26,3091.06,0.0117
"US","Tennessee","",47001,6906132,1975735,23455,28608.42,3396.26,0.0119
"US","Texas","",48001,29053571,6539882,82619,22509.74,2843.68,0.0126
"US","Utah","",0,3392774,915300,4322,26977.92,1273.88,0.0047
"US","Vermont","",50001,660765,109815,574,16619.37,868.69,0.0052
"US","Virginia","",51001,8567802,1613843,17776,18836.14,2074.74,0.0110
"US","Washington","",53001,7634867,1413269,11387,18510.72,1491.45,0.0081
"US","West Virginia","",54001,1808573,478371,6062,26450.19,3351.81,0.0127
"US","Wisconsin","",55001,5842642,1559463,12970,26691.06,2219.89,0.0083
"US","Wyoming","",56001,617635,153387,1684,24834.57,2726.53,0.0110
