Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Alaska","Aleutians East",2013,3337,1011,3,30296.67,899.01,0.0030
"US","Alaska","Aleutians West",2016,5634,1670,2,29641.46,354.99,0.0012
"US","Alaska","Anchorage",2020,288000,98904,481,34341.67,1670.14,0.0049
"US","Alaska","Bethel",2050,18386,8733,37,47498.10,2012.40,0.0042
"US","Alaska","Bristol Bay",2060,-1,0,0,0.00,0.00,0.0000
"US","Alaska","Bristol Bay plus Lake and Peninsula",2164,2427,785,1,32344.46,412.03,0.0013
"US","Alaska","Denali",2068,2097,379,1,18073.44,476.87,0.0026
"US","Alaska","Dillingham",2070,4916,1496,11,30431.24,2237.59,0.0074
"US","Alaska","Fairbanks North Star",2090,96849,26544,124,27407.61,1280.34,0.0047
"US","Alaska","Haines",2100,2529,502,1,19849.74,395.41,0.0020
"US","Alaska","Juneau",2110,31973,7664,18,23970.22,562.98,0.0023
"US","Alaska","Kenai Peninsula",2122,58707,16474,95,28061.39,1618.21,0.0058
"US","Alaska","Ketchikan Gateway",2130,13901,3695,19,26580.82,1366.81,0.0051
"US","Alaska","Kodiak Island",2150,12998,4697,10,36136.33,769.35,0.0021
"US","Alaska","Kusilvak",2158,8313,3550,9,42704.20,1082.64,0.0025
"US","Alaska","Matanuska-Susitna",2170,108317,33231,212,30679.39,1957.22,0.0064
"US","Alaska","Nome",2180,10004,4896,5,48940.42,499.80,0.0010
"US","Alaska","North Slope",2185,9832,4136,10,42066.72,1017.09,0.0024
"US","Alaska","Northwest Arctic",2188,7621,3891,12,51056.29,1574.60,0.0031
"US","Alaska","Petersburg",2195,3266,665,3,20361.30,918.55,0.0045
"US","Alaska","Prince of Wales-Hyder",2198,6203,1270,6,20473.96,967.27,0.0047
"US","Alaska","Sitka",2220,8492,2167,6,25518.13,706.55,0.0028
"US","Alaska","Skagway",2230,1183,130,0,10989.01,0.00,0.0000
"US","Alaska","Southeast Fairbanks",2240,6893,1938,16,28115.48,2321.20,0.0083
"US","Alaska","Unassigned",90002,-1,819,1,0.00,0.00,0.0012
"US","Alaska","Valdez-Cordova",2261,-1,0,0,0.00,0.00,0.0000
"US","Alaska","Wrangell",2275,2502,452,1,18065.55,399.68,0.0022
"US","Alaska","Yakutat",2282,2727,468,5,17161.72,1833.52,0.0107
"US","Alaska","Yukon-Koyukuk",2290,5230,1278,8,24435.95,1529.64,0.0063
"US","Alaska","Copper River",2066,2699,913,8,33827.34,2964.06,0.0088
"US","Alaska","Chugach",2063,6751,1816,9,26899.72,1333.14,0.0050
"US","Alaska","Soldotna",0,-1,0,0,0.00,0.00,0.0000
"US","Alaska","Sterling",0,-1,0,0,0.00,0.00,0.0000
"US","Alaska","Hoonah-Angoon",2105,-1,0,0,0.00,0.00,0.0000
"US","Alaska","Lake and Peninsula",2164,-1,0,0,0.00,0.00,0.0000
