Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Arizona","Apache",4001,71886,21469,576,29865.34,8012.69,0.0268
"US","Arizona","Cochise",4003,125922,30410,529,24149.87,4201.01,0.0174
"US","Arizona","Coconino",4005,143476,42602,448,29692.77,3122.47,0.0105
"US","Arizona","Gila",4007,54018,16631,346,30787.89,6405.27,0.0208
"US","Arizona","Graham",4009,38837,11747,168,30246.93,4325.77,0.0143
"US","Arizona","Greenlee",4011,9498,2168,31,22825.86,3263.85,0.0143
"US","Arizona","La Paz",4012,21108,5063,128,23986.17,6064.05,0.0253
"US","Arizona","Maricopa",4013,4485414,1232982,15339,27488.70,3419.75,0.0124
"US","Arizona","Mohave",4015,212181,56190,1337,26482.11,6301.22,0.0238
"US","Arizona","Navajo",4017,110924,37103,832,33449.03,7500.63,0.0224
"US","Arizona","Out of AZ",80004,-1,0,0,0.00,0.00,0.0000
"US","Arizona","Pima",4019,1047279,246168,3557,23505.48,3396.42,0.0144
"US","Arizona","Pinal",4021,462789,127297,1501,27506.49,3243.38,0.0118
"US","Arizona","Santa Cruz",4023,46498,16472,217,35425.18,4666.87,0.0132
"US","Arizona","Unassigned",90004,-1,0,0,0.00,0.00,0.0000
"US","Arizona","Yavapai",4025,235099,46894,1111,19946.49,4725.67,0.0237
"US","Arizona","Yuma",4027,213787,61539,1089,28785.19,5093.86,0.0177
