Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Arkansas","Arkansas",5001,17486,5571,73,31859.77,4174.77,0.0131
"US","Arkansas","Ashley",5003,19657,4980,57,25334.49,2899.73,0.0114
"US","Arkansas","Baxter",5005,41932,8391,226,20010.97,5389.68,0.0269
"US","Arkansas","Benton",5007,279141,65007,743,23288.23,2661.74,0.0114
"US","Arkansas","Boone",5009,37432,9199,157,24575.23,4194.27,0.0171
"US","Arkansas","Bradley",5011,10763,2946,43,27371.55,3995.17,0.0146
"US","Arkansas","Calhoun",5013,5189,887,9,17093.85,1734.44,0.0101
"US","Arkansas","Carroll",5015,28379,5928,87,20888.69,3065.65,0.0147
"US","Arkansas","Chicot",5017,10118,2719,53,26872.90,5238.19,0.0195
"US","Arkansas","Clark",5019,22320,5109,73,22889.78,3270.61,0.0143
"US","Arkansas","Clay",5021,14550,4029,82,27690.72,5635.74,0.0204
"US","Arkansas","Cleburne",5023,24919,6285,111,25221.72,4454.43,0.0177
"US","Arkansas","Cleveland",5025,7956,2219,33,27890.90,4147.81,0.0149
"US","Arkansas","Columbia",5027,23457,5173,79,22053.12,3367.86,0.0153
"US","Arkansas","Conway",5029,20846,5331,53,25573.25,2542.45,0.0099
"US","Arkansas","Craighead",5031,110332,35876,298,32516.41,2700.94,0.0083
"US","Arkansas","Crawford",5033,63257,15544,223,24572.77,3525.30,0.0143
"US","Arkansas","Crittenden",5035,47955,13606,208,28372.43,4337.40,0.0153
"US","Arkansas","Cross",5037,16419,4642,75,28272.12,4567.88,0.0162
"US","Arkansas","Dallas",5039,7009,1695,24,24183.19,3424.17,0.0142
"US","Arkansas","Desha",5041,11361,2976,37,26194.88,3256.76,0.0124
"US","Arkansas","Drew",5043,18218,4541,59,24925.90,3238.56,0.0130
"US","Arkansas","Faulkner",5045,126007,34377,282,27281.82,2237.97,0.0082
"US","Arkansas","Franklin",5047,17715,3714,67,20965.28,3782.11,0.0180
"US","Arkansas","Fulton",5049,12477,2608,83,20902.46,6652.24,0.0318
"US","Arkansas","Garland",5051,99385,22234,457,22371.59,4598.28,0.0206
"US","Arkansas","Grant",5053,18264,4282,55,23445.03,3011.39,0.0128
"US","Arkansas","Greene",5055,45325,15489,157,34173.19,3463.87,0.0101
"US","Arkansas","Hempstead",5057,21532,4431,53,20578.67,2461.45,0.0120
"US","Arkansas","Hot Spring",5059,33771,10828,119,32063.01,3523.73,0.0110
"US","Arkansas","Howard",5061,13202,3689,47,27942.74,3560.07,0.0127
"US","Arkansas","Independence",5063,37825,10427,189,27566.42,4996.70,0.0181
"US","Arkansas","Izard",5065,13629,3821,63,28035.81,4622.50,0.0165
