Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","California","Alameda",6001,1671329,259356,1678,15517.95,1003.99,0.0065
"US","California","Alpine",6003,1129,126,0,11160.32,0.00,0.0000
"US","California","Amador",6005,39752,8795,77,22124.67,1937.01,0.0088
"US","California","Butte",6007,219185,38274,360,17461.96,1642.45,0.0094
"US","California","Calaveras",6009,45905,7485,106,16305.41,2309.12,0.0142
"US","California","Colusa",6011,21547,4417,21,20499.37,974.61,0.0048
"US","California","Contra Costa",6013,1153526,194961,1164,16901.31,1009.08,0.0060
"US","California","Del Norte",6015,27811,5614,45,20186.26,1618.06,0.0080
"US","California","El Dorado",6017,192843,29040,188,15058.88,974.89,0.0065
"US","California","Fresno",6019,999101,243167,2536,24338.58,2538.28,0.0104
"US","California","Glenn",6021,28393,6376,39,22456.24,1373.58,0.0061
"US","California","Humboldt",6023,135558,19052,135,14054.50,995.88,0.0071
"US","California","Imperial",6025,181215,64173,860,35412.63,4745.74,0.0134
"US","California","Inyo",6027,18039,4459,52,24718.67,2882.64,0.0117
"US","California","Kern",6029,900202,229065,2076,25445.96,2306.15,0.0091
"US","California","Kings",6031,152940,52706,419,34461.88,2739.64,0.0079
"US","California","Lake",6033,64386,10856,123,16860.81,1910.35,0.0113
"US","California","Lassen",6035,30573,10458,63,34206.65,2060.64,0.0060
"US","California","Los Angeles",6037,10039107,2767584,29991,27568.03,2987.42,0.0108
"US","California","Madera",6039,157327,41875,352,26616.54,2237.38,0.0084
"US","California","Marin",6041,258826,35764,255,13817.78,985.22,0.0071
"US","California","Mariposa",6043,17203,2899,20,16851.71,1162.59,0.0069
"US","California","Mendocino",6045,86749,15250,118,17579.45,1360.25,0.0077
"US","California","Merced",6047,277680,67214,759,24205.56,2733.36,0.0113
"US","California","Modoc",6049,8841,944,6,10677.53,678.66,0.0064
"US","California","Mono",6051,14443,3071,5,21262.90,346.19,0.0016
"US","California","Monterey",6053,434061,88710,677,20437.22,1559.69,0.0076
"US","California","Napa",6055,137744,25790,127,18723.14,922.00,0.0049
"US","California","Nevada",6057,99755,16865,121,16906.42,1212.97,0.0072
"US","California","Orange",6059,3175692,577207,6375,18175.79,2007.44,0.0110
"US","California","Placer",6061,398329,68352,555,17159.68,1393.32,0.0081
"US","California","Plumas",6063,18807,2985,13,15871.75,691.23,0.0044
"US","California","Riverside",6065,2470546,606767,5998,24560.04,2427.80,0.0099
"US","California","Sacramento",6067,1552058,295274,2834,19024.68,1825.96,0.0096
"US","California","San Benito",6069,62808,13134,92,20911.35,1464.78,0.0070
"US","California","San Bernardino",6071,2180085,575616,6372,26403.37,2922.82,0.0111
"US","California","San Diego",6073,3338330,771114,4895,23098.79,1466.30,0.0063
"US","California","San Francisco",6075,881548,129617,755,14703.34,856.45,0.0058
"US","California","San Joaquin",6077,762148,171922,2019,22557.56,2649.09,0.0117
"US","California","San Luis Obispo",6079,283111,54373,416,19205.54,1469.39,0.0077
"US","California","San Mateo",6081,766572,124102,686,16189.22,894.89,0.0055
"US","California","Santa Barbara",6083,446498,88367,636,19791.13,1424.42,0.0072
"US","California","Santa Clara",6085,1927852,314394,2123,16307.99,1101.23,0.0068
"US","California","Santa Cruz",6087,273213,47154,248,17259.06,907.72,0.0053
"US","California","Shasta",6089,180080,35797,537,19878.39,2982.01,0.0150
"US","California","Sierra",6091,3004,311,0,10352.86,0.00,0.0000
"US","California","Siskiyou",6093,43539,6919,69,15891.50,1584.79,0.0100
"US","California","Solano",6095,447643,84011,427,18767.41,953.89,0.0051
"US","California","Sonoma",6097,494336,82568,461,16702.81,932.56,0.0056
"US","California","Stanislaus",6099,550660,132584,1596,24077.29,2898.34,0.0120
"US","California","Sutter",6101,96971,21735,210,22413.92,2165.60,0.0097
"US","California","Tehama",6103,65083,14230,151,21864.39,2320.11,0.0106
"US","California","Trinity",6105,12285,1397,20,11371.59,1628.00,0.0143
"US","California","Tulare",6107,466194,128664,1277,27598.81,2739.20,0.0099
"US","California","Tuolumne",6109,54478,12470,166,22889.97,3047.10,0.0133
"US","California","Unassigned",90006,-1,7480,3,0.00,0.00,0.0004
"US","California","Ventura",6111,846006,179111,1371,21171.36,1620.56,0.0077
"US","California","Yolo",6113,220499,38263,288,17352.91,1306.13,0.0075
"US","California","Yuba",6115,78668,16543,108,21028.88,1372.86,0.0065
