Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Colorado","Adams",8001,517420,127420,1222,24626.03,2361.72,0.0096
"US","Colorado","Alamosa",8003,16233,4314,58,26575.49,3572.97,0.0134
"US","Colorado","Arapahoe",8005,656590,144994,1123,22082.88,1710.35,0.0077
"US","Colorado","Archuleta",8007,14029,2798,12,19944.40,855.37,0.0043
"US","Colorado","Baca",8009,3581,799,8,22312.20,2234.01,0.0100
"US","Colorado","Bent",8011,5577,2411,47,43231.13,8427.47,0.0195
"US","Colorado","Boulder",8013,326196,59811,334,18335.91,1023.92,0.0056
"US","Colorado","Broomfield",8014,70465,12732,111,18068.54,1575.25,0.0087
"US","Colorado","Chaffee",8015,20356,4212,42,20691.69,2063.27,0.0100
"US","Colorado","Cheyenne",8017,1831,312,9,17039.87,4915.35,0.0288
"US","Colorado","Clear Creek",8019,9699,1487,10,15331.48,1031.03,0.0067
"US","Colorado","Conejos",8021,8205,1648,50,20085.31,6093.85,0.0303
"US","Colorado","Costilla",8023,3887,643,14,16542.32,3601.75,0.0218
"US","Colorado","Crowley",8025,6061,3075,28,50734.20,4619.70,0.0091
"US","Colorado","Custer",8027,5067,615,18,12137.36,3552.40,0.0293
"US","Colorado","Delta",8029,31162,5781,128,18551.44,4107.57,0.0221
"US","Colorado","Denver",8031,727211,162649,1258,22366.14,1729.90,0.0077
"US","Colorado","Dolores",8033,2055,345,7,16788.32,3406.33,0.0203
"US","Colorado","Douglas",8035,351154,74317,394,21163.65,1122.01,0.0053
"US","Colorado","Eagle",8037,55126,15457,35,28039.40,634.91,0.0023
"US","Colorado","El Paso",8041,720403,176187,1577,24456.73,2189.05,0.0090
"US","Colorado","Elbert",8039,26729,4574,36,17112.50,1346.85,0.0079
"US","Colorado","Fremont",8043,47839,14104,177,29482.22,3699.91,0.0125
"US","Colorado","Garfield",8045,60061,13906,87,23153.13,1448.53,0.0063
"US","Colorado","Gilpin",8047,6243,910,4,14576.33,640.72,0.0044
"US","Colorado","Grand",8049,15734,3365,22,21386.81,1398.25,0.0065
"US","Colorado","Gunnison",8051,17462,3162,13,18107.89,744.47,0.0041
"US","Colorado","Hinsdale",8053,819,120,0,14652.01,0.00,0.0000
"US","Colorado","Huerfano",8055,6897,1373,28,19907.21,4059.74,0.0204
"US","Colorado","Jackson",8057,1391,158,0,11358.73,0.00,0.0000
"US","Colorado","Jefferson",8059,582881,116345,1286,19960.33,2206.28,0.0111
"US","Colorado","Kiowa",8061,1406,325,6,23115.22,4267.43,0.0185
"US","Colorado","Kit Carson",8063,7097,1552,29,21868.40,4086.23,0.0187
"US","Colorado","La Plata",8067,56221,12209,79,21716.08,1405.17,0.0065
"US","Colorado","Lake",8065,8127,1763,2,21693.12,246.09,0.0011
"US","Colorado","Larimer",8069,356898,72271,457,20249.76,1280.48,0.0063
"US","Colorado","Las Animas",8071,14505,3353,39,23116.17,2688.73,0.0116
"US","Colorado","Lincoln",8073,5701,2019,9,35414.84,1578.67,0.0045
"US","Colorado","Logan",8075,22409,6958,106,31050.02,4730.24,0.0152
"US","Colorado","Mesa",8077,154210,40421,523,26211.66,3391.48,0.0129
"US","Colorado","Mineral",8079,769,219,1,28478.54,1300.39,0.0046
"US","Colorado","Moffat",8081,13283,2874,51,21636.68,3839.49,0.0177
"US","Colorado","Montezuma",8083,26183,5860,64,22380.93,2444.33,0.0109
"US","Colorado","Montrose",8085,42757,8894,156,20801.27,3648.53,0.0175
"US","Colorado","Morgan",8087,29068,5408,132,18604.65,4541.08,0.0244
"US","Colorado","Otero",8089,18278,4120,125,22540.76,6838.82,0.0303
"US","Colorado","Ouray",8091,4952,828,6,16720.52,1211.63,0.0072
"US","Colorado","Out of CO",80008,-1,0,0,0.00,0.00,0.0000
"US","Colorado","Park",8093,18845,2708,20,14369.86,1061.29,0.0074
"US","Colorado","Phillips",8095,4265,840,16,19695.19,3751.47,0.0190
"US","Colorado","Pitkin",8097,17767,6076,6,34198.23,337.70,0.0010
"US","Colorado","Prowers",8099,12172,2523,47,20727.90,3861.32,0.0186
"US","Colorado","Pueblo",8101,168424,43348,759,25737.42,4506.48,0.0175
"US","Colorado","Rio Blanco",8103,6324,1576,13,24920.94,2055.66,0.0082
"US","Colorado","Rio Grande",8105,11267,2658,43,23591.02,3816.46,0.0162
"US","Colorado","Routt",8107,25637,6074,24,23692.32,936.15,0.0040
"US","Colorado","Saguache",8109,6823,1110,12,16268.50,1758.76,0.0108
"US","Colorado","San Juan",8111,727,198,0,27235.21,0.00,0.0000
"US","Colorado","San Miguel",8113,8179,2162,7,26433.55,855.85,0.0032
"US","Colorado","Sedgwick",8115,2248,463,8,20596.09,3558.72,0.0173
"US","Colorado","Summit",8117,31011,9444,14,30453.71,451.45,0.0015
"US","Colorado","Teller",8119,25387,4616,55,18182.53,2166.46,0.0119
"US","Colorado","Unassigned",90008,-1,108,0,0.00,0.00,0.0000
"US","Colorado","Washington",8121,4908,1015,26,20680.52,5297.47,0.0256
"US","Colorado","Weld",8123,324492,79397,661,24468.09,2037.03,0.0083
"US","Colorado","Yuma",8125,10018,1819,22,18157.32,2196.05,0.0121
