Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Florida","Alachua",12001,269043,66429,549,24690.85,2040.57,0.0083
"US","Florida","Baker",12003,29210,8543,130,29246.83,4450.53,0.0152
"US","Florida","Bay",12005,174705,45824,754,26229.36,4315.85,0.0165
"US","Florida","Bradford",12007,28200,7384,133,26184.40,4716.31,0.0180
"US","Florida","Brevard",12009,601941,131075,1935,21775.39,3214.60,0.0148
"US","Florida","Broward",12011,1952778,595110,5463,30475.05,2797.55,0.0092
"US","Florida","Calhoun",12013,14105,4051,85,28720.31,6026.23,0.0210
"US","Florida","Charlotte",12015,188910,34618,685,18325.13,3626.07,0.0198
"US","Florida","Citrus",12017,149657,28809,906,19250.02,6053.84,0.0314
"US","Florida","Clay",12019,219252,52768,764,24067.28,3484.57,0.0145
"US","Florida","Collier",12021,384902,83112,961,21593.03,2496.74,0.0116
"US","Florida","Columbia",12023,71686,20922,340,29185.62,4742.91,0.0163
"US","Florida","DeSoto",12027,38001,9167,141,24123.05,3710.43,0.0154
"US","Florida","Dixie",12029,16826,3974,52,23618.21,3090.46,0.0131
"US","Florida","Duval",12031,957755,249788,3092,26080.57,3228.38,0.0124
"US","Florida","Escambia",12033,318315,80553,1197,25306.06,3760.43,0.0149
"US","Florida","Flagler",12035,115080,21886,301,19018.07,2615.57,0.0138
"US","Florida","Franklin",12037,12125,3095,46,25525.77,3793.81,0.0149
"US","Florida","Gadsden",12039,45660,13273,167,29069.21,3657.47,0.0126
"US","Florida","Gilchrist",12041,18581,4415,71,23760.83,3821.11,0.0161
"US","Florida","Glades",12043,13811,1955,35,14155.38,2534.21,0.0179
"US","Florida","Gulf",12045,13639,4247,68,31138.65,4985.70,0.0160
"US","Florida","Hamilton",12047,14427,3789,50,26263.26,3465.72,0.0132
"US","Florida","Hardee",12049,26937,8534,114,31681.33,4232.10,0.0134
"US","Florida","Hendry",12051,42022,11615,148,27640.28,3521.96,0.0127
"US","Florida","Hernando",12053,193920,41136,1002,21212.87,5167.08,0.0244
"US","Florida","Highlands",12055,106220,23440,612,22067.41,5761.63,0.0261
"US","Florida","Hillsborough",12057,1471968,365612,3351,24838.31,2276.54,0.0092
"US","Florida","Holmes",12059,19617,5343,79,27236.58,4027.12,0.0148
"US","Florida","Indian River",12061,159922,31771,615,19866.56,3845.62,0.0194
"US","Florida","Jackson",12063,46414,14499,247,31238.42,5321.67,0.0170
"US","Florida","Jefferson",12065,14246,3886,39,27277.83,2737.61,0.0100
"US","Florida","Lafayette",12067,8422,2726,52,32367.61,6174.31,0.0191
"US","Florida","Lake",12069,367118,83204,1384,22664.10,3769.91,0.0166
"US","Florida","Lee",12071,770577,186844,1997,24247.28,2591.56,0.0107
"US","Florida","Leon",12073,293582,84414,569,28753.13,1938.13,0.0067
"US","Florida","Levy",12075,41502,10066,118,24254.25,2843.24,0.0117
"US","Florida","Liberty",12077,8354,2471,25,29578.64,2992.58,0.0101
"US","Florida","Madison",12079,18493,5778,69,31244.25,3731.14,0.0119
"US","Florida","Manatee",12081,403252,94128,1301,23342.23,3226.27,0.0138
"US","Florida","Marion",12083,365578,81873,1960,22395.49,5361.37,0.0239
"US","Florida","Martin",12085,161000,30918,579,19203.73,3596.27,0.0187
"US","Florida","Miami-Dade",12086,2716939,1170494,10148,43081.35,3735.09,0.0087
"US","Florida","Monroe",12087,74228,18081,111,24358.73,1495.39,0.0061
"US","Florida","Nassau",12089,88625,21820,266,24620.59,3001.41,0.0122
"US","Florida","Okaloosa",12091,210737,50741,630,24077.88,2989.51,0.0124
"US","Florida","Okeechobee",12093,42168,10510,164,24924.11,3889.21,0.0156
"US","Florida","Orange",12095,1393452,369482,2527,26515.59,1813.48,0.0068
"US","Florida","Osceola",12097,375751,111645,1021,29712.50,2717.22,0.0091
"US","Florida","Palm Beach",12099,1496770,362501,4737,24218.88,3164.81,0.0131
"US","Florida","Pasco",12101,553947,119593,1748,21589.25,3155.54,0.0146
"US","Florida","Pinellas",12103,974995,205130,3068,21039.08,3146.68,0.0150
"US","Florida","Polk",12105,724777,196677,2736,27136.21,3774.95,0.0139
"US","Florida","Putnam",12107,74521,17287,396,23197.49,5313.94,0.0229
"US","Florida","Santa Rosa",12113,184313,47844,560,25958.02,3038.31,0.0117
"US","Florida","Sarasota",12115,433741,88155,1454,20324.34,3352.23,0.0165
"US","Florida","Seminole",12117,471826,101684,1003,21551.17,2125.78,0.0099
"US","Florida","St. Johns",12109,264672,62046,503,23442.60,1900.47,0.0081
"US","Florida","St. Lucie",12111,328297,72457,1105,22070.56,3365.85,0.0153
"US","Florida","Sumter",12119,132420,20950,505,15820.87,3813.62,0.0241
"US","Florida","Suwannee",12121,44416,12774,270,28759.91,6078.89,0.0211
"US","Florida","Taylor",12123,21569,6933,85,32143.35,3940.84,0.0123
"US","Florida","Unassigned",90012,-1,2023,468,0.00,0.00,0.2313
"US","Florida","Union",12125,15237,4237,110,27807.31,7219.27,0.0260
"US","Florida","Volusia",12127,553284,114809,1744,20750.46,3152.09,0.0152
"US","Florida","Wakulla",12129,33739,9760,116,28927.95,3438.16,0.0119
"US","Florida","Walton",12131,74071,17198,194,23218.26,2619.11,0.0113
"US","Florida","Washington",12133,25472,6549,89,25710.58,3494.03,0.0136
"US","Florida","Desoto",0,-1,0,0,0.00,0.00,0.0000
