Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Georgia","Appling",13001,18385,4586,115,24944.25,6255.10,0.0251
"US","Georgia","Atkinson",13003,8165,1972,42,24151.87,5143.91,0.0213
"US","Georgia","Bacon",13005,11164,3372,67,30204.23,6001.43,0.0199
"US","Georgia","Baker",13007,3038,514,14,16919.03,4608.29,0.0272
"US","Georgia","Baldwin",13009,44889,9328,216,20780.15,4811.87,0.0232
"US","Georgia","Banks",13011,19233,3776,77,19632.92,4003.54,0.0204
"US","Georgia","Barrow",13013,83240,21514,231,25845.75,2775.11,0.0107
"US","Georgia","Bartow",13015,107737,27893,420,25889.90,3898.38,0.0151
"US","Georgia","Ben Hill",13017,16699,4195,111,25121.26,6647.10,0.0265
"US","Georgia","Berrien",13019,19397,4792,64,24704.85,3299.48,0.0134
"US","Georgia","Bibb",13021,153158,36217,705,23646.82,4603.09,0.0195
"US","Georgia","Bleckley",13023,12873,3163,85,24570.81,6602.97,0.0269
"US","Georgia","Brantley",13025,19109,3778,97,19770.79,5076.14,0.0257
"US","Georgia","Brooks",13027,15457,3321,77,21485.41,4981.56,0.0232
"US","Georgia","Bryan",13029,39627,8779,80,22154.09,2018.83,0.0091
"US","Georgia","Bulloch",13031,79608,14807,229,18599.89,2876.60,0.0155
"US","Georgia","Burke",13033,22383,5046,94,22543.89,4199.62,0.0186
"US","Georgia","Butts",13035,24936,6259,139,25100.26,5574.27,0.0222
"US","Georgia","Calhoun",13037,6189,1306,22,21101.96,3554.69,0.0168
"US","Georgia","Camden",13039,54666,10772,105,19705.12,1920.76,0.0097
"US","Georgia","Candler",13043,10803,2002,89,18531.89,8238.45,0.0445
"US","Georgia","Carroll",13045,119992,22538,400,18782.92,3333.56,0.0177
"US","Georgia","Catoosa",13047,67580,13880,150,20538.62,2219.59,0.0108
"US","Georgia","Charlton",13049,13392,2760,53,20609.32,3957.59,0.0192
"US","Georgia","Chatham",13051,289429,60664,790,20959.89,2729.51,0.0130
"US","Georgia","Chattahoochee",13053,10907,6734,20,61740.17,1833.68,0.0030
"US","Georgia","Chattooga",13055,24789,6319,121,25491.15,4881.20,0.0191
"US","Georgia","Cherokee",13057,258773,61635,549,23818.17,2121.55,0.0089
"US","Georgia","Clarke",13059,128331,28272,203,22030.53,1581.85,0.0072
"US","Georgia","Clay",13061,2833,506,4,17860.92,1411.93,0.0079
"US","Georgia","Clayton",13063,292256,62132,861,21259.44,2946.05,0.0139
"US","Georgia","Clinch",13065,6618,1951,37,29480.21,5590.81,0.0190
"US","Georgia","Cobb",13067,760140,165845,1615,21817.69,2124.61,0.0097
"US","Georgia","Coffee",13069,43272,10165,247,23490.94,5708.08,0.0243
"US","Georgia","Colquitt",13071,45599,10566,212,23171.56,4649.22,0.0201
"US","Georgia","Columbia",13073,156713,34458,347,21987.97,2214.24,0.0101
"US","Georgia","Cook",13075,17270,4787,67,27718.59,3879.56,0.0140
"US","Georgia","Coweta",13077,148509,31497,441,21208.82,2969.52,0.0140
"US","Georgia","Crawford",13079,12404,1736,50,13995.49,4030.96,0.0288
"US","Georgia","Crisp",13081,22371,4423,125,19771.13,5587.59,0.0283
"US","Georgia","Dade",13083,16116,3028,28,18788.78,1737.40,0.0092
"US","Georgia","Dawson",13085,26108,6735,94,25796.69,3600.43,0.0140
"US","Georgia","DeKalb",13089,759297,141755,1515,18669.24,1995.27,0.0107
"US","Georgia","Decatur",13087,26404,6542,116,24776.55,4393.27,0.0177
"US","Georgia","Dodge",13091,20605,4854,135,23557.39,6551.81,0.0278
"US","Georgia","Dooly",13093,13390,2291,63,17109.78,4705.00,0.0275
"US","Georgia","Dougherty",13095,87956,19025,456,21630.13,5184.41,0.0240
"US","Georgia","Douglas",13097,146343,33977,356,23217.37,2432.64,0.0105
"US","Georgia","Early",13099,10190,2652,60,26025.52,5888.13,0.0226
"US","Georgia","Echols",13101,4006,907,11,22641.04,2745.88,0.0121
"US","Georgia","Effingham",13103,64296,12729,180,19797.50,2799.55,0.0141
"US","Georgia","Elbert",13105,19194,4400,98,22923.83,5105.76,0.0223
"US","Georgia","Emanuel",13107,22646,5694,149,25143.51,6579.53,0.0262
"US","Georgia","Evans",13109,10654,2205,56,20696.45,5256.24,0.0254
"US","Georgia","Fannin",13111,26188,4999,125,19088.90,4773.18,0.0250
"US","Georgia","Fayette",13113,114421,21395,293,18698.49,2560.72,0.0137
"US","Georgia","Floyd",13115,98498,26257,465,26657.39,4720.91,0.0177
"US","Georgia","Forsyth",13117,244252,52978,342,21689.89,1400.19,0.0065
"US","Georgia","Franklin",13119,23349,5259,90,22523.45,3854.55,0.0171
"US","Georgia","Fulton",13121,1063937,208491,2032,19596.18,1909.89,0.0097
"US","Georgia","Gilmer",13123,31369,6610,153,21071.76,4877.43,0.0231
"US","Georgia","Glascock",13125,2971,592,23,19925.95,7741.50,0.0389
"US","Georgia","Glynn",13127,85292,22264,369,26103.27,4326.31,0.0166
"US","Georgia","Gordon",13129,57962,14960,242,25810.01,4175.15,0.0162
"US","Georgia","Grady",13131,24633,5561,100,22575.41,4059.59,0.0180
"US","Georgia","Greene",13133,18324,3792,75,20694.17,4092.99,0.0198
"US","Georgia","Gwinnett",13135,936250,201569,1714,21529.40,1830.71,0.0085
"US","Georgia","Habersham",13137,45328,9791,235,21600.34,5184.43,0.0240
"US","Georgia","Hall",13139,204441,52463,754,25661.68,3688.11,0.0144
"US","Georgia","Hancock",13141,8457,1540,87,18209.77,10287.34,0.0565
"US","Georgia","Haralson",13143,29792,5160,150,17320.09,5034.91,0.0291
"US","Georgia","Harris",13145,35236,5939,101,16854.92,2866.39,0.0170
"US","Georgia","Hart",13147,26204,4731,78,18054.50,2976.64,0.0165
"US","Georgia","Heard",13149,11923,2102,44,17629.79,3690.35,0.0209
"US","Georgia","Henry",13151,234561,56101,617,23917.45,2630.45,0.0110
"US","Georgia","Houston",13153,157863,38455,457,24359.73,2894.92,0.0119
"US","Georgia","Irwin",13155,9416,1822,42,19350.04,4460.49,0.0231
"US","Georgia","Jackson",13157,72977,20869,255,28596.68,3494.25,0.0122
"US","Georgia","Jasper",13159,14219,2958,66,20803.15,4641.68,0.0223
"US","Georgia","Jeff Davis",13161,15114,3743,60,24765.12,3969.83,0.0160
"US","Georgia","Jefferson",13163,15361,3560,101,23175.57,6575.09,0.0284
"US","Georgia","Jenkins",13165,8676,1472,64,16966.34,7376.67,0.0435
"US","Georgia","Johnson",13167,9643,2174,67,22544.85,6948.05,0.0308
"US","Georgia","Jones",13169,28735,4909,104,17083.70,3619.28,0.0212
"US","Georgia","Lamar",13171,19076,4681,105,24538.69,5504.30,0.0224
"US","Georgia","Lanier",13173,10423,2195,16,21059.20,1535.07,0.0073
"US","Georgia","Laurens",13175,47546,13297,270,27966.60,5678.71,0.0203
"US","Georgia","Lee",13177,29992,7044,93,23486.26,3100.83,0.0132
"US","Georgia","Liberty",13179,61435,11963,142,19472.61,2311.39,0.0119
"US","Georgia","Lincoln",13181,7921,1566,34,19770.23,4292.39,0.0217
"US","Georgia","Long",13183,19559,2687,31,13737.92,1584.95,0.0115
"US","Georgia","Lowndes",13185,117406,29696,320,25293.43,2725.58,0.0108
"US","Georgia","Lumpkin",13187,33610,7005,118,20842.01,3510.86,0.0168
"US","Georgia","Macon",13193,12947,2062,47,15926.47,3630.18,0.0228
"US","Georgia","Madison",13195,29879,6790,83,22724.99,2777.87,0.0122
"US","Georgia","Marion",13197,8358,1456,44,17420.44,5264.42,0.0302
"US","Georgia","McDuffie",13189,21312,4889,89,22940.13,4176.05,0.0182
