Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Idaho","Ada",16001,481586,116174,965,24123.21,2003.80,0.0083
"US","Idaho","Adams",16003,4293,664,14,15467.04,3261.12,0.0211
"US","Idaho","Bannock",16005,87808,20472,234,23314.50,2664.91,0.0114
"US","Idaho","Bear Lake",16007,6125,899,15,14677.55,2448.98,0.0167
"US","Idaho","Benewah",16009,9298,1973,36,21219.62,3871.80,0.0182
"US","Idaho","Bingham",16011,46811,9646,144,20606.27,3076.20,0.0149
"US","Idaho","Blaine",16013,23021,5073,30,22036.40,1303.16,0.0059
"US","Idaho","Boise",16015,7831,1018,13,12999.62,1660.07,0.0128
"US","Idaho","Bonner",16017,45738,8255,168,18048.45,3673.09,0.0204
"US","Idaho","Bonneville",16019,119062,30573,270,25678.22,2267.73,0.0088
"US","Idaho","Boundary",16021,12245,1982,56,16186.20,4573.30,0.0283
"US","Idaho","Butte",16023,2597,472,7,18174.82,2695.42,0.0148
"US","Idaho","Camas",16025,1106,132,2,11934.90,1808.32,0.0152
"US","Idaho","Canyon",16027,229849,57578,647,25050.36,2814.89,0.0112
"US","Idaho","Caribou",16029,7155,1461,23,20419.29,3214.54,0.0157
"US","Idaho","Cassia",16031,24030,4538,51,18884.73,2122.35,0.0112
"US","Idaho","Clark",16033,845,107,0,12662.72,0.00,0.0000
"US","Idaho","Clearwater",16035,8756,2176,31,24851.53,3540.43,0.0142
"US","Idaho","Custer",16037,4315,516,7,11958.29,1622.25,0.0136
"US","Idaho","Elmore",16039,27510,6048,60,21984.73,2181.03,0.0099
"US","Idaho","Franklin",16041,13876,2313,28,16669.07,2017.87,0.0121
"US","Idaho","Fremont",16043,13098,2156,24,16460.53,1832.34,0.0111
"US","Idaho","Gem",16045,18112,3486,77,19246.91,4251.33,0.0221
"US","Idaho","Gooding",16047,15179,2726,52,17959.02,3425.79,0.0191
"US","Idaho","Idaho",16049,16667,2880,45,17279.65,2699.95,0.0156
"US","Idaho","Jefferson",16051,29871,5970,61,19985.94,2042.11,0.0102
"US","Idaho","Jerome",16053,24412,5085,61,20829.92,2498.77,0.0120
"US","Idaho","Kootenai",16055,165697,38331,549,23133.19,3313.28,0.0143
"US","Idaho","Latah",16057,40108,6558,48,16350.85,1196.77,0.0073
"US","Idaho","Lemhi",16059,8027,1238,25,15422.95,3114.49,0.0202
"US","Idaho","Lewis",16061,3838,1115,26,29051.59,6774.36,0.0233
"US","Idaho","Lincoln",16063,5366,905,14,16865.45,2609.02,0.0155
"US","Idaho","Madison",16065,39907,12555,46,31460.65,1152.68,0.0037
"US","Idaho","Minidoka",16067,21038,3672,55,17454.13,2614.32,0.0150
"US","Idaho","Nez Perce",16069,40407,8711,134,21558.15,3316.26,0.0154
"US","Idaho","Oneida",16071,4531,780,10,17214.74,2207.02,0.0128
"US","Idaho","Owyhee",16073,11823,2145,49,18142.60,4144.46,0.0228
"US","Idaho","Payette",16075,23951,5258,81,21953.15,3381.90,0.0154
"US","Idaho","Power",16077,7680,1444,18,18802.08,2343.75,0.0125
"US","Idaho","Shoshone",16079,12882,2543,72,19740.72,5589.19,0.0283
"US","Idaho","Teton",16081,12142,2651,8,21833.31,658.87,0.0030
"US","Idaho","Twin Falls",16083,86878,19906,274,22912.59,3153.85,0.0138
"US","Idaho","Unassigned",90016,-1,0,0,0.00,0.00,0.0000
"US","Idaho","Valley",16085,11392,2435,15,21374.65,1316.71,0.0062
"US","Idaho","Washington",16087,10194,2241,54,21983.52,5297.23,0.0241
