Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Illinois","Adams",17001,65435,21875,196,33430.12,2995.34,0.0090
"US","Illinois","Alexander",17003,5760,1263,13,21927.08,2256.94,0.0103
"US","Illinois","Bond",17005,16426,4268,29,25983.20,1765.49,0.0068
"US","Illinois","Boone",17007,53543,13510,107,25232.06,1998.39,0.0079
"US","Illinois","Brown",17009,6578,2357,14,35831.56,2128.31,0.0059
"US","Illinois","Bureau",17011,32628,8188,124,25095.01,3800.42,0.0151
"US","Illinois","Calhoun",17013,4739,1503,5,31715.55,1055.07,0.0033
"US","Illinois","Carroll",17015,14304,4096,46,28635.35,3215.88,0.0112
"US","Illinois","Cass",17017,12147,4545,35,37416.65,2881.37,0.0077
"US","Illinois","Champaign",17019,209689,60908,278,29046.83,1325.77,0.0046
"US","Illinois","Christian",17021,32304,9838,106,30454.43,3281.33,0.0108
"US","Illinois","Clark",17023,15441,4733,47,30652.16,3043.84,0.0099
"US","Illinois","Clay",17025,13183,4662,63,35363.73,4778.88,0.0135
"US","Illinois","Clinton",17027,37562,11728,113,31223.04,3008.36,0.0096
"US","Illinois","Coles",17029,50621,14963,162,29558.88,3200.25,0.0108
"US","Illinois","Cook",17031,5150232,1102502,13823,21406.84,2683.96,0.0125
"US","Illinois","Crawford",17033,18667,6076,39,32549.42,2089.25,0.0064
"US","Illinois","Cumberland",17035,10766,3314,37,30782.09,3436.75,0.0112
"US","Illinois","De Witt",17039,15638,4271,34,27311.68,2174.19,0.0080
"US","Illinois","DeKalb",17037,104896,22758,187,21695.77,1782.72,0.0082
"US","Illinois","Douglas",17041,19465,6384,51,32797.33,2620.09,0.0080
"US","Illinois","DuPage",17043,922921,203445,1648,22043.60,1785.63,0.0081
"US","Illinois","Edgar",17045,17161,5041,56,29374.75,3263.21,0.0111
"US","Illinois","Edwards",17047,6395,1763,26,27568.41,4065.68,0.0147
"US","Illinois","Effingham",17049,34008,10484,126,30828.04,3705.01,0.0120
"US","Illinois","Fayette",17051,21336,6996,91,32789.65,4265.09,0.0130
"US","Illinois","Ford",17053,12961,4352,63,33577.66,4860.74,0.0145
"US","Illinois","Franklin",17055,38468,12122,154,31511.91,4003.33,0.0127
"US","Illinois","Fulton",17057,34340,9822,116,28602.21,3377.98,0.0118
"US","Illinois","Gallatin",17059,4828,1365,13,28272.58,2692.63,0.0095
"US","Illinois","Greene",17061,12969,3562,43,27465.49,3315.60,0.0121
"US","Illinois","Grundy",17063,51054,12404,130,24295.84,2546.32,0.0105
"US","Illinois","Hamilton",17065,8115,2136,28,26321.63,3450.40,0.0131
"US","Illinois","Hancock",17067,17708,4299,43,24277.16,2428.28,0.0100
"US","Illinois","Hardin",17069,3821,1036,18,27113.32,4710.81,0.0174
"US","Illinois","Henderson",17071,6646,1127,17,16957.57,2557.93,0.0151
"US","Illinois","Henry",17073,48913,12392,114,25334.78,2330.67,0.0092
"US","Illinois","Iroquois",17075,27114,7038,109,25957.07,4020.06,0.0155
"US","Illinois","Jackson",17077,56750,15183,112,26754.19,1973.57,0.0074
"US","Illinois","Jasper",17079,9610,2647,25,27544.22,2601.46,0.0094
"US","Illinois","Jefferson",17081,37684,10826,165,28728.37,4378.52,0.0152
"US","Illinois","Jersey",17083,21772,6127,66,28141.65,3031.42,0.0108
"US","Illinois","Jo Daviess",17085,21235,3921,35,18464.80,1648.22,0.0089
"US","Illinois","Johnson",17087,12417,4306,38,34678.26,3060.32,0.0088
"US","Illinois","Kane",17089,532402,123433,1074,23184.17,2017.27,0.0087
"US","Illinois","Kankakee",17091,109862,28401,351,25851.52,3194.92,0.0124
"US","Illinois","Kendall",17093,128989,30195,149,23408.97,1155.14,0.0049
"US","Illinois","Knox",17095,49699,12309,206,24767.10,4144.95,0.0167
"US","Illinois","LaSalle",17099,108669,28248,371,25994.53,3414.04,0.0131
"US","Illinois","Lake",17097,696535,145442,1292,20880.79,1854.90,0.0089
"US","Illinois","Lawrence",17101,15678,5422,40,34583.49,2551.35,0.0074
"US","Illinois","Lee",17103,34096,8593,78,25202.37,2287.66,0.0091
"US","Illinois","Livingston",17105,35648,10501,132,29457.47,3702.87,0.0126
"US","Illinois","Logan",17107,28618,9259,83,32353.76,2900.27,0.0090
"US","Illinois","Macon",17115,104009,29988,325,28832.12,3124.73,0.0108
"US","Illinois","Macoupin",17117,44925,12516,134,27859.77,2982.75,0.0107
"US","Illinois","Madison",17119,262966,69056,752,26260.43,2859.69,0.0109
"US","Illinois","Marion",17121,37205,11663,197,31347.94,5294.99,0.0169
"US","Illinois","Marshall",17123,11437,2690,29,23520.15,2535.63,0.0108
"US","Illinois","Mason",17125,13359,3838,59,28729.70,4416.50,0.0154
"US","Illinois","Massac",17127,13771,3760,64,27303.75,4647.45,0.0170
"US","Illinois","McDonough",17109,29681,6998,82,23577.37,2762.71,0.0117
"US","Illinois","McHenry",17111,307774,74054,439,24061.16,1426.37,0.0059
"US","Illinois","McLean",17113,171517,48507,278,28281.16,1620.83,0.0057
"US","Illinois","Menard",17129,12195,3441,18,28216.48,1476.01,0.0052
"US","Illinois","Mercer",17131,15437,3921,43,25400.01,2785.52,0.0110
"US","Illinois","Monroe",17133,34636,9298,126,26844.90,3637.83,0.0136
"US","Illinois","Montgomery",17135,28413,9561,96,33650.09,3378.74,0.0100
"US","Illinois","Morgan",17137,33658,9235,119,27437.76,3535.56,0.0129
"US","Illinois","Moultrie",17139,14501,4013,43,27673.95,2965.31,0.0107
"US","Illinois","Ogle",17141,50643,13661,127,26975.10,2507.75,0.0093
"US","Illinois","Out of IL",80017,-1,10,0,0.00,0.00,0.0000
"US","Illinois","Peoria",17143,179179,45470,489,25376.86,2729.11,0.0108
"US","Illinois","Perry",17145,20915,7259,92,34707.15,4398.76,0.0127
"US","Illinois","Piatt",17147,16344,4283,21,26205.34,1284.88,0.0049
"US","Illinois","Pike",17149,15561,4948,64,31797.44,4112.85,0.0129
"US","Illinois","Pope",17151,4176,937,7,22437.74,1676.25,0.0075
"US","Illinois","Pulaski",17153,5335,1694,16,31752.58,2999.06,0.0094
"US","Illinois","Putnam",17155,5739,1119,7,19498.17,1219.72,0.0063
"US","Illinois","Randolph",17157,31781,10229,116,32185.90,3649.98,0.0113
"US","Illinois","Richland",17159,15513,5125,71,33036.81,4576.81,0.0139
"US","Illinois","Rock Island",17161,141879,32533,455,22930.10,3206.96,0.0140
"US","Illinois","Saline",17165,23491,7638,85,32514.58,3618.41,0.0111
"US","Illinois","Sangamon",17167,194672,53593,359,27529.90,1844.13,0.0067
