Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Indiana","Adams",18001,35777,7216,108,20169.38,3018.70,0.0150
"US","Indiana","Allen",18003,379299,102617,1091,27054.38,2876.36,0.0106
"US","Indiana","Bartholomew",18005,83779,21056,233,25132.79,2781.13,0.0111
"US","Indiana","Benton",18007,8748,2439,21,27880.66,2400.55,0.0086
"US","Indiana","Blackford",18009,11758,3062,62,26041.84,5273.01,0.0202
"US","Indiana","Boone",18011,67842,14913,156,21981.96,2299.46,0.0105
"US","Indiana","Brown",18013,15091,2563,59,16983.63,3909.62,0.0230
"US","Indiana","Carroll",18015,20257,4169,56,20580.54,2764.48,0.0134
"US","Indiana","Cass",18017,37689,11372,150,30173.26,3979.94,0.0132
"US","Indiana","Clark",18019,118301,30385,354,25684.48,2992.37,0.0117
"US","Indiana","Clay",18021,26225,6761,79,25780.74,3012.39,0.0117
"US","Indiana","Clinton",18023,32399,9088,106,28050.25,3271.71,0.0117
"US","Indiana","Crawford",18025,10577,2481,34,23456.56,3214.52,0.0137
"US","Indiana","Daviess",18027,33351,7392,142,22164.25,4257.74,0.0192
"US","Indiana","DeKalb",18033,43475,11240,142,25853.94,3266.24,0.0126
"US","Indiana","Dearborn",18029,49458,13244,116,26778.28,2345.42,0.0088
"US","Indiana","Decatur",18031,26559,6920,128,26055.20,4819.46,0.0185
"US","Indiana","Delaware",18035,114134,24315,400,21303.91,3504.65,0.0165
"US","Indiana","Dubois",18037,42736,12714,157,29750.09,3673.72,0.0123
"US","Indiana","Elkhart",18039,206340,53635,670,25993.51,3247.07,0.0125
"US","Indiana","Fayette",18041,23102,6644,133,28759.41,5757.08,0.0200
"US","Indiana","Floyd",18043,78522,18486,268,23542.45,3413.06,0.0145
"US","Indiana","Fountain",18045,16346,5278,90,32289.25,5505.93,0.0171
"US","Indiana","Franklin",18047,22758,4317,53,18969.15,2328.85,0.0123
"US","Indiana","Fulton",18049,19974,4825,98,24156.40,4906.38,0.0203
"US","Indiana","Gibson",18051,33659,11475,130,34091.92,3862.27,0.0113
"US","Indiana","Grant",18053,65768,17103,322,26005.05,4896.00,0.0188
"US","Indiana","Greene",18055,31921,7076,124,22167.23,3884.59,0.0175
"US","Indiana","Hamilton",18057,338011,80472,587,23807.51,1736.63,0.0073
"US","Indiana","Hancock",18059,78167,20439,238,26147.86,3044.76,0.0116
"US","Indiana","Harrison",18061,40514,10577,124,26107.02,3060.67,0.0117
"US","Indiana","Hendricks",18063,170311,40268,499,23643.80,2929.93,0.0124
"US","Indiana","Henry",18065,47972,12779,214,26638.46,4460.94,0.0167
"US","Indiana","Howard",18067,82544,25089,412,30394.70,4991.28,0.0164
"US","Indiana","Huntington",18069,36520,11358,145,31100.77,3970.43,0.0128
"US","Indiana","Jackson",18071,44231,12325,113,27865.07,2554.77,0.0092
"US","Indiana","Jasper",18073,33562,8896,131,26506.17,3903.22,0.0147
"US","Indiana","Jay",18075,20436,4785,69,23414.56,3376.39,0.0144
"US","Indiana","Jefferson",18077,32308,9261,134,28664.73,4147.58,0.0145
"US","Indiana","Jennings",18079,27735,6857,91,24723.27,3281.05,0.0133
"US","Indiana","Johnson",18081,158167,41863,552,26467.59,3489.98,0.0132
"US","Indiana","Knox",18083,36594,10571,136,28887.25,3716.46,0.0129
"US","Indiana","Kosciusko",18085,79455,19537,216,24588.76,2718.52,0.0111
"US","Indiana","LaGrange",18087,39614,5812,97,14671.58,2448.63,0.0167
"US","Indiana","LaPorte",18091,109888,25115,341,22855.09,3103.16,0.0136
"US","Indiana","Lake",18089,485493,104944,1662,21615.97,3423.32,0.0158
"US","Indiana","Lawrence",18093,45369,11698,236,25784.13,5201.79,0.0202
"US","Indiana","Madison",18095,129569,32237,590,24880.18,4553.56,0.0183
"US","Indiana","Marion",18097,964582,222185,2754,23034.33,2855.12,0.0124
"US","Indiana","Marshall",18099,46258,12218,178,26412.73,3847.98,0.0146
"US","Indiana","Martin",18101,10255,2146,23,20926.38,2242.81,0.0107
"US","Indiana","Miami",18103,35516,9139,143,25732.06,4026.35,0.0156
"US","Indiana","Monroe",18105,148431,27034,255,18213.18,1717.97,0.0094
"US","Indiana","Montgomery",18107,38338,10524,154,27450.57,4016.90,0.0146
"US","Indiana","Morgan",18109,70489,16250,251,23053.24,3560.84,0.0154
"US","Indiana","Newton",18111,13984,2522,63,18034.90,4505.15,0.0250
"US","Indiana","Noble",18113,47743,12927,147,27076.22,3078.99,0.0114
"US","Indiana","Ohio",18115,5874,1433,17,24395.64,2894.11,0.0119
"US","Indiana","Orange",18117,19646,4971,87,25302.86,4428.38,0.0175
"US","Indiana","Owen",18119,20799,5734,106,27568.63,5096.40,0.0185
"US","Indiana","Parke",18121,16937,3564,42,21042.69,2479.78,0.0118
"US","Indiana","Perry",18123,19169,4577,58,23877.09,3025.72,0.0127
"US","Indiana","Pike",18125,12389,3675,46,29663.41,3712.97,0.0125
"US","Indiana","Porter",18127,170389,36867,515,21636.96,3022.50,0.0140
"US","Indiana","Posey",18129,25426,6448,53,25359.87,2084.48,0.0082
"US","Indiana","Pulaski",18131,12353,3019,81,24439.41,6557.11,0.0268
"US","Indiana","Putnam",18133,37576,9174,111,24414.52,2954.01,0.0121
"US","Indiana","Randolph",18135,24665,5807,138,23543.48,5594.97,0.0238
"US","Indiana","Ripley",18137,28324,8196,126,28936.59,4448.52,0.0154
"US","Indiana","Rush",18139,16581,4766,51,28743.74,3075.81,0.0107
"US","Indiana","Scott",18143,23873,7714,93,32312.65,3895.61,0.0121
"US","Indiana","Shelby",18145,44728,13455,159,30081.83,3554.82,0.0118
"US","Indiana","Spencer",18147,20277,5148,56,25388.37,2761.75,0.0109
"US","Indiana","St. Joseph",18141,271825,69788,802,25673.87,2950.43,0.0115
"US","Indiana","Starke",18149,22995,4672,88,20317.46,3826.92,0.0188
"US","Indiana","Steuben",18151,34594,9551,111,27608.83,3208.65,0.0116
"US","Indiana","Sullivan",18153,20669,5216,68,25235.86,3289.95,0.0130
"US","Indiana","Switzerland",18155,10751,2276,16,21170.12,1488.23,0.0070
"US","Indiana","Tippecanoe",18157,195732,49178,358,25125.17,1829.03,0.0073
"US","Indiana","Tipton",18159,15148,3481,78,22979.93,5149.19,0.0224
"US","Indiana","Unassigned",90018,-1,0,851,0.00,0.00,0.0000
"US","Indiana","Union",18161,7054,2005,20,28423.59,2835.27,0.0100
"US","Indiana","Vanderburgh",18163,181451,56453,564,31111.98,3108.28,0.0100
"US","Indiana","Vermillion",18165,15498,4008,70,25861.40,4516.71,0.0175
"US","Indiana","Vigo",18167,107038,28500,374,26626.06,3494.09,0.0131
"US","Indiana","Wabash",18169,30995,8617,146,27801.26,4710.44,0.0169
"US","Indiana","Warren",18171,8265,2032,22,24585.60,2661.83,0.0108
"US","Indiana","Warrick",18173,62998,19950,222,31667.67,3523.92,0.0111
"US","Indiana","Washington",18175,28036,5905,74,21062.21,2639.46,0.0125
"US","Indiana","Wayne",18177,65884,18607,316,28242.06,4796.31,0.0170
"US","Indiana","Wells",18179,28296,6442,123,22766.47,4346.90,0.0191
"US","Indiana","White",18181,24102,6714,87,27856.61,3609.66,0.0130
"US","Indiana","Whitley",18183,33964,9582,76,28212.22,2237.66,0.0079
