Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Iowa","Adair",19001,7151,1552,48,21703.26,6712.35,0.0309
"US","Iowa","Adams",19003,3602,798,13,22154.36,3609.11,0.0163
"US","Iowa","Allamakee",19005,13687,2782,59,20325.86,4310.66,0.0212
"US","Iowa","Appanoose",19007,12426,2785,63,22412.68,5070.01,0.0226
"US","Iowa","Audubon",19009,5496,1080,18,19650.66,3275.11,0.0167
"US","Iowa","Benton",19011,25645,5884,71,22944.04,2768.57,0.0121
"US","Iowa","Black Hawk",19013,131228,31934,445,24334.75,3391.04,0.0139
"US","Iowa","Boone",19015,26234,5286,48,20149.42,1829.69,0.0091
"US","Iowa","Bremer",19017,25062,5357,79,21374.99,3152.18,0.0147
"US","Iowa","Buchanan",19019,21175,4454,55,21034.24,2597.40,0.0123
"US","Iowa","Buena Vista",19021,19620,6375,52,32492.35,2650.36,0.0082
"US","Iowa","Butler",19023,14438,3118,49,21595.79,3393.82,0.0157
"US","Iowa","Calhoun",19025,9668,2548,22,26354.99,2275.55,0.0086
"US","Iowa","Carroll",19027,20164,4852,62,24062.69,3074.79,0.0128
"US","Iowa","Cass",19029,12836,2890,75,22514.80,5842.94,0.0260
"US","Iowa","Cedar",19031,18627,3999,30,21468.84,1610.57,0.0075
"US","Iowa","Cerro Gordo",19033,42450,10754,156,25333.33,3674.91,0.0145
"US","Iowa","Cherokee",19035,11234,2916,55,25956.92,4895.85,0.0189
"US","Iowa","Chickasaw",19037,11933,2614,30,21905.64,2514.04,0.0115
"US","Iowa","Clarke",19039,9395,2199,34,23406.07,3618.95,0.0155
"US","Iowa","Clay",19041,16016,4015,40,25068.68,2497.50,0.0100
"US","Iowa","Clayton",19043,17549,3354,71,19112.20,4045.81,0.0212
"US","Iowa","Clinton",19045,46429,11329,135,24400.70,2907.67,0.0119
"US","Iowa","Crawford",19047,16820,4469,51,26569.56,3032.10,0.0114
"US","Iowa","Dallas",19049,93453,22050,131,23594.75,1401.77,0.0059
"US","Iowa","Davis",19051,9000,1560,27,17333.33,3000.00,0.0173
"US","Iowa","Decatur",19053,7869,1470,22,18680.90,2795.78,0.0150
"US","Iowa","Delaware",19055,17011,3937,65,23143.85,3821.06,0.0165
"US","Iowa","Des Moines",19057,38967,8837,124,22678.16,3182.18,0.0140
"US","Iowa","Dickinson",19059,17257,4068,70,23573.04,4056.32,0.0172
"US","Iowa","Dubuque",19061,97311,25232,288,25929.24,2959.58,0.0114
"US","Iowa","Emmet",19063,9208,2310,49,25086.88,5321.46,0.0212
"US","Iowa","Fayette",19065,19650,3949,70,20096.69,3562.34,0.0177
"US","Iowa","Floyd",19067,15641,3450,59,22057.41,3772.14,0.0171
"US","Iowa","Franklin",19069,10069,2441,40,24242.73,3972.59,0.0164
"US","Iowa","Fremont",19071,6960,1357,21,19497.13,3017.24,0.0155
"US","Iowa","Greene",19073,8888,1675,19,18845.63,2137.71,0.0113
"US","Iowa","Grundy",19075,12232,2474,40,20225.64,3270.11,0.0162
"US","Iowa","Guthrie",19077,10689,2289,42,21414.54,3929.27,0.0183
"US","Iowa","Hamilton",19079,14772,3398,67,23002.98,4535.61,0.0197
"US","Iowa","Hancock",19081,10630,2761,45,25973.66,4233.30,0.0163
"US","Iowa","Hardin",19083,16846,4002,57,23756.38,3383.59,0.0142
"US","Iowa","Harrison",19085,14049,3366,90,23959.00,6406.15,0.0267
"US","Iowa","Henry",19087,19954,5440,64,27262.70,3207.38,0.0118
"US","Iowa","Howard",19089,9157,2000,30,21841.21,3276.18,0.0150
"US","Iowa","Humboldt",19091,9558,2573,35,26919.86,3661.85,0.0136
"US","Iowa","Ida",19093,6860,1771,47,25816.33,6851.31,0.0265
"US","Iowa","Iowa",19095,16183,3598,45,22233.21,2780.70,0.0125
"US","Iowa","Jackson",19097,19439,4511,66,23205.93,3395.24,0.0146
"US","Iowa","Jasper",19099,37185,8348,100,22449.91,2689.26,0.0120
"US","Iowa","Jefferson",19101,18295,3349,50,18305.55,2732.99,0.0149
"US","Iowa","Johnson",19103,151140,32884,132,21757.31,873.36,0.0040
"US","Iowa","Jones",19105,20681,5340,69,25820.80,3336.40,0.0129
"US","Iowa","Keokuk",19107,10246,1997,47,19490.53,4587.16,0.0235
"US","Iowa","Kossuth",19109,14812,3692,86,24925.74,5806.10,0.0233
"US","Iowa","Lee",19111,33657,7700,128,22877.86,3803.07,0.0166
"US","Iowa","Linn",19113,226706,50410,539,22235.85,2377.53,0.0107
"US","Iowa","Louisa",19115,11035,2426,60,21984.59,5437.25,0.0247
"US","Iowa","Lucas",19117,8600,1699,29,19755.81,3372.09,0.0171
"US","Iowa","Lyon",19119,11755,2703,47,22994.47,3998.30,0.0174
"US","Iowa","Madison",19121,16337,3062,32,18742.73,1958.74,0.0105
"US","Iowa","Mahaska",19123,22095,4794,84,21697.22,3801.77,0.0175
"US","Iowa","Marion",19125,33252,7375,115,22179.12,3458.44,0.0156
"US","Iowa","Marshall",19127,39369,9176,101,23307.68,2565.47,0.0110
"US","Iowa","Mills",19129,15108,3266,39,21617.69,2581.41,0.0119
"US","Iowa","Mitchell",19131,10586,2398,49,22652.56,4628.75,0.0204
"US","Iowa","Monona",19133,8615,1678,45,19477.66,5223.45,0.0268
"US","Iowa","Monroe",19135,7707,1842,47,23900.35,6098.35,0.0255
"US","Iowa","Montgomery",19137,9917,2134,51,21518.60,5142.68,0.0239
"US","Iowa","Muscatine",19139,42664,9338,128,21887.31,3000.19,0.0137
"US","Iowa","O'Brien",19141,13752,3373,70,24527.34,5090.17,0.0208
"US","Iowa","Osceola",19143,5958,1360,20,22826.45,3356.83,0.0147
"US","Iowa","Page",19145,15106,3273,42,21666.89,2780.35,0.0128
"US","Iowa","Palo Alto",19147,8886,1985,36,22338.51,4051.32,0.0181
"US","Iowa","Plymouth",19149,25176,6236,95,24769.62,3773.44,0.0152
"US","Iowa","Pocahontas",19151,6619,1559,27,23553.41,4079.17,0.0173
"US","Iowa","Polk",19153,490160,118228,1002,24120.29,2044.23,0.0085
"US","Iowa","Pottawattamie",19155,93205,23653,282,25377.39,3025.59,0.0119
"US","Iowa","Poweshiek",19157,18503,3454,55,18667.24,2972.49,0.0159
"US","Iowa","Ringgold",19159,4894,1105,33,22578.67,6742.95,0.0299
"US","Iowa","Sac",19161,9721,2344,31,24112.75,3188.97,0.0132
"US","Iowa","Scott",19163,172942,39782,364,23003.09,2104.75,0.0091
"US","Iowa","Shelby",19165,11454,2664,47,23258.25,4103.37,0.0176
"US","Iowa","Sioux",19167,34855,7928,85,22745.66,2438.67,0.0107
"US","Iowa","Story",19169,97117,19074,77,19640.23,792.86,0.0040
"US","Iowa","Tama",19171,16853,3761,86,22316.50,5102.95,0.0229
"US","Iowa","Taylor",19173,6121,1286,21,21009.64,3430.81,0.0163
"US","Iowa","Unassigned",90019,-1,5498,0,0.00,0.00,0.0000
"US","Iowa","Union",19175,12241,2645,47,21607.71,3839.56,0.0178
"US","Iowa","Van Buren",19177,7044,1345,25,19094.26,3549.12,0.0186
"US","Iowa","Wapello",19179,34969,8744,180,25005.00,5147.42,0.0206
"US","Iowa","Warren",19181,51465,12088,127,23487.81,2467.70,0.0105
"US","Iowa","Washington",19183,21965,5509,74,25080.81,3369.00,0.0134
"US","Iowa","Wayne",19185,6440,1217,32,18897.52,4968.94,0.0263
"US","Iowa","Webster",19187,35904,10117,151,28177.92,4205.66,0.0149
"US","Iowa","Winnebago",19189,10354,2882,43,27834.65,4152.98,0.0149
"US","Iowa","Winneshiek",19191,19990,3678,46,18399.20,2301.15,0.0125
"US","Iowa","Woodbury",19193,103107,28250,310,27398.72,3006.59,0.0110
"US","Iowa","Worth",19195,7381,1712,12,23194.69,1625.80,0.0070
"US","Iowa","Wright",19197,12562,3558,60,28323.52,4776.31,0.0169
