Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Kentucky","Adair",21001,19202,5202,96,27090.93,4999.48,0.0185
"US","Kentucky","Allen",21003,21315,6407,92,30058.64,4316.21,0.0144
"US","Kentucky","Anderson",21005,22747,5958,60,26192.46,2637.71,0.0101
"US","Kentucky","Ballard",21007,7888,1227,27,15555.27,3422.92,0.0220
"US","Kentucky","Barren",21009,44249,12329,197,27862.78,4452.08,0.0160
"US","Kentucky","Bath",21011,12500,2660,36,21280.00,2880.00,0.0135
"US","Kentucky","Bell",21013,26032,8521,126,32732.79,4840.20,0.0148
"US","Kentucky","Boone",21015,133581,35469,259,26552.43,1938.90,0.0073
"US","Kentucky","Bourbon",21017,19787,5731,48,28963.46,2425.84,0.0084
"US","Kentucky","Boyd",21019,46718,15476,155,33126.42,3317.78,0.0100
"US","Kentucky","Boyle",21021,30060,8104,120,26959.41,3992.02,0.0148
"US","Kentucky","Bracken",21023,8303,2060,23,24810.31,2770.08,0.0112
"US","Kentucky","Breathitt",21025,12630,3289,50,26041.17,3958.83,0.0152
"US","Kentucky","Breckinridge",21027,20477,4894,65,23899.99,3174.29,0.0133
"US","Kentucky","Bullitt",21029,81675,20589,179,25208.45,2191.61,0.0087
"US","Kentucky","Butler",21031,12879,3601,49,27960.25,3804.64,0.0136
"US","Kentucky","Caldwell",21033,12746,3839,57,30119.25,4471.99,0.0148
"US","Kentucky","Calloway",21035,39000,7810,74,20025.64,1897.44,0.0095
"US","Kentucky","Campbell",21037,93584,21828,148,23324.50,1581.47,0.0068
"US","Kentucky","Carlisle",21039,4760,940,17,19747.90,3571.43,0.0181
"US","Kentucky","Carroll",21041,10631,3374,40,31737.37,3762.58,0.0119
"US","Kentucky","Carter",21043,26796,8063,96,30090.31,3582.62,0.0119
"US","Kentucky","Casey",21045,16159,3742,65,23157.37,4022.53,0.0174
"US","Kentucky","Christian",21047,70461,14969,192,21244.38,2724.91,0.0128
"US","Kentucky","Clark",21049,36263,9455,51,26073.41,1406.39,0.0054
"US","Kentucky","Clay",21051,19901,7438,74,37375.01,3718.41,0.0099
"US","Kentucky","Clinton",21053,10218,3234,41,31650.03,4012.53,0.0127
"US","Kentucky","Crittenden",21055,8806,1965,41,22314.33,4655.92,0.0209
"US","Kentucky","Cumberland",21057,6614,2076,25,31387.96,3779.86,0.0120
"US","Kentucky","Daviess",21059,101511,30290,353,29839.13,3477.46,0.0117
"US","Kentucky","Edmonson",21061,12149,2459,38,20240.35,3127.83,0.0155
"US","Kentucky","Elliott",21063,7516,2021,15,26889.30,1995.74,0.0074
