Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Louisiana","Acadia",22001,62045,14881,282,23984.21,4545.09,0.0190
"US","Louisiana","Allen",22003,25627,7320,124,28563.62,4838.65,0.0169
"US","Louisiana","Ascension",22005,126604,32803,278,25909.92,2195.82,0.0085
"US","Louisiana","Assumption",22007,21890,5197,67,23741.43,3060.76,0.0129
"US","Louisiana","Avoyelles",22009,40144,10688,195,26624.15,4857.51,0.0182
"US","Louisiana","Beauregard",22011,37497,8697,134,23193.86,3573.62,0.0154
"US","Louisiana","Bienville",22013,13241,3666,104,27686.73,7854.39,0.0284
"US","Louisiana","Bossier",22015,127039,34913,448,27482.11,3526.48,0.0128
"US","Louisiana","Caddo",22017,240203,62726,1070,26113.75,4454.57,0.0171
"US","Louisiana","Calcasieu",22019,203436,51231,674,25182.86,3313.08,0.0132
"US","Louisiana","Caldwell",22021,9918,2860,46,28836.46,4638.03,0.0161
"US","Louisiana","Cameron",22023,6973,1137,8,16305.75,1147.28,0.0070
"US","Louisiana","Catahoula",22025,9494,2517,55,26511.48,5793.13,0.0219
"US","Louisiana","Claiborne",22027,15670,3061,71,19534.14,4530.95,0.0232
"US","Louisiana","Concordia",22029,19259,4745,89,24637.83,4621.22,0.0188
"US","Louisiana","De Soto",22031,27463,6891,130,25091.94,4733.64,0.0189
"US","Louisiana","East Baton Rouge",22033,440059,104163,1277,23670.24,2901.88,0.0123
"US","Louisiana","East Carroll",22035,6861,2298,35,33493.66,5101.30,0.0152
"US","Louisiana","East Feliciana",22037,19135,6639,159,34695.58,8309.38,0.0239
"US","Louisiana","Evangeline",22039,33395,7873,150,23575.39,4491.69,0.0191
"US","Louisiana","Franklin",22041,20015,6521,159,32580.56,7944.04,0.0244
"US","Louisiana","Grant",22043,22388,5439,84,24294.26,3752.01,0.0154
"US","Louisiana","Iberia",22045,69830,17863,251,25580.70,3594.44,0.0141
"US","Louisiana","Iberville",22047,32511,8425,144,25914.31,4429.27,0.0171
"US","Louisiana","Jackson",22049,15743,4008,70,25458.93,4446.42,0.0175
"US","Louisiana","Jefferson",22051,432493,106902,1280,24717.63,2959.59,0.0120
"US","Louisiana","Jefferson Davis",22053,31368,6545,143,20865.21,4558.79,0.0218
"US","Louisiana","LaSalle",22059,14892,3902,49,26201.99,3290.36,0.0126
"US","Louisiana","Lafayette",22055,244390,58427,469,23907.28,1919.06,0.0080
"US","Louisiana","Lafourche",22057,97614,25891,347,26523.86,3554.82,0.0134
"US","Louisiana","Lincoln",22061,46742,11303,130,24181.68,2781.22,0.0115
"US","Louisiana","Livingston",22063,140788,34817,441,24730.09,3132.37,0.0127
"US","Louisiana","Madison",22065,10950,3011,58,27497.72,5296.80,0.0193
"US","Louisiana","Morehouse",22067,24874,6416,130,25794.00,5226.34,0.0203
"US","Louisiana","Natchitoches",22069,38158,9428,155,24707.79,4062.06,0.0164
"US","Louisiana","Orleans",22071,390144,82130,1075,21051.20,2755.39,0.0131
"US","Louisiana","Ouachita",22073,153279,46795,681,30529.30,4442.88,0.0146
"US","Louisiana","Out of LA",80022,-1,0,0,0.00,0.00,0.0000
"US","Louisiana","Plaquemines",22075,23197,6065,42,26145.62,1810.58,0.0069
"US","Louisiana","Pointe Coupee",22077,21730,5434,87,25006.90,4003.68,0.0160
"US","Louisiana","Rapides",22079,129648,30608,539,23608.54,4157.41,0.0176
"US","Louisiana","Red River",22081,8442,1977,51,23418.62,6041.22,0.0258
"US","Louisiana","Richland",22083,20122,5933,90,29485.14,4472.72,0.0152
"US","Louisiana","Sabine",22085,23884,5938,108,24861.83,4521.86,0.0182
"US","Louisiana","St. Bernard",22087,47244,10612,107,22462.11,2264.84,0.0101
"US","Louisiana","St. Charles",22089,53099,13035,139,24548.48,2617.75,0.0107
"US","Louisiana","St. Helena",22091,10132,1810,23,17864.19,2270.04,0.0127
"US","Louisiana","St. James",22093,21096,5395,75,25573.57,3555.18,0.0139
"US","Louisiana","St. John the Baptist",22095,42837,9933,180,23187.90,4201.97,0.0181
"US","Louisiana","St. Landry",22097,82124,20820,378,25351.91,4602.80,0.0182
"US","Louisiana","St. Martin",22099,53431,12088,179,22623.57,3350.12,0.0148
"US","Louisiana","St. Mary",22101,49347,11799,252,23910.27,5106.69,0.0214
"US","Louisiana","St. Tammany",22103,260419,67493,808,25917.08,3102.69,0.0120
"US","Louisiana","Tangipahoa",22105,134758,32590,571,24184.09,4237.23,0.0175
"US","Louisiana","Tensas",22107,4333,927,11,21393.95,2538.66,0.0119
"US","Louisiana","Terrebonne",22109,110461,28915,393,26176.66,3557.82,0.0136
"US","Louisiana","Unassigned",90022,-1,921,0,0.00,0.00,0.0000
"US","Louisiana","Union",22111,22108,6314,121,28559.80,5473.13,0.0192
"US","Louisiana","Vermilion",22113,59511,14241,212,23930.03,3562.37,0.0149
"US","Louisiana","Vernon",22115,47429,9361,179,19736.87,3774.06,0.0191
"US","Louisiana","Washington",22117,46194,12048,238,26081.31,5152.18,0.0198
"US","Louisiana","Webster",22119,38340,10348,165,26990.09,4303.60,0.0159
"US","Louisiana","West Baton Rouge",22121,26465,6773,82,25592.29,3098.43,0.0121
"US","Louisiana","West Carroll",22123,10830,3275,57,30240.07,5263.16,0.0174
"US","Louisiana","West Feliciana",22125,15568,2689,42,17272.61,2697.84,0.0156
"US","Louisiana","Winn",22127,13904,4072,59,29286.54,4243.38,0.0145
