Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Massachusetts","Barnstable",25001,212990,33930,650,15930.33,3051.79,0.0192
"US","Massachusetts","Berkshire",25003,124944,21968,391,17582.28,3129.40,0.0178
"US","Massachusetts","Bristol",25005,565216,147061,2404,26018.55,4253.24,0.0163
"US","Massachusetts","Dukes and Nantucket",0,28730,6693,13,23296.21,452.49,0.0019
"US","Massachusetts","Essex",25009,789034,201268,3062,25508.15,3880.69,0.0152
"US","Massachusetts","Franklin",25011,70180,10079,159,14361.64,2265.60,0.0158
"US","Massachusetts","Hampden",25013,466372,129999,2009,27874.53,4307.72,0.0155
"US","Massachusetts","Hampshire",25015,160830,25849,399,16072.25,2480.88,0.0154
"US","Massachusetts","Middlesex",25017,1611699,313216,4598,19433.90,2852.89,0.0147
"US","Massachusetts","Norfolk",25021,706774,127464,2175,18034.62,3077.36,0.0171
"US","Massachusetts","Plymouth",25023,521202,113377,1927,21752.99,3697.22,0.0170
"US","Massachusetts","Suffolk",25025,803907,203734,2237,25342.98,2782.66,0.0110
"US","Massachusetts","Unassigned",90025,-1,140744,10,0.00,0.00,0.0001
"US","Massachusetts","Worcester",25027,830622,187361,2924,22556.71,3520.25,0.0156
"US","Massachusetts","Brockton",0,-1,4,0,0.00,0.00,0.0000
"US","Massachusetts","Dukes",25007,-1,31,0,0.00,0.00,0.0000
"US","Massachusetts","Nantucket",25019,-1,9,0,0.00,0.00,0.0000
