Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Michigan","Alcona",26001,10405,1675,67,16098.03,6439.21,0.0400
"US","Michigan","Alger",26003,9108,1671,13,18346.51,1427.32,0.0078
"US","Michigan","Allegan",26005,118081,26572,324,22503.20,2743.88,0.0122
"US","Michigan","Alpena",26007,28405,5406,127,19031.86,4471.04,0.0235
"US","Michigan","Antrim",26009,23324,4195,57,17985.77,2443.83,0.0136
"US","Michigan","Arenac",26011,14883,3130,62,21030.71,4165.83,0.0198
"US","Michigan","Baraga",26013,8209,1988,53,24217.32,6456.33,0.0267
"US","Michigan","Barry",26015,61550,14032,155,22797.73,2518.28,0.0110
"US","Michigan","Bay",26017,103125,26542,551,25737.70,5343.03,0.0208
"US","Michigan","Benzie",26019,17766,3353,63,18873.13,3546.10,0.0188
"US","Michigan","Berrien",26021,153401,34163,499,22270.39,3252.91,0.0146
"US","Michigan","Branch",26023,43517,11122,163,25557.83,3745.66,0.0147
"US","Michigan","Calhoun",26025,134158,33233,538,24771.54,4010.20,0.0162
"US","Michigan","Cass",26027,51787,10954,128,21152.03,2471.66,0.0117
"US","Michigan","Charlevoix",26029,26143,4830,56,18475.31,2142.06,0.0116
"US","Michigan","Cheboygan",26031,25276,4507,93,17831.14,3679.38,0.0206
"US","Michigan","Chippewa",26033,37349,8175,89,21888.14,2382.93,0.0109
"US","Michigan","Clare",26035,30950,6586,150,21279.48,4846.53,0.0228
"US","Michigan","Clinton",26037,79595,20422,192,25657.39,2412.21,0.0094
"US","Michigan","Crawford",26039,14028,2480,26,17678.93,1853.44,0.0105
"US","Michigan","Delta",26041,35784,9779,148,27327.86,4135.93,0.0151
"US","Michigan","Dickinson",26043,25239,7275,102,28824.44,4041.36,0.0140
"US","Michigan","Eaton",26045,110267,25960,370,23542.86,3355.49,0.0143
"US","Michigan","Emmet",26047,33415,6255,73,18719.14,2184.65,0.0117
"US","Michigan","Federal Correctional Institution (FCI)",0,-1,324,5,0.00,0.00,0.0154
"US","Michigan","Genesee",26049,405813,98895,1608,24369.60,3962.42,0.0163
"US","Michigan","Gladwin",26051,25448,5477,106,21522.32,4165.36,0.0194
"US","Michigan","Gogebic",26053,13975,3196,65,22869.41,4651.16,0.0203
"US","Michigan","Grand Traverse",26055,93087,16618,205,17852.12,2202.24,0.0123
"US","Michigan","Gratiot",26057,40711,10424,173,25604.87,4249.47,0.0166
"US","Michigan","Hillsdale",26059,45605,10162,184,22282.64,4034.65,0.0181
"US","Michigan","Houghton",26061,35684,7604,88,21309.27,2466.09,0.0116
"US","Michigan","Huron",26063,30981,7932,141,25602.79,4551.18,0.0178
"US","Michigan","Ingham",26065,292406,62214,693,21276.58,2369.99,0.0111
"US","Michigan","Ionia",26067,64697,16122,165,24919.24,2550.35,0.0102
"US","Michigan","Iosco",26069,25127,4667,129,18573.65,5133.92,0.0276
"US","Michigan","Iron",26071,11066,2595,80,23450.21,7229.35,0.0308
"US","Michigan","Isabella",26073,69872,15247,188,21821.33,2690.63,0.0123
"US","Michigan","Jackson",26075,158510,38690,508,24408.55,3204.85,0.0131
"US","Michigan","Kalamazoo",26077,265066,57109,625,21545.20,2357.90,0.0109
"US","Michigan","Kalkaska",26079,18038,3442,53,19081.94,2938.24,0.0154
"US","Michigan","Kent",26081,656954,162942,1431,24802.65,2178.23,0.0088
"US","Michigan","Keweenaw",26083,2116,496,12,23440.45,5671.08,0.0242
"US","Michigan","Lake",26085,11853,1789,34,15093.23,2868.47,0.0190
"US","Michigan","Lapeer",26087,87607,19923,393,22741.33,4485.94,0.0197
"US","Michigan","Leelanau",26089,21761,3475,47,15968.94,2159.83,0.0135
"US","Michigan","Lenawee",26091,98451,23989,297,24366.44,3016.73,0.0124
"US","Michigan","Livingston",26093,191994,44717,418,23290.83,2177.15,0.0093
"US","Michigan","Luce",26095,6229,1382,8,22186.55,1284.32,0.0058
