Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Minnesota","Aitkin",27001,15886,2850,59,17940.32,3713.96,0.0207
"US","Minnesota","Anoka",27003,356921,96539,759,27047.72,2126.52,0.0079
"US","Minnesota","Becker",27005,34423,8439,86,24515.59,2498.33,0.0102
"US","Minnesota","Beltrami",27007,47188,11088,118,23497.50,2500.64,0.0106
"US","Minnesota","Benton",27009,40889,13610,165,33285.24,4035.32,0.0121
"US","Minnesota","Big Stone",27011,4991,1342,8,26888.40,1602.89,0.0060
"US","Minnesota","Blue Earth",27013,67653,17184,89,25400.20,1315.54,0.0052
"US","Minnesota","Brown",27015,25008,6419,72,25667.79,2879.08,0.0112
"US","Minnesota","Carlton",27017,35871,8564,88,23874.44,2453.24,0.0103
"US","Minnesota","Carver",27019,105089,25866,107,24613.42,1018.18,0.0041
"US","Minnesota","Cass",27021,29779,6657,75,22354.68,2518.55,0.0113
"US","Minnesota","Chippewa",27023,11800,2969,46,25161.02,3898.31,0.0155
"US","Minnesota","Chisago",27025,56579,14192,114,25083.51,2014.88,0.0080
"US","Minnesota","Clay",27027,64222,18926,117,29469.65,1821.81,0.0062
"US","Minnesota","Clearwater",27029,8818,2077,29,23554.09,3288.73,0.0140
"US","Minnesota","Cook",27031,5463,530,3,9701.63,549.15,0.0057
"US","Minnesota","Cottonwood",27033,11195,3135,40,28003.57,3573.02,0.0128
"US","Minnesota","Crow Wing",27035,65055,15525,158,23864.42,2428.71,0.0102
"US","Minnesota","Dakota",27037,429020,106986,736,24937.30,1715.54,0.0069
"US","Minnesota","Dodge",27039,20934,5500,18,26273.05,859.85,0.0033
"US","Minnesota","Douglas",27041,38141,10611,113,27820.46,2962.69,0.0106
"US","Minnesota","Faribault",27043,13653,3669,49,26873.21,3588.95,0.0134
"US","Minnesota","Fillmore",27045,21067,4521,22,21460.10,1044.29,0.0049
"US","Minnesota","Freeborn",27047,30281,8759,68,28925.73,2245.63,0.0078
"US","Minnesota","Goodhue",27049,46340,12588,120,27164.44,2589.56,0.0095
"US","Minnesota","Grant",27051,5972,1427,12,23894.84,2009.38,0.0084
"US","Minnesota","Hennepin",27053,1265843,290352,2459,22937.44,1942.58,0.0085
"US","Minnesota","Houston",27055,18600,4101,18,22048.39,967.74,0.0044
"US","Minnesota","Hubbard",27057,21491,4773,56,22209.30,2605.74,0.0117
"US","Minnesota","Isanti",27059,40596,9917,111,24428.52,2734.26,0.0112
"US","Minnesota","Itasca",27061,45130,10699,135,23707.07,2991.36,0.0126
"US","Minnesota","Jackson",27063,9846,2112,16,21450.34,1625.03,0.0076
"US","Minnesota","Kanabec",27065,16337,3425,54,20964.68,3305.38,0.0158
"US","Minnesota","Kandiyohi",27067,43199,13030,132,30162.74,3055.63,0.0101
"US","Minnesota","Kittson",27069,4298,1014,26,23592.37,6049.33,0.0256
"US","Minnesota","Koochiching",27071,12229,2604,34,21293.65,2780.28,0.0131
"US","Minnesota","Lac qui Parle",27073,6622,1690,28,25520.99,4228.33,0.0166
"US","Minnesota","Lake",27075,10641,1977,27,18579.08,2537.36,0.0137
"US","Minnesota","Lake of the Woods",27077,3740,735,5,19652.41,1336.90,0.0068
"US","Minnesota","Le Sueur",27079,28886,6276,47,21726.79,1627.09,0.0075
"US","Minnesota","Lincoln",27081,5639,1191,6,21120.77,1064.02,0.0050
"US","Minnesota","Lyon",27083,25473,6952,70,27291.64,2748.01,0.0101
"US","Minnesota","Mahnomen",27087,5527,1599,17,28930.70,3075.81,0.0106
"US","Minnesota","Marshall",27089,9336,1983,23,21240.36,2463.58,0.0116
"US","Minnesota","Martin",27091,19683,5413,57,27500.89,2895.90,0.0105
"US","Minnesota","McLeod",27085,35893,10244,101,28540.38,2813.92,0.0099
"US","Minnesota","Meeker",27093,23222,5721,73,24636.12,3143.57,0.0128
"US","Minnesota","Mille Lacs",27095,26277,7032,106,26761.05,4033.95,0.0151
"US","Minnesota","Morrison",27097,33385,8858,99,26532.87,2965.40,0.0112
