Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Mississippi","Adams",28001,30692,7061,139,23006.00,4528.87,0.0197
"US","Mississippi","Alcorn",28003,36953,9785,140,26479.58,3788.60,0.0143
"US","Mississippi","Amite",28005,12297,3188,65,25925.02,5285.84,0.0204
"US","Mississippi","Attala",28007,18174,5131,105,28232.64,5777.48,0.0205
"US","Mississippi","Benton",28009,8259,2242,46,27146.14,5569.68,0.0205
"US","Mississippi","Bolivar",28011,30628,9105,166,29727.70,5419.88,0.0182
"US","Mississippi","Calhoun",28013,14361,4535,59,31578.58,4108.35,0.0130
"US","Mississippi","Carroll",28015,9947,2530,49,25434.80,4926.11,0.0194
"US","Mississippi","Chickasaw",28017,17103,5475,89,32011.93,5203.77,0.0163
"US","Mississippi","Choctaw",28019,8210,2089,30,25444.58,3654.08,0.0144
"US","Mississippi","Claiborne",28021,8988,2124,46,23631.51,5117.94,0.0217
"US","Mississippi","Clarke",28023,15540,4144,103,26666.67,6628.06,0.0249
"US","Mississippi","Clay",28025,19316,4917,91,25455.58,4711.12,0.0185
"US","Mississippi","Coahoma",28027,22124,6394,119,28900.74,5378.77,0.0186
"US","Mississippi","Copiah",28029,28065,7053,107,25130.95,3812.58,0.0152
"US","Mississippi","Covington",28031,18636,6994,103,37529.51,5526.94,0.0147
"US","Mississippi","DeSoto",28033,184945,49379,522,26699.29,2822.46,0.0106
"US","Mississippi","Forrest",28035,74897,21733,294,29017.18,3925.39,0.0135
"US","Mississippi","Franklin",28037,7712,1906,35,24714.73,4538.38,0.0184
"US","Mississippi","George",28039,24500,7064,81,28832.65,3306.12,0.0115
"US","Mississippi","Greene",28041,13586,3155,53,23222.43,3901.07,0.0168
"US","Mississippi","Grenada",28043,20758,5453,124,26269.39,5973.60,0.0227
"US","Mississippi","Hancock",28045,47631,12055,146,25309.15,3065.23,0.0121
