Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Montana","Beaverhead",30001,9453,2073,25,21929.55,2644.66,0.0121
"US","Montana","Big Horn",30003,13319,4585,89,34424.51,6682.18,0.0194
"US","Montana","Blaine",30005,6681,1947,29,29142.34,4340.67,0.0149
"US","Montana","Broadwater",30007,6237,1206,18,19336.22,2886.00,0.0149
"US","Montana","Carbon",30009,10725,1978,27,18442.89,2517.48,0.0137
"US","Montana","Carter",30011,1251,234,5,18705.04,3996.80,0.0214
"US","Montana","Cascade",30013,81366,22950,303,28205.88,3723.91,0.0132
"US","Montana","Chouteau",30015,5635,946,14,16787.93,2484.47,0.0148
"US","Montana","Custer",30017,11402,2923,44,25635.85,3858.97,0.0151
"US","Montana","Daniels",30019,1690,379,9,22426.04,5325.44,0.0237
"US","Montana","Dawson",30021,8613,2276,53,26425.17,6153.49,0.0233
"US","Montana","Deer Lodge",30023,9140,2337,29,25568.93,3172.87,0.0124
"US","Montana","Fallon",30025,2845,673,10,23655.54,3514.94,0.0149
"US","Montana","Fergus",30027,11050,2353,52,21294.12,4705.88,0.0221
"US","Montana","Flathead",30029,103806,26152,237,25193.15,2283.11,0.0091
"US","Montana","Gallatin",30031,114434,33171,111,28987.01,969.99,0.0033
"US","Montana","Garfield",30033,1258,221,3,17567.57,2384.74,0.0136
"US","Montana","Glacier",30035,13752,3598,65,26163.47,4726.59,0.0181
"US","Montana","Golden Valley",30037,820,149,5,18170.73,6097.56,0.0336
"US","Montana","Granite",30039,3379,514,7,15211.60,2071.62,0.0136
"US","Montana","Hill",30041,16484,4393,71,26650.08,4307.21,0.0162
"US","Montana","Jefferson",30043,12220,2504,23,20491.00,1882.16,0.0092
"US","Montana","Judith Basin",30045,2007,216,1,10762.33,498.26,0.0046
"US","Montana","Lake",30047,30458,6209,92,20385.45,3020.55,0.0148
"US","Montana","Lewis and Clark",30049,69431,17119,165,24656.13,2376.46,0.0096
"US","Montana","Liberty",30051,2337,379,2,16217.37,855.80,0.0053
"US","Montana","Lincoln",30053,19980,4548,77,22762.76,3853.85,0.0169
"US","Montana","Madison",30057,8600,1774,20,20627.91,2325.58,0.0113
"US","Montana","McCone",30055,1664,381,9,22896.63,5408.65,0.0236
"US","Montana","Meagher",30059,1861,400,10,21493.82,5373.46,0.0250
"US","Montana","Mineral",30061,4397,1049,17,23857.18,3866.27,0.0162
"US","Montana","Missoula",30063,119600,26355,200,22035.95,1672.24,0.0076
"US","Montana","Musselshell",30065,4633,899,26,19404.27,5611.91,0.0289
"US","Montana","Park",30067,16606,3990,33,24027.46,1987.23,0.0083
"US","Montana","Petroleum",30069,486,35,1,7201.65,2057.61,0.0286
"US","Montana","Phillips",30071,3954,1031,28,26074.86,7081.44,0.0272
"US","Montana","Pondera",30073,5911,1131,6,19133.82,1015.06,0.0053
"US","Montana","Powder River",30075,1681,322,10,19155.26,5948.84,0.0311
"US","Montana","Powell",30077,6890,1841,27,26719.88,3918.72,0.0147
"US","Montana","Prairie",30079,1077,259,3,24048.28,2785.52,0.0116
"US","Montana","Ravalli",30081,43806,6780,136,15477.33,3104.60,0.0201
"US","Montana","Richland",30083,10803,2510,30,23234.29,2777.01,0.0120
"US","Montana","Roosevelt",30085,11004,3063,69,27835.33,6270.45,0.0225
"US","Montana","Rosebud",30087,8937,2367,58,26485.40,6489.87,0.0245
"US","Montana","Sanders",30089,12113,2098,44,17320.23,3632.46,0.0210
"US","Montana","Sheridan",30091,3309,671,11,20278.03,3324.27,0.0164
"US","Montana","Silver Bow",30093,34915,8087,122,23161.96,3494.20,0.0151
"US","Montana","Stillwater",30095,9642,1453,29,15069.49,3007.67,0.0200
"US","Montana","Sweet Grass",30097,3736,755,8,20208.78,2141.33,0.0106
"US","Montana","Teton",30099,6146,1243,20,20224.54,3254.15,0.0161
"US","Montana","Toole",30101,4736,1221,21,25781.25,4434.12,0.0172
"US","Montana","Treasure",30103,696,135,1,19396.55,1436.78,0.0074
"US","Montana","Unassigned",90030,-1,0,0,0.00,0.00,0.0000
"US","Montana","Valley",30105,7396,1631,35,22052.46,4732.29,0.0215
"US","Montana","Wheatland",30107,2126,372,14,17497.65,6585.14,0.0376
"US","Montana","Wibaux",30109,969,202,8,20846.23,8255.93,0.0396
"US","Montana","Yellowstone",30111,161300,40731,513,25251.70,3180.41,0.0126
