Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Nebraska","Adams",31001,31363,6191,46,19739.82,1466.70,0.0074
"US","Nebraska","Antelope",31003,6298,1030,7,16354.40,1111.46,0.0068
"US","Nebraska","Arthur",31005,462,30,1,6493.51,2164.50,0.0333
"US","Nebraska","Banner",31007,744,93,0,12500.00,0.00,0.0000
"US","Nebraska","Blaine",31009,464,62,0,13362.07,0.00,0.0000
"US","Nebraska","Boone",31011,5192,1040,4,20030.82,770.42,0.0038
"US","Nebraska","Box Butte",31013,10782,2175,8,20172.51,741.98,0.0037
"US","Nebraska","Boyd",31015,1918,383,3,19968.72,1564.13,0.0078
"US","Nebraska","Brown",31017,2955,496,2,16785.11,676.82,0.0040
"US","Nebraska","Buffalo",31019,49659,11214,57,22582.01,1147.83,0.0051
"US","Nebraska","Burt",31021,6459,1259,12,19492.18,1857.87,0.0095
"US","Nebraska","Butler",31023,8016,1787,11,22292.91,1372.26,0.0062
"US","Nebraska","Cass",31025,26248,5815,16,22154.07,609.57,0.0028
"US","Nebraska","Cedar",31027,8401,1436,11,17093.20,1309.37,0.0077
"US","Nebraska","Chase",31029,3924,720,5,18348.62,1274.21,0.0069
"US","Nebraska","Cherry",31031,5689,536,6,9421.69,1054.67,0.0112
"US","Nebraska","Cheyenne",31033,8910,1906,16,21391.69,1795.74,0.0084
"US","Nebraska","Clay",31035,6202,1412,11,22766.85,1773.62,0.0078
"US","Nebraska","Colfax",31037,10708,2570,21,24000.75,1961.15,0.0082
"US","Nebraska","Cuming",31039,8846,1748,15,19760.34,1695.68,0.0086
"US","Nebraska","Custer",31041,10777,1950,19,18094.09,1763.01,0.0097
"US","Nebraska","Dakota",31043,20026,6482,65,32367.92,3245.78,0.0100
"US","Nebraska","Dawes",31045,8589,1304,12,15182.21,1397.14,0.0092
"US","Nebraska","Dawson",31047,23595,5020,31,21275.69,1313.84,0.0062
"US","Nebraska","Deuel",31049,1794,310,1,17279.82,557.41,0.0032
"US","Nebraska","Dixon",31051,5635,1118,9,19840.28,1597.16,0.0081
"US","Nebraska","Dodge",31053,36565,9564,62,26156.16,1695.61,0.0065
"US","Nebraska","Douglas",31055,571327,141126,718,24701.44,1256.72,0.0051
"US","Nebraska","Dundy",31057,1692,332,4,19621.75,2364.07,0.0120
"US","Nebraska","Fillmore",31059,5462,1081,8,19791.29,1464.66,0.0074
"US","Nebraska","Franklin",31061,2979,395,4,13259.48,1342.73,0.0101
"US","Nebraska","Frontier",31063,2627,522,1,19870.57,380.66,0.0019
"US","Nebraska","Furnas",31065,4676,1053,5,22519.25,1069.29,0.0047
"US","Nebraska","Gage",31067,21513,3440,19,15990.33,883.19,0.0055
"US","Nebraska","Garden",31069,1837,356,1,19379.42,544.37,0.0028
"US","Nebraska","Garfield",31071,1969,386,1,19603.86,507.87,0.0026
"US","Nebraska","Gosper",31073,1990,351,5,17638.19,2512.56,0.0142
"US","Nebraska","Grant",31075,623,103,4,16532.91,6420.55,0.0388
"US","Nebraska","Greeley",31077,2356,389,1,16511.04,424.45,0.0026
"US","Nebraska","Hall",31079,61353,15559,117,25359.80,1907.00,0.0075
"US","Nebraska","Hamilton",31081,9324,2135,17,22897.90,1823.25,0.0080
"US","Nebraska","Harlan",31083,3380,378,0,11183.43,0.00,0.0000
"US","Nebraska","Hayes",31085,921,101,0,10966.34,0.00,0.0000
"US","Nebraska","Hitchcock",31087,2762,495,5,17921.80,1810.28,0.0101
"US","Nebraska","Holt",31089,10067,2007,16,19936.43,1589.35,0.0080
"US","Nebraska","Hooker",31091,682,109,2,15982.40,2932.55,0.0183
"US","Nebraska","Howard",31093,6445,1126,10,17470.91,1551.59,0.0089
"US","Nebraska","Jefferson",31095,7045,1179,1,16735.27,141.94,0.0008
"US","Nebraska","Johnson",31097,5071,877,9,17294.42,1774.80,0.0103
"US","Nebraska","Kearney",31099,6495,1161,5,17875.29,769.82,0.0043
"US","Nebraska","Keith",31101,8034,1453,10,18085.64,1244.71,0.0069
"US","Nebraska","Keya Paha",31103,806,113,0,14019.85,0.00,0.0000
"US","Nebraska","Kimball",31105,3632,715,1,19686.12,275.33,0.0014
"US","Nebraska","Knox",31107,8332,1615,12,19383.10,1440.23,0.0074
"US","Nebraska","Lancaster",31109,319090,72935,170,22857.19,532.77,0.0023
"US","Nebraska","Lincoln",31111,34913,8152,60,23349.47,1718.56,0.0074
