Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Nevada","Carson City",32510,55916,14291,195,25557.98,3487.37,0.0136
"US","Nevada","Churchill",32001,24909,6329,99,25408.49,3974.47,0.0156
"US","Nevada","Clark",32003,2266715,505219,7262,22288.60,3203.76,0.0144
"US","Nevada","Douglas",32005,48904,7838,82,16027.32,1676.75,0.0105
"US","Nevada","Elko",32007,52778,12164,130,23047.48,2463.15,0.0107
"US","Nevada","Esmeralda",32009,873,88,3,10080.18,3436.43,0.0341
"US","Nevada","Eureka",32011,2028,299,0,14743.59,0.00,0.0000
"US","Nevada","Humboldt",32013,16831,4410,48,26201.65,2851.88,0.0109
"US","Nevada","Lander",32015,5531,1137,17,20556.86,3073.59,0.0150
"US","Nevada","Lincoln",32017,5183,951,5,18348.45,964.69,0.0053
"US","Nevada","Lyon",32019,57510,10568,159,18375.93,2764.74,0.0150
"US","Nevada","Mineral",32021,4505,939,15,20843.51,3329.63,0.0160
"US","Nevada","Nye",32023,46523,6747,223,14502.50,4793.33,0.0331
"US","Nevada","Pershing",32027,6724,1388,29,20642.47,4312.91,0.0209
"US","Nevada","Storey",32029,4123,327,9,7931.12,2182.88,0.0275
"US","Nevada","Unassigned",90032,-1,0,0,0.00,0.00,0.0000
"US","Nevada","Washoe",32031,471519,101178,1117,21457.88,2368.94,0.0110
"US","Nevada","White Pine",32033,9580,1924,18,20083.51,1878.91,0.0094
"US","Nevada","Elko County",32007,-1,1,0,0.00,0.00,0.0000
