Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","New York","Albany",36001,305506,57410,498,18791.77,1630.08,0.0087
"US","New York","Allegany",36003,46090,8657,146,18782.82,3167.72,0.0169
"US","New York","Bronx",36005,1418207,349735,2718,24660.36,1916.50,0.0078
"US","New York","Broome",36007,190488,43682,499,22931.63,2619.59,0.0114
"US","New York","Cattaraugus",36009,76117,14969,209,19665.78,2745.77,0.0140
"US","New York","Cayuga",36011,76576,15425,140,20143.39,1828.25,0.0091
"US","New York","Chautauqua",36013,126903,23079,274,18186.33,2159.13,0.0119
"US","New York","Chemung",36015,83456,20719,224,24826.26,2684.05,0.0108
"US","New York","Chenango",36017,47206,8997,116,19059.02,2457.31,0.0129
"US","New York","Clinton",36019,80485,15895,77,19749.02,956.70,0.0048
"US","New York","Columbia",36021,59460,9746,138,16390.85,2320.89,0.0142
"US","New York","Cortland",36023,47581,10155,111,21342.55,2332.86,0.0109
"US","New York","Delaware",36025,44135,7469,68,16923.08,1540.73,0.0091
"US","New York","Dutchess",36027,294218,62794,643,21342.68,2185.45,0.0102
"US","New York","Erie",36029,918702,204262,2552,22233.76,2777.83,0.0125
"US","New York","Essex",36031,36885,5333,54,14458.45,1464.01,0.0101
"US","New York","Franklin",36033,50021,8846,40,17684.57,799.66,0.0045
"US","New York","Fulton",36035,53383,12111,161,22687.00,3015.94,0.0133
"US","New York","Genesee",36037,57280,13442,182,23467.18,3177.37,0.0135
"US","New York","Greene",36039,47188,8356,117,17707.89,2479.44,0.0140
"US","New York","Hamilton",36041,4416,820,5,18568.84,1132.25,0.0061
"US","New York","Herkimer",36043,61319,13366,186,21797.49,3033.32,0.0139
"US","New York","Jefferson",36045,109834,19318,128,17588.36,1165.40,0.0066
"US","New York","Kings",36047,2559903,616306,5285,24075.37,2064.53,0.0086
"US","New York","Lewis",36049,26295,6031,46,22935.92,1749.38,0.0076
"US","New York","Livingston",36051,62914,11345,109,18032.55,1732.52,0.0096
"US","New York","Madison",36053,70941,12529,123,17661.16,1733.84,0.0098
"US","New York","Monroe",36055,741770,148260,1522,19987.33,2051.85,0.0103
"US","New York","Montgomery",36057,49221,11523,194,23410.74,3941.41,0.0168
"US","New York","Nassau",36059,1356924,396488,3786,29219.62,2790.13,0.0095
"US","New York","New York",36061,1628706,368014,2165,22595.48,1329.28,0.0059
"US","New York","Niagara",36063,209281,46851,550,22386.65,2628.05,0.0117
"US","New York","Oneida",36065,228671,51525,761,22532.37,3327.93,0.0148
"US","New York","Onondaga",36067,460528,105640,1010,22938.89,2193.13,0.0096
"US","New York","Ontario",36069,109777,19197,170,17487.27,1548.59,0.0089
"US","New York","Orange",36071,384940,106994,1096,27794.98,2847.20,0.0102
"US","New York","Orleans",36073,40352,8481,110,21017.55,2726.01,0.0130
"US","New York","Oswego",36075,117124,24490,171,20909.46,1459.99,0.0070
"US","New York","Otsego",36077,59493,9485,84,15943.05,1411.93,0.0089
"US","New York","Out of NY",80036,-1,0,446,0.00,0.00,0.0000
"US","New York","Putnam",36079,98320,23146,121,23541.50,1230.68,0.0052
"US","New York","Queens",36081,2253857,560654,4414,24875.31,1958.42,0.0079
"US","New York","Rensselaer",36083,158714,30415,241,19163.40,1518.45,0.0079
"US","New York","Richmond",36085,476142,147988,1166,31080.64,2448.85,0.0079
"US","New York","Rockland",36087,325789,90821,885,27877.25,2716.48,0.0097
"US","New York","Saratoga",36091,229863,44547,315,19379.80,1370.38,0.0071
"US","New York","Schenectady",36093,155299,31988,287,20597.69,1848.05,0.0090
"US","New York","Schoharie",36095,30999,4842,34,15619.86,1096.81,0.0070
"US","New York","Schuyler",36097,17807,3330,24,18700.51,1347.78,0.0072
"US","New York","Seneca",36099,34016,5672,89,16674.51,2616.42,0.0157
"US","New York","St. Lawrence",36089,107740,20019,173,18580.84,1605.72,0.0086
"US","New York","Steuben",36101,95378,19213,235,20144.06,2463.88,0.0122
"US","New York","Suffolk",36103,1476601,420811,4305,28498.63,2915.48,0.0102
"US","New York","Sullivan",36105,75431,18020,123,23889.38,1630.63,0.0068
"US","New York","Tioga",36107,48203,10360,81,21492.44,1680.39,0.0078
"US","New York","Tompkins",36109,102179,17044,79,16680.53,773.15,0.0046
"US","New York","Ulster",36111,177573,30438,354,17141.12,1993.55,0.0116
"US","New York","Unassigned",90036,-1,465,0,0.00,0.00,0.0000
"US","New York","Warren",36113,63943,13065,118,20432.26,1845.39,0.0090
"US","New York","Washington",36115,61204,11679,111,19082.09,1813.61,0.0095
"US","New York","Wayne",36117,89918,16698,164,18570.25,1823.88,0.0098
"US","New York","Westchester",36119,967506,245218,2664,25345.37,2753.47,0.0109
"US","New York","Wyoming",36121,39859,8168,81,20492.24,2032.16,0.0099
"US","New York","Yates",36123,24913,3245,39,13025.33,1565.45,0.0120
"US","New York","New York City",36061,-1,233960,23688,0.00,0.00,0.1012
