Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","North Carolina","Alamance",37001,169509,45420,427,26795.04,2519.04,0.0094
"US","North Carolina","Alexander",37003,37497,10255,127,27348.85,3386.94,0.0124
"US","North Carolina","Alleghany",37005,11137,2842,11,25518.54,987.70,0.0039
"US","North Carolina","Anson",37007,24445,6354,92,25993.05,3763.55,0.0145
"US","North Carolina","Ashe",37009,27203,5969,68,21942.43,2499.72,0.0114
"US","North Carolina","Avery",37011,17557,4224,41,24058.78,2335.25,0.0097
"US","North Carolina","Beaufort",37013,46994,11780,149,25067.03,3170.62,0.0126
"US","North Carolina","Bertie",37015,18947,4166,63,21987.65,3325.06,0.0151
"US","North Carolina","Bladen",37017,32722,9111,116,27843.65,3545.02,0.0127
"US","North Carolina","Brunswick",37019,142820,28288,289,19806.75,2023.53,0.0102
"US","North Carolina","Buncombe",37021,261191,48756,518,18666.80,1983.22,0.0106
"US","North Carolina","Burke",37023,90484,23963,285,26483.14,3149.73,0.0119
"US","North Carolina","Cabarrus",37025,216453,54237,438,25057.17,2023.53,0.0081
"US","North Carolina","Caldwell",37027,82177,21430,267,26077.86,3249.08,0.0125
"US","North Carolina","Camden",37029,10867,1622,9,14925.92,828.20,0.0055
"US","North Carolina","Carteret",37031,69472,12885,84,18547.04,1209.12,0.0065
"US","North Carolina","Caswell",37033,22604,5079,40,22469.47,1769.60,0.0079
"US","North Carolina","Catawba",37035,159551,46482,525,29133.00,3290.48,0.0113
"US","North Carolina","Chatham",37037,74470,12261,104,16464.35,1396.54,0.0085
"US","North Carolina","Cherokee",37039,28611,6901,91,24120.09,3180.59,0.0132
"US","North Carolina","Chowan",37041,13943,4069,50,29183.10,3586.03,0.0123
"US","North Carolina","Clay",37043,11230,2577,38,22947.46,3383.79,0.0147
"US","North Carolina","Cleveland",37045,97947,28820,355,29424.08,3624.41,0.0123
"US","North Carolina","Columbus",37047,55508,15540,251,27995.96,4521.87,0.0162
"US","North Carolina","Craven",37049,102139,23142,187,22657.36,1830.84,0.0081
"US","North Carolina","Cumberland",37051,335509,80260,526,23921.86,1567.77,0.0066
"US","North Carolina","Currituck",37053,27762,4667,32,16810.75,1152.65,0.0069
"US","North Carolina","Dare",37055,37009,7175,21,19387.18,567.43,0.0029
"US","North Carolina","Davidson",37057,167609,42119,377,25129.32,2249.28,0.0090
"US","North Carolina","Davie",37059,42846,10794,82,25192.55,1913.83,0.0076
"US","North Carolina","Duplin",37061,58741,16028,221,27285.88,3762.28,0.0138
"US","North Carolina","Durham",37063,321488,67693,295,21056.15,917.61,0.0044
"US","North Carolina","Edgecombe",37065,51472,13177,137,25600.33,2661.64,0.0104
"US","North Carolina","Forsyth",37067,382295,90022,738,23547.78,1930.45,0.0082
"US","North Carolina","Franklin",37069,69684,19617,65,28151.37,932.78,0.0033
"US","North Carolina","Gaston",37071,224528,63645,737,28346.13,3282.44,0.0116
"US","North Carolina","Gates",37073,11562,1773,19,15334.72,1643.31,0.0107
"US","North Carolina","Graham",37075,8441,2208,30,26158.04,3554.08,0.0136
"US","North Carolina","Granville",37077,60443,13799,111,22829.77,1836.44,0.0080
"US","North Carolina","Greene",37079,21069,5651,55,26821.40,2610.47,0.0097
"US","North Carolina","Guilford",37081,537174,112301,1047,20905.89,1949.09,0.0093
"US","North Carolina","Halifax",37083,50010,13671,173,27336.53,3459.31,0.0127
"US","North Carolina","Harnett",37085,135976,31147,298,22906.25,2191.56,0.0096
"US","North Carolina","Haywood",37087,62316,12430,174,19946.72,2792.22,0.0140
"US","North Carolina","Henderson",37089,117417,24127,277,20548.13,2359.11,0.0115
"US","North Carolina","Hertford",37091,23677,4619,80,19508.38,3378.81,0.0173
"US","North Carolina","Hoke",37093,55234,14215,100,25735.96,1810.48,0.0070
"US","North Carolina","Hyde",37095,4937,1277,13,25865.91,2633.18,0.0102
"US","North Carolina","Iredell",37097,181805,47110,414,25912.38,2277.17,0.0088
"US","North Carolina","Jackson",37099,43938,8942,83,20351.40,1889.03,0.0093
"US","North Carolina","Johnston",37101,209339,56665,403,27068.53,1925.11,0.0071
"US","North Carolina","Jones",37103,9419,2147,38,22794.35,4034.40,0.0177
"US","North Carolina","Lee",37105,61779,15583,131,25223.78,2120.46,0.0084
