Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Ohio","Adams",39001,27698,6822,136,24629.94,4910.10,0.0199
"US","Ohio","Allen",39003,102351,27219,447,26593.78,4367.32,0.0164
"US","Ohio","Ashland",39005,53484,11832,203,22122.50,3795.53,0.0172
"US","Ohio","Ashtabula",39007,97241,19418,391,19968.94,4020.94,0.0201
"US","Ohio","Athens",39009,65327,14062,116,21525.56,1775.68,0.0082
"US","Ohio","Auglaize",39011,45655,11463,168,25107.87,3679.77,0.0147
"US","Ohio","Belmont",39013,67006,15361,267,22924.81,3984.72,0.0174
"US","Ohio","Brown",39015,43432,11036,160,25409.84,3683.92,0.0145
"US","Ohio","Butler",39017,383134,89440,1039,23344.31,2711.84,0.0116
"US","Ohio","Carroll",39019,26914,5210,118,19357.95,4384.34,0.0226
"US","Ohio","Champaign",39021,38885,8613,132,22149.93,3394.63,0.0153
"US","Ohio","Clark",39023,134083,34571,514,25783.28,3833.45,0.0149
"US","Ohio","Clermont",39025,206428,50522,502,24474.39,2431.84,0.0099
"US","Ohio","Clinton",39027,41968,10174,149,24242.28,3550.32,0.0146
"US","Ohio","Columbiana",39029,101883,24062,458,23617.29,4495.35,0.0190
"US","Ohio","Coshocton",39031,36600,7847,144,21439.89,3934.43,0.0184
"US","Ohio","Crawford",39033,41494,11030,192,26582.16,4627.18,0.0174
"US","Ohio","Cuyahoga",39035,1235072,265236,3524,21475.35,2853.27,0.0133
"US","Ohio","Darke",39037,51113,12246,216,23958.68,4225.93,0.0176
"US","Ohio","Defiance",39039,38087,10086,153,26481.48,4017.12,0.0152
"US","Ohio","Delaware",39041,209176,43587,250,20837.48,1195.17,0.0057
"US","Ohio","Erie",39043,74266,19239,256,25905.53,3447.07,0.0133
"US","Ohio","Fairfield",39045,157574,37920,390,24064.88,2475.03,0.0103
"US","Ohio","Fayette",39047,28525,7688,102,26951.80,3575.81,0.0133
"US","Ohio","Franklin",39049,1316756,284362,2338,21595.65,1775.58,0.0082
"US","Ohio","Fulton",39051,42126,10202,168,24217.82,3988.04,0.0165
"US","Ohio","Gallia",39053,29897,7194,106,24062.61,3545.51,0.0147
"US","Ohio","Geauga",39055,93649,15838,257,16912.09,2744.29,0.0162
"US","Ohio","Greene",39057,168937,36735,469,21744.79,2776.18,0.0128
"US","Ohio","Guernsey",39059,38875,10276,138,26433.44,3549.84,0.0134
"US","Ohio","Hamilton",39061,817473,184704,1892,22594.51,2314.45,0.0102
"US","Ohio","Hancock",39063,75783,16934,251,22345.38,3312.09,0.0148
"US","Ohio","Hardin",39065,31365,6993,143,22295.55,4559.22,0.0204
"US","Ohio","Harrison",39067,15039,3177,68,21125.07,4521.58,0.0214
"US","Ohio","Henry",39069,27005,6361,102,23554.90,3777.08,0.0160
"US","Ohio","Highland",39071,43160,10502,168,24332.72,3892.49,0.0160
"US","Ohio","Hocking",39073,28264,6435,111,22767.48,3927.26,0.0172
"US","Ohio","Holmes",39075,43960,5041,172,11467.24,3912.65,0.0341
"US","Ohio","Huron",39077,58266,14314,211,24566.64,3621.32,0.0147
"US","Ohio","Jackson",39079,32413,8670,129,26748.53,3979.88,0.0149
"US","Ohio","Jefferson",39081,65325,14456,288,22129.35,4408.73,0.0199
"US","Ohio","Knox",39083,62321,12961,217,20797.16,3481.97,0.0167
"US","Ohio","Lake",39085,230149,48378,694,21020.30,3015.44,0.0143
"US","Ohio","Lawrence",39087,59462,17282,210,29063.94,3531.67,0.0122
"US","Ohio","Licking",39089,176862,41052,443,23211.32,2504.78,0.0108
"US","Ohio","Logan",39091,45671,10074,157,22057.76,3437.63,0.0156
"US","Ohio","Lorain",39093,309833,65889,911,21265.97,2940.29,0.0138
"US","Ohio","Lucas",39095,428348,97921,1307,22860.15,3051.26,0.0133
"US","Ohio","Madison",39097,44731,9547,121,21343.14,2705.06,0.0127
"US","Ohio","Mahoning",39099,228682,52818,1020,23096.70,4460.34,0.0193
"US","Ohio","Marion",39101,65093,19570,250,30064.68,3840.66,0.0128
"US","Ohio","Medina",39103,179746,39601,474,22031.64,2637.05,0.0120
"US","Ohio","Meigs",39105,22907,4433,77,19352.16,3361.42,0.0174
"US","Ohio","Mercer",39107,41172,9588,125,23287.67,3036.04,0.0130
"US","Ohio","Miami",39109,106987,25488,453,23823.46,4234.16,0.0178
"US","Ohio","Monroe",39111,13654,3399,72,24893.80,5273.18,0.0212
"US","Ohio","Montgomery",39113,531686,125271,1835,23561.09,3451.29,0.0146
"US","Ohio","Morgan",39115,14508,3187,52,21967.19,3584.23,0.0163
"US","Ohio","Morrow",39117,35327,7654,90,21666.15,2547.63,0.0118
"US","Ohio","Muskingum",39119,86214,24928,271,28914.10,3143.34,0.0109
"US","Ohio","Noble",39121,14424,3148,53,21824.74,3674.43,0.0168
"US","Ohio","Ottawa",39123,40524,8259,133,20380.52,3282.01,0.0161
"US","Ohio","Paulding",39125,18672,4567,69,24459.08,3695.37,0.0151
"US","Ohio","Perry",39127,36134,8076,118,22350.14,3265.62,0.0146
"US","Ohio","Pickaway",39129,58457,17294,204,29584.14,3489.74,0.0118
"US","Ohio","Pike",39131,27771,7285,101,26232.40,3636.89,0.0139
"US","Ohio","Portage",39133,162466,33566,416,20660.32,2560.54,0.0124
"US","Ohio","Preble",39135,40882,9314,183,22782.64,4476.30,0.0196
"US","Ohio","Putnam",39137,33861,8389,147,24774.81,4341.28,0.0175
"US","Ohio","Richland",39139,121154,31025,480,25607.90,3961.90,0.0155
"US","Ohio","Ross",39141,76666,18901,279,24653.69,3639.16,0.0148
"US","Ohio","Sandusky",39143,58518,13785,217,23556.85,3708.26,0.0157
"US","Ohio","Scioto",39145,75314,20112,229,26704.20,3040.60,0.0114
"US","Ohio","Seneca",39147,55178,12592,217,22820.69,3932.73,0.0172
"US","Ohio","Shelby",39149,48590,10947,173,22529.33,3560.40,0.0158
"US","Ohio","Stark",39151,370606,79121,1610,21349.09,4344.24,0.0203
"US","Ohio","Summit",39153,541013,111202,1605,20554.40,2966.66,0.0144
"US","Ohio","Trumbull",39155,197974,40946,871,20682.51,4399.57,0.0213
"US","Ohio","Tuscarawas",39157,91987,20344,467,22116.17,5076.80,0.0230
"US","Ohio","Unassigned",90039,-1,0,5,0.00,0.00,0.0000
