Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Oklahoma","Adair",40001,22194,7552,67,34027.21,3018.83,0.0089
"US","Oklahoma","Alfalfa",40003,5702,1691,10,29656.26,1753.77,0.0059
"US","Oklahoma","Atoka",40005,13757,3700,42,26895.40,3052.99,0.0114
"US","Oklahoma","Beaver",40007,5311,931,10,17529.66,1882.88,0.0107
"US","Oklahoma","Beckham",40009,21859,5733,90,26227.18,4117.30,0.0157
"US","Oklahoma","Blaine",40011,9429,2364,34,25071.59,3605.90,0.0144
"US","Oklahoma","Bryan",40013,47995,13247,122,27600.79,2541.93,0.0092
"US","Oklahoma","Caddo",40015,28762,8044,147,27967.46,5110.91,0.0183
"US","Oklahoma","Canadian",40017,148306,37985,347,25612.58,2339.76,0.0091
"US","Oklahoma","Carter",40019,48111,13288,209,27619.46,4344.12,0.0157
"US","Oklahoma","Cherokee",40021,48657,14115,134,29009.19,2753.97,0.0095
"US","Oklahoma","Choctaw",40023,14671,3952,54,26937.50,3680.73,0.0137
"US","Oklahoma","Cimarron",40025,2137,546,5,25549.84,2339.73,0.0092
"US","Oklahoma","Cleveland",40027,284014,76975,703,27102.54,2475.23,0.0091
"US","Oklahoma","Coal",40029,5495,1573,20,28626.02,3639.67,0.0127
"US","Oklahoma","Comanche",40031,120749,30785,347,25495.04,2873.73,0.0113
"US","Oklahoma","Cotton",40033,5666,1373,24,24232.26,4235.79,0.0175
"US","Oklahoma","Craig",40035,14141,4553,44,32197.16,3111.52,0.0097
"US","Oklahoma","Creek",40037,71522,17753,296,24821.73,4138.59,0.0167
"US","Oklahoma","Custer",40039,29003,7592,146,26176.60,5033.96,0.0192
"US","Oklahoma","Delaware",40041,43009,10741,184,24973.84,4278.17,0.0171
"US","Oklahoma","Dewey",40043,4890,1047,28,21411.04,5725.97,0.0267
"US","Oklahoma","Ellis",40045,3859,756,7,19590.57,1813.94,0.0093
"US","Oklahoma","Garfield",40047,61056,14558,239,23843.68,3914.44,0.0164
"US","Oklahoma","Garvin",40049,27710,6860,121,24756.41,4366.65,0.0176
"US","Oklahoma","Grady",40051,55834,13383,220,23969.27,3940.25,0.0164
"US","Oklahoma","Grant",40053,4333,1010,13,23309.49,3000.23,0.0129
"US","Oklahoma","Greer",40055,5711,1248,30,21852.57,5253.02,0.0240
"US","Oklahoma","Harmon",40057,2653,513,11,19336.60,4146.25,0.0214
"US","Oklahoma","Harper",40059,3688,693,11,18790.67,2982.65,0.0159
"US","Oklahoma","Haskell",40061,12627,2731,35,21628.26,2771.84,0.0128
"US","Oklahoma","Hughes",40063,13279,2493,50,18774.00,3765.34,0.0201
"US","Oklahoma","Jackson",40065,24529,6412,94,26140.49,3832.20,0.0147
"US","Oklahoma","Jefferson",40067,6002,1258,21,20959.68,3498.83,0.0167
"US","Oklahoma","Johnston",40069,11084,2917,49,26317.21,4420.79,0.0168
"US","Oklahoma","Kay",40071,43538,11791,189,27082.09,4341.04,0.0160
"US","Oklahoma","Kingfisher",40073,15764,3913,59,24822.38,3742.70,0.0151
"US","Oklahoma","Kiowa",40075,8708,1917,49,22014.24,5627.01,0.0256
"US","Oklahoma","Latimer",40077,10073,2229,31,22128.46,3077.53,0.0139
"US","Oklahoma","Le Flore",40079,49852,11988,98,24047.18,1965.82,0.0082
"US","Oklahoma","Lincoln",40081,34877,7561,120,21679.04,3440.66,0.0159
"US","Oklahoma","Logan",40083,48011,10394,143,21649.21,2978.48,0.0138
"US","Oklahoma","Love",40085,10253,2949,31,28762.31,3023.51,0.0105
"US","Oklahoma","Major",40093,7628,2414,36,31646.57,4719.45,0.0149
"US","Oklahoma","Marshall",40095,16931,4451,34,26289.06,2008.15,0.0076
"US","Oklahoma","Mayes",40097,41100,9953,144,24216.55,3503.65,0.0145
"US","Oklahoma","McClain",40087,40474,11313,117,27951.28,2890.74,0.0103
"US","Oklahoma","McCurtain",40089,32832,7861,148,23943.10,4507.80,0.0188
"US","Oklahoma","McIntosh",40091,19596,4797,111,24479.49,5664.42,0.0231
"US","Oklahoma","Murray",40099,14073,4082,62,29005.90,4405.60,0.0152
"US","Oklahoma","Muskogee",40101,67997,19525,298,28714.50,4382.55,0.0153
"US","Oklahoma","Noble",40103,11130,2911,33,26154.54,2964.96,0.0113
"US","Oklahoma","Nowata",40105,10076,2719,35,26984.91,3473.60,0.0129
"US","Oklahoma","Okfuskee",40107,11993,3473,54,28958.56,4502.63,0.0155
"US","Oklahoma","Oklahoma",40109,797434,188887,2120,23686.85,2658.53,0.0112
"US","Oklahoma","Okmulgee",40111,38465,9299,165,24175.22,4289.61,0.0177
"US","Oklahoma","Osage",40113,46963,10635,149,22645.49,3172.71,0.0140
"US","Oklahoma","Ottawa",40115,31127,8857,112,28454.40,3598.16,0.0126
"US","Oklahoma","Out of OK",80040,-1,0,0,0.00,0.00,0.0000
"US","Oklahoma","Pawnee",40117,16376,4009,74,24480.95,4518.81,0.0185
"US","Oklahoma","Payne",40119,81784,17694,138,21635.04,1687.37,0.0078
"US","Oklahoma","Pittsburg",40121,43653,10535,185,24133.51,4237.97,0.0176
"US","Oklahoma","Pontotoc",40123,38284,11489,116,30009.93,3029.99,0.0101
"US","Oklahoma","Pottawatomie",40125,72592,19992,244,27540.22,3361.25,0.0122
"US","Oklahoma","Pushmataha",40127,11095,2550,42,22983.33,3785.49,0.0165
"US","Oklahoma","Roger Mills",40129,3583,855,13,23862.68,3628.24,0.0152
"US","Oklahoma","Rogers",40131,92459,24781,339,26802.15,3666.49,0.0137
"US","Oklahoma","Seminole",40133,24258,5925,114,24424.93,4699.48,0.0192
"US","Oklahoma","Sequoyah",40135,41569,10251,95,24660.20,2285.36,0.0093
"US","Oklahoma","Stephens",40137,43143,10285,172,23839.33,3986.74,0.0167
"US","Oklahoma","Texas",40139,19983,5915,48,29600.16,2402.04,0.0081
