Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Pennsylvania","Adams",42001,103008,24301,344,23591.37,3339.55,0.0142
"US","Pennsylvania","Allegheny",42003,1216044,257864,3127,21205.15,2571.45,0.0121
"US","Pennsylvania","Armstrong",42005,64735,14959,325,23108.06,5020.47,0.0217
"US","Pennsylvania","Beaver",42007,163929,39298,694,23972.57,4233.54,0.0177
"US","Pennsylvania","Bedford",42009,47888,10729,261,22404.36,5450.22,0.0243
"US","Pennsylvania","Berks",42011,421163,100908,1543,23959.37,3663.66,0.0153
"US","Pennsylvania","Blair",42013,121829,29035,587,23832.59,4818.23,0.0202
"US","Pennsylvania","Bradford",42015,60322,14601,190,24205.10,3149.76,0.0130
"US","Pennsylvania","Bucks",42017,628270,120817,1801,19230.11,2866.60,0.0149
"US","Pennsylvania","Butler",42019,187853,43642,694,23232.00,3694.38,0.0159
"US","Pennsylvania","Cambria",42021,130191,33879,692,26022.54,5315.27,0.0204
"US","Pennsylvania","Cameron",42023,4447,801,19,18012.14,4272.54,0.0237
"US","Pennsylvania","Carbon",42025,64182,15613,277,24326.14,4315.85,0.0177
"US","Pennsylvania","Centre",42027,162385,34311,333,21129.41,2050.68,0.0097
"US","Pennsylvania","Chester",42029,524989,89370,1101,17023.21,2097.19,0.0123
"US","Pennsylvania","Clarion",42031,38438,8057,193,20961.03,5021.07,0.0240
"US","Pennsylvania","Clearfield",42033,79255,18722,314,23622.48,3961.90,0.0168
"US","Pennsylvania","Clinton",42035,38632,8846,121,22898.12,3132.12,0.0137
"US","Pennsylvania","Columbia",42037,64964,14664,228,22572.50,3509.64,0.0155
"US","Pennsylvania","Crawford",42039,84629,19459,297,22993.30,3509.44,0.0153
"US","Pennsylvania","Cumberland",42041,253370,49866,845,19681.10,3335.04,0.0169
"US","Pennsylvania","Dauphin",42043,278299,58210,905,20916.35,3251.90,0.0155
"US","Pennsylvania","Delaware",42045,566747,108062,1788,19067.06,3154.85,0.0165
"US","Pennsylvania","Elk",42047,29910,6981,94,23340.02,3142.76,0.0135
"US","Pennsylvania","Erie",42049,269728,55886,723,20719.39,2680.48,0.0129
"US","Pennsylvania","Fayette",42051,129274,30098,609,23282.33,4710.92,0.0202
"US","Pennsylvania","Forest",42053,7247,2203,34,30398.79,4691.60,0.0154
"US","Pennsylvania","Franklin",42055,155027,39670,652,25589.09,4205.72,0.0164
"US","Pennsylvania","Fulton",42057,14530,4004,63,27556.78,4335.86,0.0157
"US","Pennsylvania","Greene",42059,36232,8188,96,22598.81,2649.59,0.0117
"US","Pennsylvania","Huntingdon",42061,45144,11236,236,24889.24,5227.72,0.0210
"US","Pennsylvania","Indiana",42063,84073,16896,330,20096.82,3925.16,0.0195
"US","Pennsylvania","Jefferson",42065,43425,8736,210,20117.44,4835.92,0.0240
"US","Pennsylvania","Juniata",42067,24763,4677,170,18887.05,6865.08,0.0363
"US","Pennsylvania","Lackawanna",42069,209674,42169,707,20111.70,3371.90,0.0168
"US","Pennsylvania","Lancaster",42071,545724,119168,1804,21836.68,3305.70,0.0151
"US","Pennsylvania","Lawrence",42073,85512,18607,392,21759.52,4584.15,0.0211
"US","Pennsylvania","Lebanon",42075,141793,36092,486,25454.01,3427.53,0.0135
"US","Pennsylvania","Lehigh",42077,369318,88322,1204,23914.89,3260.06,0.0136
"US","Pennsylvania","Luzerne",42079,317416,71942,1270,22664.89,4001.06,0.0177
"US","Pennsylvania","Lycoming",42081,113299,27971,496,24687.77,4377.80,0.0177
"US","Pennsylvania","McKean",42083,40625,7947,131,19561.85,3224.62,0.0165
"US","Pennsylvania","Mercer",42085,109424,22983,479,21003.62,4377.47,0.0208
"US","Pennsylvania","Mifflin",42087,46138,12045,263,26106.46,5700.29,0.0218
"US","Pennsylvania","Monroe",42089,170271,36392,497,21372.99,2918.88,0.0137
"US","Pennsylvania","Montgomery",42091,830915,148286,2241,17846.11,2697.03,0.0151
"US","Pennsylvania","Montour",42093,18230,4384,87,24048.27,4772.35,0.0198
"US","Pennsylvania","Northampton",42095,305285,78288,1048,25644.23,3432.86,0.0134
"US","Pennsylvania","Northumberland",42097,90843,22393,504,24650.22,5548.03,0.0225
"US","Pennsylvania","Perry",42099,46272,8687,175,18773.77,3781.98,0.0201
"US","Pennsylvania","Philadelphia",42101,1584064,301484,4885,19032.31,3083.84,0.0162
"US","Pennsylvania","Pike",42103,55809,9677,91,17339.50,1630.56,0.0094
"US","Pennsylvania","Potter",42105,16526,3078,89,18625.20,5385.45,0.0289
"US","Pennsylvania","Schuylkill",42107,141359,33797,652,23908.63,4612.37,0.0193
"US","Pennsylvania","Snyder",42109,40372,7960,148,19716.64,3665.91,0.0186
"US","Pennsylvania","Somerset",42111,73447,18384,387,25030.29,5269.11,0.0211
"US","Pennsylvania","Sullivan",42113,6066,1032,33,17012.86,5440.16,0.0320
"US","Pennsylvania","Susquehanna",42115,40328,7503,103,18604.94,2554.06,0.0137
"US","Pennsylvania","Tioga",42117,40591,7757,187,19110.15,4606.93,0.0241
"US","Pennsylvania","Unassigned",90042,-1,0,0,0.00,0.00,0.0000
"US","Pennsylvania","Union",42119,44923,11404,145,25385.66,3227.75,0.0127
"US","Pennsylvania","Venango",42121,50668,11067,227,21842.19,4480.15,0.0205
"US","Pennsylvania","Warren",42123,39191,7127,204,18185.30,5205.28,0.0286
"US","Pennsylvania","Washington",42125,206865,49748,609,24048.53,2943.95,0.0122
"US","Pennsylvania","Wayne",42127,51361,9829,159,19137.09,3095.73,0.0162
"US","Pennsylvania","Westmoreland",42129,348899,78102,1305,22385.27,3740.34,0.0167
"US","Pennsylvania","Wyoming",42131,26793,4944,97,18452.58,3620.35,0.0196
"US","Pennsylvania","York",42133,449058,116728,1411,25993.97,3142.13,0.0121
