Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Puerto Rico","Adjuntas",72001,17363,2048,0,11795.20,0.00,0.0000
"US","Puerto Rico","Aguada",72003,36694,5822,0,15866.35,0.00,0.0000
"US","Puerto Rico","Aguadilla",72005,50265,6736,0,13400.97,0.00,0.0000
"US","Puerto Rico","Aguas Buenas",72007,24814,3766,0,15176.92,0.00,0.0000
"US","Puerto Rico","Aibonito",72009,22108,3374,0,15261.44,0.00,0.0000
"US","Puerto Rico","Anasco",72011,26161,3314,0,12667.71,0.00,0.0000
"US","Puerto Rico","Arecibo",72013,81966,11860,0,14469.41,0.00,0.0000
"US","Puerto Rico","Arroyo",72015,17237,1726,0,10013.34,0.00,0.0000
"US","Puerto Rico","Barceloneta",72017,23727,3036,0,12795.55,0.00,0.0000
"US","Puerto Rico","Barranquitas",72019,27724,4396,0,15856.30,0.00,0.0000
"US","Puerto Rico","Bayamon",72021,169269,31950,0,18875.28,0.00,0.0000
"US","Puerto Rico","Cabo Rojo",72023,47515,4742,0,9980.01,0.00,0.0000
"US","Puerto Rico","Caguas",72025,124606,20272,0,16268.88,0.00,0.0000
"US","Puerto Rico","Camuy",72027,30503,4443,0,14565.78,0.00,0.0000
"US","Puerto Rico","Canovanas",72029,44674,6020,0,13475.40,0.00,0.0000
"US","Puerto Rico","Carolina",72031,146983,26249,0,17858.53,0.00,0.0000
"US","Puerto Rico","Catano",72033,23121,3907,0,16898.06,0.00,0.0000
"US","Puerto Rico","Cayey",72035,42409,5447,0,12843.97,0.00,0.0000
"US","Puerto Rico","Ceiba",72037,10904,1289,0,11821.35,0.00,0.0000
"US","Puerto Rico","Ciales",72039,15807,2371,0,14999.68,0.00,0.0000
"US","Puerto Rico","Cidra",72041,38307,5266,0,13746.83,0.00,0.0000
"US","Puerto Rico","Coamo",72043,38336,4235,0,11047.06,0.00,0.0000
"US","Puerto Rico","Comerio",72045,18648,2644,0,14178.46,0.00,0.0000
"US","Puerto Rico","Corozal",72047,32292,5861,0,18150.01,0.00,0.0000
"US","Puerto Rico","Culebra",72049,1714,144,0,8401.40,0.00,0.0000
"US","Puerto Rico","Dorado",72051,36140,6291,0,17407.30,0.00,0.0000
"US","Puerto Rico","Fajardo",72053,29453,4299,0,14596.14,0.00,0.0000
"US","Puerto Rico","Florida",72054,11317,2278,0,20129.01,0.00,0.0000
"US","Puerto Rico","Guanica",72055,15383,1357,0,8821.43,0.00,0.0000
"US","Puerto Rico","Guayama",72057,39465,4327,0,10964.15,0.00,0.0000
"US","Puerto Rico","Guayanilla",72059,17622,1874,0,10634.43,0.00,0.0000
"US","Puerto Rico","Guaynabo",72061,83728,14174,0,16928.63,0.00,0.0000
"US","Puerto Rico","Gurabo",72063,47093,6826,0,14494.72,0.00,0.0000
"US","Puerto Rico","Hatillo",72065,39218,4872,0,12422.87,0.00,0.0000
"US","Puerto Rico","Hormigueros",72067,15518,1687,0,10871.25,0.00,0.0000
"US","Puerto Rico","Humacao",72069,50653,7255,0,14322.94,0.00,0.0000
"US","Puerto Rico","Isabela",72071,40423,6227,0,15404.60,0.00,0.0000
"US","Puerto Rico","Jayuya",72073,13891,1865,0,13425.96,0.00,0.0000
"US","Puerto Rico","Juana Diaz",72075,44679,5461,0,12222.74,0.00,0.0000
"US","Puerto Rico","Juncos",72077,38155,5841,0,15308.61,0.00,0.0000
"US","Puerto Rico","Lajas",72079,22010,2344,0,10649.70,0.00,0.0000
"US","Puerto Rico","Lares",72081,24275,3457,0,14240.99,0.00,0.0000
"US","Puerto Rico","Las Marias",72083,7927,1010,0,12741.26,0.00,0.0000
"US","Puerto Rico","Las Piedras",72085,37007,4988,0,13478.53,0.00,0.0000
"US","Puerto Rico","Loiza",72087,24553,3045,0,12401.74,0.00,0.0000
"US","Puerto Rico","Luquillo",72089,17665,2356,0,13337.11,0.00,0.0000
"US","Puerto Rico","Manati",72091,37287,5691,0,15262.69,0.00,0.0000
"US","Puerto Rico","Maricao",72093,5429,447,0,8233.56,0.00,0.0000
"US","Puerto Rico","Maunabo",72095,10321,1284,0,12440.65,0.00,0.0000
"US","Puerto Rico","Mayaguez",72097,71530,8986,0,12562.56,0.00,0.0000
"US","Puerto Rico","Moca",72099,34891,5467,0,15668.80,0.00,0.0000
"US","Puerto Rico","Morovis",72101,30335,4309,0,14204.71,0.00,0.0000
"US","Puerto Rico","Naguabo",72103,25761,3132,0,12157.91,0.00,0.0000
"US","Puerto Rico","Naranjito",72105,27349,4790,0,17514.35,0.00,0.0000
"US","Puerto Rico","Orocovis",72107,20220,2694,0,13323.44,0.00,0.0000
"US","Puerto Rico","Out of PR",72888,-1,644,0,0.00,0.00,0.0000
"US","Puerto Rico","Patillas",72109,16210,1876,0,11573.10,0.00,0.0000
"US","Puerto Rico","Penuelas",72111,19249,2136,0,11096.68,0.00,0.0000
"US","Puerto Rico","Ponce",72113,131881,16464,0,12483.98,0.00,0.0000
"US","Puerto Rico","Quebradillas",72115,22918,3456,0,15079.85,0.00,0.0000
"US","Puerto Rico","Rincon",72117,13656,2030,0,14865.26,0.00,0.0000
"US","Puerto Rico","Rio Grande",72119,48024,7013,0,14603.12,0.00,0.0000
"US","Puerto Rico","Sabana Grande",72121,21712,2101,0,9676.68,0.00,0.0000
"US","Puerto Rico","Salinas",72123,27128,3184,0,11736.95,0.00,0.0000
"US","Puerto Rico","San German",72125,30227,3282,0,10857.84,0.00,0.0000
"US","Puerto Rico","San Juan",72127,318441,57052,0,17916.03,0.00,0.0000
"US","Puerto Rico","San Lorenzo",72129,35989,5088,0,14137.65,0.00,0.0000
"US","Puerto Rico","San Sebastian",72131,35528,5845,0,16451.81,0.00,0.0000
"US","Puerto Rico","Santa Isabel",72133,21209,2381,0,11226.37,0.00,0.0000
