Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","South Carolina","Abbeville",45001,24526,6515,63,26563.65,2568.70,0.0097
"US","South Carolina","Aiken",45003,170872,40272,408,23568.52,2387.75,0.0101
"US","South Carolina","Allendale",45005,8688,2044,23,23526.70,2647.33,0.0113
"US","South Carolina","Anderson",45007,202557,57084,905,28181.70,4467.88,0.0159
"US","South Carolina","Bamberg",45009,14066,3368,70,23944.26,4976.54,0.0208
"US","South Carolina","Barnwell",45011,20866,5734,92,27480.11,4409.09,0.0160
"US","South Carolina","Beaufort",45013,192122,42182,346,21955.84,1800.94,0.0082
"US","South Carolina","Berkeley",45015,227907,50817,408,22297.25,1790.20,0.0080
"US","South Carolina","Calhoun",45017,14553,2709,55,18614.72,3779.29,0.0203
"US","South Carolina","Charleston",45019,411406,109962,860,26728.34,2090.39,0.0078
"US","South Carolina","Cherokee",45021,57300,14224,298,24823.73,5200.70,0.0210
"US","South Carolina","Chester",45023,32244,9892,133,30678.58,4124.80,0.0134
"US","South Carolina","Chesterfield",45025,45649,11540,175,25279.85,3833.60,0.0152
"US","South Carolina","Clarendon",45027,33745,8486,149,25147.43,4415.47,0.0176
"US","South Carolina","Colleton",45029,37676,8678,209,23033.23,5547.30,0.0241
"US","South Carolina","Darlington",45031,66618,18642,286,27983.43,4293.13,0.0153
"US","South Carolina","Dillon",45033,30479,9590,135,31464.29,4429.28,0.0141
"US","South Carolina","Dorchester",45035,162809,55106,448,33847.02,2751.69,0.0081
"US","South Carolina","Edgefield",45037,27260,6529,65,23950.84,2384.45,0.0100
"US","South Carolina","Fairfield",45039,22347,5853,101,26191.44,4519.62,0.0173
"US","South Carolina","Florence",45041,138293,41124,597,29736.86,4316.92,0.0145
"US","South Carolina","Georgetown",45043,62680,15577,212,24851.63,3382.26,0.0136
"US","South Carolina","Greenville",45045,523542,170256,1781,32520.03,3401.83,0.0105
"US","South Carolina","Greenwood",45047,70811,21999,274,31067.21,3869.46,0.0125
"US","South Carolina","Hampton",45049,19221,4958,78,25794.70,4058.06,0.0157
"US","South Carolina","Horry",45051,354081,94630,1067,26725.52,3013.43,0.0113
"US","South Carolina","Jasper",45053,30072,5822,90,19360.20,2992.82,0.0155
"US","South Carolina","Kershaw",45055,66551,20771,237,31210.65,3561.18,0.0114
"US","South Carolina","Lancaster",45057,98012,24389,265,24883.69,2703.75,0.0109
"US","South Carolina","Laurens",45059,67493,18300,272,27113.92,4030.05,0.0149
"US","South Carolina","Lee",45061,16828,4178,89,24827.67,5288.80,0.0213
"US","South Carolina","Lexington",45063,298750,93955,799,31449.37,2674.48,0.0085
"US","South Carolina","Marion",45067,30657,8441,157,27533.68,5121.18,0.0186
"US","South Carolina","Marlboro",45069,26118,7670,96,29366.72,3675.63,0.0125
"US","South Carolina","McCormick",45065,9463,2178,36,23015.96,3804.29,0.0165
"US","South Carolina","Newberry",45071,38439,12965,168,33728.77,4370.56,0.0130
"US","South Carolina","Oconee",45073,79546,23788,300,29904.71,3771.40,0.0126
"US","South Carolina","Orangeburg",45075,86175,22980,379,26666.67,4398.03,0.0165
"US","South Carolina","Pickens",45077,126884,45177,563,35604.96,4437.12,0.0125
"US","South Carolina","Richland",45079,415759,118828,870,28580.98,2092.56,0.0073
"US","South Carolina","Saluda",45081,20473,3859,68,18849.22,3321.45,0.0176
"US","South Carolina","Spartanburg",45083,319785,93113,1412,29117.38,4415.47,0.0152
"US","South Carolina","Sumter",45085,106720,27174,357,25462.89,3345.20,0.0131
"US","South Carolina","Unassigned",90045,-1,0,0,0.00,0.00,0.0000
"US","South Carolina","Union",45087,27315,7524,137,27545.30,5015.56,0.0182
"US","South Carolina","Williamsburg",45089,30368,8412,137,27700.21,4511.33,0.0163
"US","South Carolina","York",45091,280979,76100,574,27083.87,2042.86,0.0075
