Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","South Dakota","Aurora",46003,2751,756,16,27480.92,5816.07,0.0212
"US","South Dakota","Beadle",46005,18452,4533,55,24566.44,2980.71,0.0121
"US","South Dakota","Bennett",46007,3365,767,12,22793.46,3566.12,0.0156
"US","South Dakota","Bon Homme",46009,6901,2282,37,33067.67,5361.54,0.0162
"US","South Dakota","Brookings",46011,35077,8033,48,22901.05,1368.42,0.0060
"US","South Dakota","Brown",46013,38839,10078,114,25948.14,2935.19,0.0113
"US","South Dakota","Brule",46015,5297,1400,18,26430.05,3398.15,0.0129
"US","South Dakota","Buffalo",46017,1961,617,17,31463.54,8669.05,0.0276
"US","South Dakota","Butte",46019,10429,2695,44,25841.40,4219.00,0.0163
"US","South Dakota","Campbell",46021,1376,259,7,18822.67,5087.21,0.0270
"US","South Dakota","Charles Mix",46023,9292,2902,32,31231.17,3443.82,0.0110
"US","South Dakota","Clark",46025,3736,773,8,20690.58,2141.33,0.0103
"US","South Dakota","Clay",46027,14070,3471,20,24669.51,1421.46,0.0058
"US","South Dakota","Codington",46029,28009,8272,95,29533.36,3391.77,0.0115
"US","South Dakota","Corson",46031,4085,1050,16,25703.79,3916.77,0.0152
"US","South Dakota","Custer",46033,8972,1982,22,22090.95,2452.07,0.0111
"US","South Dakota","Davison",46035,19775,5808,77,29370.42,3893.81,0.0133
"US","South Dakota","Day",46037,5424,1258,33,23193.22,6084.07,0.0262
"US","South Dakota","Deuel",46039,4351,1025,12,23557.80,2757.99,0.0117
"US","South Dakota","Dewey",46041,5892,2427,38,41191.45,6449.42,0.0157
"US","South Dakota","Douglas",46043,2921,680,16,23279.70,5477.58,0.0235
"US","South Dakota","Edmunds",46045,3828,923,16,24111.81,4179.73,0.0173
"US","South Dakota","Fall River",46047,6713,1779,39,26500.82,5809.62,0.0219
"US","South Dakota","Faulk",46049,2298,544,16,23672.76,6962.58,0.0294
"US","South Dakota","Grant",46051,7052,2022,49,28672.72,6948.38,0.0242
"US","South Dakota","Gregory",46053,4185,1052,33,25137.40,7885.30,0.0314
"US","South Dakota","Haakon",46055,1899,446,11,23486.05,5792.52,0.0247
"US","South Dakota","Hamlin",46057,6164,1474,41,23913.04,6651.52,0.0278
"US","South Dakota","Hand",46059,3191,557,8,17455.34,2507.05,0.0144
"US","South Dakota","Hanson",46061,3453,650,6,18824.21,1737.62,0.0092
"US","South Dakota","Harding",46063,1298,200,3,15408.32,2311.25,0.0150
"US","South Dakota","Hughes",46065,17526,4236,57,24169.80,3252.31,0.0135
"US","South Dakota","Hutchinson",46067,7291,1720,33,23590.73,4526.13,0.0192
"US","South Dakota","Hyde",46069,1301,302,6,23212.91,4611.84,0.0199
"US","South Dakota","Jackson",46071,3344,621,21,18570.57,6279.90,0.0338
"US","South Dakota","Jerauld",46073,2012,404,19,20079.52,9443.34,0.0470
"US","South Dakota","Jones",46075,903,173,2,19158.36,2214.84,0.0116
"US","South Dakota","Kingsbury",46077,4939,1294,20,26199.64,4049.40,0.0155
"US","South Dakota","Lake",46079,12797,2306,27,18019.85,2109.87,0.0117
"US","South Dakota","Lawrence",46081,25844,6475,80,25054.17,3095.50,0.0124
"US","South Dakota","Lincoln",46083,61128,15372,93,25147.23,1521.40,0.0060
"US","South Dakota","Lyman",46085,3781,1193,12,31552.50,3173.76,0.0101
"US","South Dakota","Marshall",46091,4935,767,12,15542.05,2431.61,0.0156
"US","South Dakota","McCook",46087,5586,1327,30,23755.82,5370.57,0.0226
"US","South Dakota","McPherson",46089,2379,419,9,17612.44,3783.10,0.0215
"US","South Dakota","Meade",46093,28331,6860,59,24213.76,2082.52,0.0086
"US","South Dakota","Mellette",46095,2061,514,5,24939.35,2426.01,0.0097
"US","South Dakota","Miner",46097,2216,452,12,20397.11,5415.16,0.0265
"US","South Dakota","Minnehaha",46099,193134,56550,488,29280.19,2526.74,0.0086
"US","South Dakota","Moody",46101,6575,1369,27,20821.29,4106.46,0.0197
"US","South Dakota","Oglala Lakota",46102,14177,3821,60,26952.11,4232.21,0.0157
"US","South Dakota","Pennington",46103,113775,32199,322,28300.59,2830.15,0.0100
"US","South Dakota","Perkins",46105,2865,677,17,23630.02,5933.68,0.0251
"US","South Dakota","Potter",46107,2153,687,7,31908.96,3251.28,0.0102
"US","South Dakota","Roberts",46109,10394,2371,47,22811.24,4521.84,0.0198
"US","South Dakota","Sanborn",46111,2344,564,6,24061.43,2559.73,0.0106
"US","South Dakota","Spink",46115,6375,1388,33,21772.55,5176.47,0.0238
"US","South Dakota","Stanley",46117,3098,630,6,20335.70,1936.73,0.0095
"US","South Dakota","Sully",46119,1391,245,3,17613.23,2156.72,0.0122
"US","South Dakota","Todd",46121,10176,2844,45,27948.11,4422.17,0.0158
"US","South Dakota","Tripp",46123,5440,1364,22,25073.53,4044.12,0.0161
"US","South Dakota","Turner",46125,8384,1944,62,23187.02,7395.04,0.0319
"US","South Dakota","Unassigned",90046,-1,0,0,0.00,0.00,0.0000
"US","South Dakota","Union",46127,15932,3961,49,24861.91,3075.57,0.0124
"US","South Dakota","Walworth",46129,5434,1295,23,23831.43,4232.61,0.0178
"US","South Dakota","Yankton",46135,22814,5858,51,25677.22,2235.47,0.0087
"US","South Dakota","Ziebach",46137,2756,526,11,19085.63,3991.29,0.0209
