Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Tennessee","Anderson",47001,76978,21010,297,27293.51,3858.25,0.0141
"US","Tennessee","Bedford",47003,49713,14560,212,29288.11,4264.48,0.0146
"US","Tennessee","Benton",47005,16160,4263,84,26379.95,5198.02,0.0197
"US","Tennessee","Bledsoe",47007,15064,4513,43,29958.84,2854.49,0.0095
"US","Tennessee","Blount",47009,133088,37713,367,28336.89,2757.57,0.0097
"US","Tennessee","Bradley",47011,108110,32237,363,29818.70,3357.69,0.0113
"US","Tennessee","Campbell",47013,39842,11231,139,28188.85,3488.78,0.0124
"US","Tennessee","Cannon",47015,14678,4048,52,27578.69,3542.72,0.0128
"US","Tennessee","Carroll",47017,27767,8601,137,30975.62,4933.91,0.0159
"US","Tennessee","Carter",47019,56391,15329,295,27183.42,5231.33,0.0192
"US","Tennessee","Cheatham",47021,40667,10568,108,25986.67,2655.72,0.0102
"US","Tennessee","Chester",47023,17297,5519,87,31907.27,5029.77,0.0158
"US","Tennessee","Claiborne",47025,31959,8376,150,26208.58,4693.51,0.0179
"US","Tennessee","Clay",47027,7614,2158,45,28342.53,5910.17,0.0209
"US","Tennessee","Cocke",47029,36004,10684,191,29674.48,5304.97,0.0179
"US","Tennessee","Coffee",47031,56520,16346,233,28920.74,4122.43,0.0143
"US","Tennessee","Crockett",47033,14229,4865,76,34190.74,5341.20,0.0156
"US","Tennessee","Cumberland",47035,60520,15460,294,25545.27,4857.90,0.0190
"US","Tennessee","Davidson",47037,694143,184715,1518,26610.51,2186.87,0.0082
"US","Tennessee","DeKalb",47041,20489,6116,93,29850.16,4539.02,0.0152
"US","Tennessee","Decatur",47039,11663,3537,55,30326.67,4715.77,0.0155
"US","Tennessee","Dickson",47043,53948,15290,225,28342.11,4170.68,0.0147
"US","Tennessee","Dyer",47045,37159,12168,179,32745.77,4817.14,0.0147
"US","Tennessee","Fayette",47047,41132,11149,151,27105.42,3671.11,0.0135
"US","Tennessee","Fentress",47049,18523,5429,109,29309.51,5884.58,0.0201
"US","Tennessee","Franklin",47051,42207,12371,155,29310.30,3672.38,0.0125
"US","Tennessee","Gibson",47053,49133,16696,232,33981.23,4721.88,0.0139
"US","Tennessee","Giles",47055,29464,9145,161,31037.88,5464.30,0.0176
"US","Tennessee","Grainger",47057,23319,6470,98,27745.62,4202.58,0.0151
"US","Tennessee","Greene",47059,69069,20992,327,30392.80,4734.40,0.0156
"US","Tennessee","Grundy",47061,13427,3853,67,28695.91,4989.95,0.0174
"US","Tennessee","Hamblen",47063,64934,19083,321,29388.30,4943.48,0.0168
"US","Tennessee","Hamilton",47065,367804,94849,1013,25787.92,2754.18,0.0107
"US","Tennessee","Hancock",47067,6620,1878,29,28368.58,4380.66,0.0154
"US","Tennessee","Hardeman",47069,25050,7163,109,28594.81,4351.30,0.0152
"US","Tennessee","Hardin",47071,25652,8259,121,32196.32,4716.98,0.0147
"US","Tennessee","Hawkins",47073,56786,15642,266,27545.52,4684.25,0.0170
"US","Tennessee","Haywood",47075,17304,5993,88,34633.61,5085.53,0.0147
"US","Tennessee","Henderson",47077,28116,8527,129,30327.93,4588.13,0.0151
"US","Tennessee","Henry",47079,32345,7774,137,24034.63,4235.59,0.0176
"US","Tennessee","Hickman",47081,25178,6602,100,26221.30,3971.72,0.0151
"US","Tennessee","Houston",47083,8201,2536,56,30923.06,6828.44,0.0221
"US","Tennessee","Humphreys",47085,18582,4624,63,24884.30,3390.38,0.0136
"US","Tennessee","Jackson",47087,11785,3059,52,25956.72,4412.39,0.0170
"US","Tennessee","Jefferson",47089,54495,15031,238,27582.35,4367.37,0.0158
"US","Tennessee","Johnson",47091,17788,4888,75,27479.20,4216.33,0.0153
"US","Tennessee","Knox",47093,470312,121943,1196,25928.11,2542.99,0.0098
"US","Tennessee","Lake",47095,7016,2614,36,37257.70,5131.13,0.0138
"US","Tennessee","Lauderdale",47097,25632,7515,89,29318.82,3472.22,0.0118
"US","Tennessee","Lawrence",47099,44142,13825,170,31319.38,3851.21,0.0123
"US","Tennessee","Lewis",47101,12267,3460,50,28205.76,4075.98,0.0145
"US","Tennessee","Lincoln",47103,34366,9688,138,28190.65,4015.60,0.0142
"US","Tennessee","Loudon",47105,54068,13879,170,25669.53,3144.19,0.0122
"US","Tennessee","Macon",47111,24602,8138,133,33078.61,5406.06,0.0163
"US","Tennessee","Madison",47113,97984,28355,387,28938.40,3949.62,0.0136
"US","Tennessee","Marion",47115,28907,8493,118,29380.43,4082.06,0.0139
"US","Tennessee","Marshall",47117,34375,10121,110,29442.91,3200.00,0.0109
"US","Tennessee","Maury",47119,96387,28051,294,29102.47,3050.20,0.0105
"US","Tennessee","McMinn",47107,53794,16183,218,30083.28,4052.50,0.0135
"US","Tennessee","McNairy",47109,25693,7097,96,27622.31,3736.43,0.0135
"US","Tennessee","Meigs",47121,12422,3254,52,26195.46,4186.12,0.0160
"US","Tennessee","Monroe",47123,46545,14006,206,30091.31,4425.82,0.0147
"US","Tennessee","Montgomery",47125,208993,47991,514,22962.97,2459.41,0.0107
"US","Tennessee","Moore",47127,6488,2165,36,33369.30,5548.71,0.0166
"US","Tennessee","Morgan",47129,21403,5761,72,26916.79,3364.01,0.0125
"US","Tennessee","Obion",47131,30068,10443,161,34731.28,5354.53,0.0154
"US","Tennessee","Out of TN",80047,-1,47801,245,0.00,0.00,0.0051
"US","Tennessee","Overton",47133,22241,6928,118,31149.68,5305.52,0.0170
"US","Tennessee","Perry",47135,8076,2233,43,27649.83,5324.42,0.0193
"US","Tennessee","Pickett",47137,5047,1704,30,33762.63,5944.13,0.0176
"US","Tennessee","Polk",47139,16831,4493,53,26694.79,3148.95,0.0118
"US","Tennessee","Putnam",47141,80245,24123,275,30061.69,3427.00,0.0114
"US","Tennessee","Rhea",47143,33167,9685,139,29200.71,4190.91,0.0144
"US","Tennessee","Roane",47145,53382,15156,208,28391.59,3896.44,0.0137
"US","Tennessee","Robertson",47147,71813,21025,266,29277.43,3704.06,0.0127
"US","Tennessee","Rutherford",47149,332285,92926,819,27965.75,2464.75,0.0088
"US","Tennessee","Scott",47151,22068,8418,101,38145.73,4576.76,0.0120
"US","Tennessee","Sequatchie",47153,15026,4066,63,27059.76,4192.73,0.0155
"US","Tennessee","Sevier",47155,98250,29141,371,29660.05,3776.08,0.0127
"US","Tennessee","Shelby",47157,937166,229468,2986,24485.31,3186.20,0.0130
"US","Tennessee","Smith",47159,20157,5913,72,29334.72,3571.96,0.0122
"US","Tennessee","Stewart",47161,13714,3131,47,22830.68,3427.15,0.0150
"US","Tennessee","Sullivan",47163,158348,42914,609,27101.07,3845.96,0.0142
"US","Tennessee","Sumner",47165,191283,51529,651,26938.62,3403.33,0.0126
"US","Tennessee","Tipton",47167,61599,17205,195,27930.65,3165.64,0.0113
"US","Tennessee","Trousdale",47169,11284,4100,43,36334.63,3810.71,0.0105
"US","Tennessee","Unassigned",90047,-1,66973,611,0.00,0.00,0.0091
"US","Tennessee","Unicoi",47171,17883,4774,87,26695.74,4864.96,0.0182
"US","Tennessee","Union",47173,19972,5106,69,25565.79,3454.84,0.0135
"US","Tennessee","Van Buren",47175,5871,1779,45,30301.48,7664.79,0.0253
"US","Tennessee","Warren",47177,41277,12571,159,30455.22,3852.02,0.0126
"US","Tennessee","Washington",47179,129374,35010,437,27061.08,3377.80,0.0125
"US","Tennessee","Wayne",47181,16672,5505,53,33019.43,3178.98,0.0096
"US","Tennessee","Weakley",47183,33328,9238,120,27718.43,3600.58,0.0130
"US","Tennessee","White",47185,27345,7957,121,29098.56,4424.94,0.0152
"US","Tennessee","Williamson",47187,238412,60023,368,25176.17,1543.55,0.0061
"US","Tennessee","Wilson",47189,144657,40404,449,27930.90,3103.89,0.0111
"US","Tennessee","Out-of-state",0,-1,61,0,0.00,0.00,0.0000
"US","Tennessee","Unknown",0,-1,22,0,0.00,0.00,0.0000
