Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Texas","Anderson",48001,57735,9440,224,16350.57,3879.80,0.0237
"US","Texas","Andrews",48003,18704,3776,70,20188.20,3742.51,0.0185
"US","Texas","Angelina",48005,86715,15185,458,17511.39,5281.67,0.0302
"US","Texas","Aransas",48007,23510,3931,74,16720.54,3147.60,0.0188
"US","Texas","Archer",48009,8553,2075,26,24260.49,3039.87,0.0125
"US","Texas","Armstrong",48011,1887,491,8,26020.14,4239.53,0.0163
"US","Texas","Atascosa",48013,51153,13016,223,25445.23,4359.47,0.0171
"US","Texas","Austin",48015,30032,5396,68,17967.50,2264.25,0.0126
"US","Texas","Bailey",48017,7000,1357,37,19385.71,5285.71,0.0273
"US","Texas","Bandera",48019,23112,3481,72,15061.44,3115.26,0.0207
"US","Texas","Bastrop",48021,88723,21433,216,24157.21,2434.54,0.0101
"US","Texas","Baylor",48023,3509,796,31,22684.53,8834.43,0.0389
"US","Texas","Bee",48025,32565,8025,147,24643.02,4514.05,0.0183
"US","Texas","Bell",48027,362924,65730,823,18111.23,2267.69,0.0125
"US","Texas","Bexar",48029,2003554,537356,5740,26820.14,2864.91,0.0107
"US","Texas","Blanco",48031,11930,2461,32,20628.67,2682.31,0.0130
"US","Texas","Borden",48033,653,94,2,14395.10,3062.79,0.0213
"US","Texas","Bosque",48035,18685,3959,65,21188.12,3478.73,0.0164
"US","Texas","Bowie",48037,93245,19102,384,20485.82,4118.18,0.0201
"US","Texas","Brazoria",48039,374264,91925,951,24561.54,2540.99,0.0103
"US","Texas","Brazos",48041,229211,59214,391,25833.84,1705.85,0.0066
"US","Texas","Brewster",48043,9203,1032,25,11213.73,2716.51,0.0242
"US","Texas","Briscoe",48045,1545,437,8,28284.79,5177.99,0.0183
"US","Texas","Brooks",48047,7093,1562,50,22021.71,7049.20,0.0320
"US","Texas","Brown",48049,37864,10289,209,27173.57,5519.75,0.0203
"US","Texas","Burleson",48051,18443,4898,64,26557.50,3470.15,0.0131
"US","Texas","Burnet",48053,48154,10562,151,21933.80,3135.77,0.0143
