Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Utah","Bear River",0,186818,50850,218,27219.00,1166.91,0.0043
"US","Utah","Central Utah",0,81954,20096,148,24521.07,1805.89,0.0074
"US","Utah","Davis",49011,355481,98634,362,27746.63,1018.34,0.0037
"US","Utah","Salt Lake",49035,1160437,336163,1510,28968.66,1301.23,0.0045
"US","Utah","San Juan",49037,15307,3885,47,25380.54,3070.49,0.0121
"US","Utah","Southeast Utah",0,40229,9840,70,24459.97,1740.04,0.0071
"US","Utah","Southwest Utah",0,252042,62570,579,24825.23,2297.24,0.0093
"US","Utah","Summit",49043,42145,13244,22,31424.84,522.01,0.0017
"US","Utah","Tooele",49045,72258,20974,89,29026.54,1231.70,0.0042
"US","Utah","TriCounty",0,56622,12514,91,22100.95,1607.15,0.0073
"US","Utah","Unassigned",90049,-1,3553,5,0.00,0.00,0.0014
"US","Utah","Utah",49049,636235,199387,736,31338.58,1156.81,0.0037
"US","Utah","Wasatch",49051,34091,10548,33,30940.72,968.00,0.0031
"US","Utah","Weber-Morgan",0,272337,72727,405,26704.78,1487.13,0.0056
"US","Utah","Cache",49005,-1,37,0,0.00,0.00,0.0000
"US","Utah","Box Elder",49003,-1,47,0,0.00,0.00,0.0000
"US","Utah","Beaver",49001,-1,0,0,0.00,0.00,0.0000
"US","Utah","Carbon",49007,-1,2,0,0.00,0.00,0.0000
"US","Utah","Daggett",49009,-1,0,0,0.00,0.00,0.0000
"US","Utah","Duchesne",49013,-1,3,0,0.00,0.00,0.0000
"US","Utah","Emery",49015,-1,3,0,0.00,0.00,0.0000
"US","Utah","Garfield",49017,-1,1,0,0.00,0.00,0.0000
"US","Utah","Grand",49019,-1,1,0,0.00,0.00,0.0000
"US","Utah","Iron",49021,-1,15,0,0.00,0.00,0.0000
"US","Utah","Juab",49023,-1,0,0,0.00,0.00,0.0000
"US","Utah","Kane",49025,-1,3,0,0.00,0.00,0.0000
"US","Utah","Millard",49027,-1,0,0,0.00,0.00,0.0000
"US","Utah","Morgan",49029,-1,0,0,0.00,0.00,0.0000
"US","Utah","Piute",49031,-1,0,0,0.00,0.00,0.0000
"US","Utah","Rich",49033,-1,0,0,0.00,0.00,0.0000
"US","Utah","Sanpete",49039,-1,0,0,0.00,0.00,0.0000
"US","Utah","Sevier",49041,-1,0,0,0.00,0.00,0.0000
"US","Utah","Uintah",49047,-1,6,0,0.00,0.00,0.0000
"US","Utah","Washington",49053,-1,73,1,0.00,0.00,0.0137
"US","Utah","Wayne",49055,-1,0,0,0.00,0.00,0.0000
"US","Utah","Weber",49057,-1,112,1,0.00,0.00,0.0089
