Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Vermont","Addison",50001,36777,3892,14,10582.70,380.67,0.0036
"US","Vermont","Bennington",50003,35470,8341,59,23515.65,1663.38,0.0071
"US","Vermont","Caledonia",50005,29993,4417,23,14726.77,766.85,0.0052
"US","Vermont","Chittenden",50007,163774,25125,154,15341.26,940.32,0.0061
"US","Vermont","Essex",50009,6163,1081,3,17540.16,486.78,0.0028
"US","Vermont","Franklin",50011,49401,8185,60,16568.49,1214.55,0.0073
"US","Vermont","Grand Isle",50013,7235,854,4,11803.73,552.87,0.0047
"US","Vermont","Lamoille",50015,25362,3176,15,12522.67,591.44,0.0047
"US","Vermont","Orange",50017,28892,3157,11,10926.90,380.73,0.0035
"US","Vermont","Orleans",50019,27037,4941,33,18274.96,1220.55,0.0067
"US","Vermont","Rutland",50021,58191,10957,58,18829.37,996.72,0.0053
"US","Vermont","Unassigned",90050,-1,14965,14,0.00,0.00,0.0009
"US","Vermont","Washington",50023,58409,8227,44,14085.16,753.31,0.0053
"US","Vermont","Windham",50025,42222,5402,33,12794.28,781.58,0.0061
"US","Vermont","Windsor",50027,55062,7093,47,12881.84,853.58,0.0066
