Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Virginia","Accomack",51001,32315,6891,102,21324.46,3156.43,0.0148
"US","Virginia","Albemarle",51003,109330,14897,131,13625.72,1198.21,0.0088
"US","Virginia","Alexandria",51510,159428,29237,176,18338.69,1103.95,0.0060
"US","Virginia","Alleghany",51005,14859,3472,93,23366.31,6258.83,0.0268
"US","Virginia","Amelia",51007,13145,2541,52,19330.54,3955.88,0.0205
"US","Virginia","Amherst",51009,31604,6655,78,21057.46,2468.04,0.0117
"US","Virginia","Appomattox",51011,15911,3557,48,22355.60,3016.78,0.0135
"US","Virginia","Arlington",51013,236842,39510,305,16682.01,1287.78,0.0077
"US","Virginia","Augusta",51015,75557,18372,179,24315.42,2369.07,0.0097
"US","Virginia","Bath",51017,4147,852,17,20544.97,4099.35,0.0200
"US","Virginia","Bedford",51019,78997,15948,205,20188.11,2595.04,0.0129
"US","Virginia","Bland",51021,6280,1700,20,27070.06,3184.71,0.0118
"US","Virginia","Botetourt",51023,33419,6715,83,20093.36,2483.62,0.0124
"US","Virginia","Bristol",51520,16761,4213,66,25135.73,3937.71,0.0157
"US","Virginia","Brunswick",51025,16231,2993,38,18440.02,2341.20,0.0127
"US","Virginia","Buchanan",51027,21003,4422,93,21054.14,4427.94,0.0210
"US","Virginia","Buckingham",51029,17148,3721,48,21699.32,2799.16,0.0129
"US","Virginia","Buena Vista",51530,6478,1925,39,29715.96,6020.38,0.0203
"US","Virginia","Campbell",51031,54884,10814,179,19703.37,3261.42,0.0166
"US","Virginia","Caroline",51033,30725,6620,71,21545.97,2310.82,0.0107
"US","Virginia","Carroll",51035,29791,6363,132,21358.80,4430.87,0.0207
"US","Virginia","Charles City",51036,6963,1128,26,16199.91,3734.02,0.0230
"US","Virginia","Charlotte",51037,11880,2292,36,19292.93,3030.30,0.0157
"US","Virginia","Charlottesville",51540,47266,9709,66,20541.19,1396.35,0.0068
"US","Virginia","Chesapeake",51550,244834,48650,426,19870.61,1739.95,0.0088
"US","Virginia","Chesterfield",51041,352802,69705,684,19757.54,1938.76,0.0098
"US","Virginia","Clarke",51043,14619,2539,39,17367.81,2667.76,0.0154
"US","Virginia","Colonial Heights",51570,17370,4706,88,27092.69,5066.21,0.0187
"US","Virginia","Covington",51580,5538,977,22,17641.75,3972.55,0.0225
"US","Virginia","Craig",51045,5131,1086,13,21165.46,2533.62,0.0120
"US","Virginia","Culpeper",51047,52605,11319,123,21516.97,2338.18,0.0109
"US","Virginia","Cumberland",51049,9932,1194,22,12021.75,2215.06,0.0184
"US","Virginia","Danville",51590,40044,10614,234,26505.84,5843.57,0.0220
"US","Virginia","Dickenson",51051,14318,3119,40,21783.77,2793.69,0.0128
"US","Virginia","Dinwiddie",51053,28544,5099,73,17863.65,2557.46,0.0143
