Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Washington","Adams",53001,19983,4828,36,24160.54,1801.53,0.0075
"US","Washington","Asotin",53003,22582,4260,58,18864.58,2568.42,0.0136
"US","Washington","Benton",53005,204389,50996,436,24950.46,2133.19,0.0085
"US","Washington","Chelan",53007,77199,19599,146,25387.63,1891.22,0.0074
"US","Washington","Clallam",53009,77331,11135,115,14399.14,1487.11,0.0103
"US","Washington","Clark",53011,488240,82590,719,16915.86,1472.64,0.0087
"US","Washington","Columbia",53013,3985,593,13,14880.80,3262.23,0.0219
"US","Washington","Cowlitz",53015,110593,21501,317,19441.56,2866.37,0.0147
"US","Washington","Douglas",53017,43429,10723,61,24690.87,1404.59,0.0057
"US","Washington","Ferry",53019,7627,1378,23,18067.39,3015.60,0.0167
"US","Washington","Franklin",53021,95222,32094,201,33704.40,2110.86,0.0063
"US","Washington","Garfield",53023,2225,369,7,16584.27,3146.07,0.0190
"US","Washington","Grant",53025,97733,25155,201,25738.49,2056.62,0.0080
"US","Washington","Grays Harbor",53027,75061,15716,184,20937.64,2451.34,0.0117
"US","Washington","Island",53029,85141,9665,65,11351.76,763.44,0.0067
"US","Washington","Jefferson",53031,32221,2784,24,8640.33,744.86,0.0086
"US","Washington","King",53033,2252782,362055,2430,16071.46,1078.67,0.0067
"US","Washington","Kitsap",53035,271472,37998,305,13997.02,1123.50,0.0080
"US","Washington","Kittitas",53037,47935,8144,58,16989.67,1209.97,0.0071
"US","Washington","Klickitat",53039,22425,3408,40,15197.32,1783.72,0.0117
"US","Washington","Lewis",53041,80707,17014,215,21081.19,2663.96,0.0126
"US","Washington","Lincoln",53043,10938,2177,27,19903.09,2468.46,0.0124
"US","Washington","Mason",53045,66768,11752,125,17601.25,1872.15,0.0106
"US","Washington","Okanogan",53047,42242,8059,114,19078.17,2698.74,0.0141
"US","Washington","Pacific",53049,22471,3296,47,14667.79,2091.58,0.0143
"US","Washington","Pend Oreille",53051,13724,2496,30,18187.12,2185.95,0.0120
"US","Washington","Pierce",53053,904979,183839,1243,20314.17,1373.51,0.0068
"US","Washington","San Juan",53055,17582,1066,1,6063.02,56.88,0.0009
"US","Washington","Skagit",53057,129205,21642,179,16750.13,1385.40,0.0083
"US","Washington","Skamania",53059,12083,1437,10,11892.74,827.61,0.0070
"US","Washington","Snohomish",53061,822083,146915,1008,17871.07,1226.15,0.0069
"US","Washington","Spokane",53063,522798,120972,1263,23139.34,2415.85,0.0104
"US","Washington","Stevens",53065,45722,7864,128,17199.60,2799.53,0.0163
"US","Washington","Thurston",53067,290536,45722,349,15737.12,1201.23,0.0076
"US","Washington","Unassigned",90053,-1,3109,5,0.00,0.00,0.0016
"US","Washington","Wahkiakum",53069,4488,526,5,11720.14,1114.08,0.0095
"US","Washington","Walla Walla",53071,60759,14987,126,24666.30,2073.77,0.0084
"US","Washington","Whatcom",53073,229247,36328,253,15846.66,1103.61,0.0070
"US","Washington","Whitman",53075,50104,8563,88,17090.45,1756.35,0.0103
"US","Washington","Yakima",53077,250873,70505,725,28103.86,2889.91,0.0103
