Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","West Virginia","Barbour",54001,16441,4511,67,27437.50,4075.18,0.0149
"US","West Virginia","Berkeley",54003,119171,34844,251,29238.66,2106.22,0.0072
"US","West Virginia","Boone",54005,21457,6363,64,29654.66,2982.71,0.0101
"US","West Virginia","Braxton",54007,13956,3589,38,25716.54,2722.84,0.0106
"US","West Virginia","Brooke",54009,21939,4811,97,21928.98,4421.35,0.0202
"US","West Virginia","Cabell",54011,91945,26470,339,28788.95,3686.99,0.0128
"US","West Virginia","Calhoun",54013,7109,1741,11,24490.08,1547.33,0.0063
"US","West Virginia","Clay",54015,8508,2252,32,26469.21,3761.17,0.0142
"US","West Virginia","Doddridge",54017,8448,2044,16,24195.08,1893.94,0.0078
"US","West Virginia","Fayette",54019,42406,12436,168,29326.04,3961.70,0.0135
"US","West Virginia","Gilmer",54021,7822,2031,17,25965.23,2173.36,0.0084
"US","West Virginia","Grant",54023,11568,3681,53,31820.54,4581.60,0.0144
"US","West Virginia","Greenbrier",54025,34662,8968,130,25872.71,3750.50,0.0145
"US","West Virginia","Hampshire",54027,23174,5635,64,24316.04,2761.72,0.0114
"US","West Virginia","Hancock",54029,28810,6563,133,22780.28,4616.45,0.0203
"US","West Virginia","Hardy",54031,13776,4104,47,29790.94,3411.73,0.0115
"US","West Virginia","Harrison",54033,67256,18767,230,27903.83,3419.77,0.0123
"US","West Virginia","Jackson",54035,28576,6644,122,23250.28,4269.32,0.0184
"US","West Virginia","Jefferson",54037,57146,13881,124,24290.41,2169.88,0.0089
"US","West Virginia","Kanawha",54039,178124,45643,639,25624.28,3587.39,0.0140
"US","West Virginia","Lewis",54041,15907,4993,75,31388.70,4714.91,0.0150
"US","West Virginia","Lincoln",54043,20409,5241,65,25679.85,3184.87,0.0124
"US","West Virginia","Logan",54045,32018,9216,164,28783.81,5122.12,0.0178
"US","West Virginia","Marion",54049,56072,14102,156,25149.81,2782.14,0.0111
"US","West Virginia","Marshall",54051,30531,8505,147,27856.93,4814.78,0.0173
"US","West Virginia","Mason",54053,26516,6319,86,23830.89,3243.32,0.0136
"US","West Virginia","McDowell",54047,17624,5109,61,28988.88,3461.19,0.0119
"US","West Virginia","Mercer",54055,58758,16042,234,27301.81,3982.44,0.0146
"US","West Virginia","Mineral",54057,26868,7641,149,28439.04,5545.63,0.0195
"US","West Virginia","Mingo",54059,23423,7569,108,32314.39,4610.85,0.0143
"US","West Virginia","Monongalia",54061,105611,23666,186,22408.65,1761.18,0.0079
"US","West Virginia","Monroe",54063,13275,4002,37,30146.89,2787.19,0.0092
"US","West Virginia","Morgan",54065,17884,4140,63,23149.18,3522.70,0.0152
"US","West Virginia","Nicholas",54067,24496,6891,86,28131.12,3510.78,0.0125
"US","West Virginia","Ohio",54069,41410,10797,147,26073.41,3549.87,0.0136
"US","West Virginia","Pendleton",54071,6968,1878,16,26951.78,2296.21,0.0085
"US","West Virginia","Pleasants",54073,7460,2004,34,26863.27,4557.64,0.0170
"US","West Virginia","Pocahontas",54075,8246,1938,25,23502.30,3031.77,0.0129
"US","West Virginia","Preston",54077,33432,8788,123,26286.19,3679.11,0.0140
"US","West Virginia","Putnam",54079,56450,16070,159,28467.67,2816.65,0.0099
"US","West Virginia","Raleigh",54081,73360,21723,287,29611.50,3912.21,0.0132
"US","West Virginia","Randolph",54083,28694,9024,66,31449.08,2300.13,0.0073
"US","West Virginia","Ritchie",54085,9554,2295,28,24021.35,2930.71,0.0122
"US","West Virginia","Roane",54087,13687,3008,33,21977.06,2411.05,0.0110
"US","West Virginia","Summers",54089,12573,2673,46,21259.84,3658.63,0.0172
"US","West Virginia","Taylor",54091,16694,4190,60,25098.84,3594.11,0.0143
"US","West Virginia","Tucker",54093,6839,1878,33,27460.15,4825.27,0.0176
"US","West Virginia","Tyler",54095,8591,2116,27,24630.43,3142.82,0.0128
"US","West Virginia","Unassigned",90054,-1,0,0,0.00,0.00,0.0000
"US","West Virginia","Upshur",54097,24175,6460,78,26721.82,3226.47,0.0121
"US","West Virginia","Wayne",54099,39402,9491,101,24087.61,2563.32,0.0106
"US","West Virginia","Webster",54101,8114,2039,28,25129.41,3450.83,0.0137
"US","West Virginia","Wetzel",54103,15064,4140,74,27482.74,4912.37,0.0179
"US","West Virginia","Wirt",54105,5821,1404,20,24119.57,3435.84,0.0142
"US","West Virginia","Wood",54107,83518,21418,314,25644.77,3759.67,0.0147
"US","West Virginia","Wyoming",54109,20394,6609,89,32406.59,4364.03,0.0135
