Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Wisconsin","Adams",55001,20220,4551,48,22507.42,2373.89,0.0105
"US","Wisconsin","Ashland",55003,15562,3172,33,20382.98,2120.55,0.0104
"US","Wisconsin","Barron",55005,45244,13214,132,29206.08,2917.51,0.0100
"US","Wisconsin","Bayfield",55007,15036,3138,38,20869.91,2527.27,0.0121
"US","Wisconsin","Brown",55009,264542,82926,460,31347.01,1738.85,0.0055
"US","Wisconsin","Buffalo",55011,13031,3316,11,25447.01,844.14,0.0033
"US","Wisconsin","Burnett",55013,15414,3880,41,25171.92,2659.92,0.0106
"US","Wisconsin","Calumet",55015,50089,14290,110,28529.22,2196.09,0.0077
"US","Wisconsin","Chippewa",55017,64657,18335,173,28357.33,2675.66,0.0094
"US","Wisconsin","Clark",55019,34774,7531,116,21656.99,3335.83,0.0154
"US","Wisconsin","Columbia",55021,57532,14914,121,25922.96,2103.18,0.0081
"US","Wisconsin","Crawford",55023,16131,4128,28,25590.48,1735.79,0.0068
"US","Wisconsin","Dane",55025,546695,120503,470,22042.09,859.71,0.0039
"US","Wisconsin","Dodge",55027,87838,26637,298,30325.14,3392.61,0.0112
"US","Wisconsin","Door",55029,27668,6874,57,24844.59,2060.14,0.0083
"US","Wisconsin","Douglas",55031,43149,11214,72,25989.01,1668.64,0.0064
"US","Wisconsin","Dunn",55033,45368,13047,66,28758.16,1454.77,0.0051
"US","Wisconsin","Eau Claire",55035,104646,29514,176,28203.66,1681.86,0.0060
"US","Wisconsin","Florence",55037,4295,1063,15,24749.71,3492.43,0.0141
"US","Wisconsin","Fond du Lac",55039,103403,31237,223,30208.99,2156.61,0.0071
"US","Wisconsin","Forest",55041,9004,2644,47,29364.73,5219.90,0.0178
"US","Wisconsin","Grant",55043,51439,12388,140,24082.89,2721.67,0.0113
"US","Wisconsin","Green",55045,36959,8788,50,23777.70,1352.85,0.0057
"US","Wisconsin","Green Lake",55047,18913,4994,59,26405.12,3119.55,0.0118
"US","Wisconsin","Iowa",55049,23678,5089,25,21492.52,1055.83,0.0049
"US","Wisconsin","Iron",55051,5687,1452,45,25531.91,7912.78,0.0310
"US","Wisconsin","Jackson",55053,20642,5579,41,27027.42,1986.24,0.0073
"US","Wisconsin","Jefferson",55055,84769,21072,213,24858.14,2512.71,0.0101
"US","Wisconsin","Juneau",55057,26687,7546,61,28275.94,2285.76,0.0081
"US","Wisconsin","Kenosha",55059,169561,43351,597,25566.61,3520.86,0.0138
"US","Wisconsin","Kewaunee",55061,20434,5804,55,28403.64,2691.59,0.0095
"US","Wisconsin","La Crosse",55063,118016,33752,162,28599.51,1372.70,0.0048
"US","Wisconsin","Lafayette",55065,16665,3563,21,21380.14,1260.13,0.0059
"US","Wisconsin","Langlade",55067,19189,5144,77,26807.02,4012.72,0.0150
"US","Wisconsin","Lincoln",55069,27593,6876,133,24919.36,4820.06,0.0193
"US","Wisconsin","Manitowoc",55071,78981,20169,176,25536.52,2228.38,0.0087
"US","Wisconsin","Marathon",55073,135691,38633,463,28471.31,3412.16,0.0120
"US","Wisconsin","Marinette",55075,40350,11408,106,28272.61,2627.01,0.0093
"US","Wisconsin","Marquette",55077,15574,3743,51,24033.65,3274.69,0.0136
"US","Wisconsin","Menominee",55078,4556,1867,13,40978.93,2853.38,0.0070
"US","Wisconsin","Milwaukee",55079,945726,265144,2058,28036.03,2176.11,0.0078
"US","Wisconsin","Monroe",55081,46252,11689,78,25272.42,1686.41,0.0067
"US","Wisconsin","Oconto",55083,37930,11269,102,29709.99,2689.16,0.0091
"US","Wisconsin","Oneida",55085,35595,8328,124,23396.54,3483.64,0.0149
"US","Wisconsin","Outagamie",55087,187885,53384,343,28413.13,1825.58,0.0064
"US","Wisconsin","Ozaukee",55089,89221,21692,147,24312.66,1647.59,0.0068
"US","Wisconsin","Pepin",55091,7287,1924,17,26403.18,2332.92,0.0088
"US","Wisconsin","Pierce",55093,42754,11265,70,26348.41,1637.27,0.0062
"US","Wisconsin","Polk",55095,43783,12022,117,27458.15,2672.27,0.0097
"US","Wisconsin","Portage",55097,70772,17635,150,24918.05,2119.48,0.0085
"US","Wisconsin","Price",55099,13350,3192,28,23910.11,2097.38,0.0088
"US","Wisconsin","Racine",55101,196311,55521,632,28282.16,3219.38,0.0114
"US","Wisconsin","Richland",55103,17252,3754,39,21759.80,2260.61,0.0104
"US","Wisconsin","Rock",55105,163354,41777,346,25574.52,2118.10,0.0083
"US","Wisconsin","Rusk",55107,14178,3378,47,23825.65,3315.00,0.0139
"US","Wisconsin","Sauk",55111,64442,15647,107,24280.75,1660.41,0.0068
"US","Wisconsin","Sawyer",55113,16558,4464,56,26959.78,3382.05,0.0125
"US","Wisconsin","Shawano",55115,40898,11519,129,28165.19,3154.19,0.0112
"US","Wisconsin","Sheboygan",55117,115340,32008,274,27751.00,2375.59,0.0086
"US","Wisconsin","St. Croix",55109,90687,23902,136,26356.59,1499.66,0.0057
"US","Wisconsin","Taylor",55119,20342,4769,66,23444.11,3244.52,0.0138
"US","Wisconsin","Trempealeau",55121,29649,8201,59,27660.29,1989.95,0.0072
"US","Wisconsin","Unassigned",90055,-1,0,0,0.00,0.00,0.0000
"US","Wisconsin","Vernon",55123,30822,5809,88,18846.93,2855.10,0.0151
"US","Wisconsin","Vilas",55125,22195,5119,83,23063.75,3739.58,0.0162
"US","Wisconsin","Walworth",55127,103868,26278,267,25299.42,2570.57,0.0102
"US","Wisconsin","Washburn",55129,15720,3896,43,24783.72,2735.37,0.0110
"US","Wisconsin","Washington",55131,136034,37485,290,27555.61,2131.82,0.0077
"US","Wisconsin","Waukesha",55133,404198,110215,969,27267.58,2397.34,0.0088
"US","Wisconsin","Waupaca",55135,50990,13415,239,26309.08,4687.19,0.0178
"US","Wisconsin","Waushara",55137,24443,6287,79,25721.07,3232.01,0.0126
"US","Wisconsin","Winnebago",55139,171906,50669,349,29474.83,2030.18,0.0069
"US","Wisconsin","Wood",55141,72998,20443,203,28004.88,2780.90,0.0099
