Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Algeria","","",0,43851043,262632,6753,598.92,154.00,0.0257,5,155,239,185,1.39,36765,781,0.140,0.116,0.0213,271,387,307,2.39,55768,1076,0.212,0.159,0.0193,462,470,466,0.52,2032,79,0.008,0.012,0.0387,485,603,553,3.31,74733,2245,0.285,0.333,0.0300,691,755,734,4.50,49740,608,0.189,0.090,0.0122
"Angola","","",0,32866268,98554,1899,299.86,57.78,0.0193,4,265,291,278,0.75,5894,83,0.060,0.044,0.0142,455,502,488,0.83,11077,234,0.112,0.123,0.0211,572,635,618,1.55,18333,573,0.186,0.302,0.0313,695,737,707,4.52,31935,155,0.324,0.082,0.0049,,,,,,,,,
"Benin","","",0,12123198,26555,163,219.04,13.45,0.0061,4,384,395,389,0.72,923,11,0.035,0.068,0.0121,404,412,407,0.74,717,8,0.027,0.047,0.0107,565,624,589,3.99,15451,48,0.582,0.297,0.0031,712,723,714,0.60,808,1,0.030,0.005,0.0011,,,,,,,,,
"Botswana","","",0,2351625,260634,2603,11083.14,1106.89,0.0100,5,196,309,268,10.57,9353,30,0.036,0.011,0.0032,309,324,317,7.29,2336,5,0.009,0.002,0.0023,324,463,405,18.23,34482,671,0.132,0.258,0.0195,463,666,562,92.29,147712,1711,0.567,0.658,0.0116,666,755,714,61.70,66451,188,0.255,0.072,0.0028
"Burkina Faso","","",0,20903278,20725,375,99.15,17.94,0.0181,2,323,367,334,0.82,6334,42,0.306,0.111,0.0066,708,722,715,0.97,2384,20,0.115,0.053,0.0084,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burundi","","",0,11890781,37928,38,318.97,3.20,0.0010,2,546,633,611,2.45,13598,30,0.359,0.789,0.0022,688,733,714,7.17,16395,0,0.432,0.000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cabo Verde","","",0,555987,55849,400,10045.02,719.44,0.0072,5,80,331,264,18.24,11500,110,0.206,0.274,0.0095,331,396,360,15.34,3552,33,0.064,0.082,0.0093,396,548,462,51.82,18496,154,0.331,0.386,0.0083,548,664,593,17.86,4862,53,0.087,0.133,0.0110,664,755,715,174.12,17548,50,0.314,0.126,0.0029
"Cameroon","","",0,26545863,118779,1916,447.45,72.18,0.0161,5,115,155,149,1.25,9209,174,0.078,0.091,0.0189,377,404,398,0.98,5530,81,0.047,0.042,0.0147,422,492,434,5.22,37672,662,0.317,0.345,0.0176,610,661,617,3.14,20256,392,0.171,0.205,0.0194,725,754,730,1.90,8740,62,0.074,0.032,0.0070
"Central African Republic","","",0,4829764,14192,112,293.84,23.19,0.0079,5,113,180,153,1.97,4303,56,0.303,0.497,0.0129,437,482,454,1.26,1720,25,0.121,0.227,0.0148,558,574,566,9.45,4048,1,0.285,0.008,0.0002,706,707,706,0.50,49,0,0.003,0.000,0.0000,709,739,722,2.02,1762,9,0.124,0.079,0.0050
"Chad","","",0,16425858,7218,190,43.94,11.57,0.0263,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comoros","","",0,869595,8009,160,921.00,183.99,0.0200,5,117,161,149,1.02,274,6,0.034,0.037,0.0219,329,407,363,10.40,2950,138,0.368,0.862,0.0467,435,449,442,0.96,101,0,0.013,0.000,0.0000,640,735,708,19.22,3614,12,0.451,0.077,0.0034,737,754,746,1.80,183,1,0.023,0.004,0.0037
"Congo (Brazzaville)","","",0,5518092,23881,375,432.78,67.96,0.0157,5,157,200,177,1.62,2551,23,0.107,0.060,0.0088,320,345,337,1.31,1191,12,0.050,0.033,0.0103,455,476,460,1.27,1149,9,0.048,0.023,0.0075,605,671,639,2.35,5015,160,0.210,0.425,0.0318,695,737,714,3.79,4442,9,0.186,0.023,0.0019
