Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Afghanistan","","",0,38928340,171553,7505,440.69,192.79,0.0437,4,103,171,134,1.84,31743,918,0.185,0.122,0.0289,301,334,317,0.58,7213,447,0.042,0.060,0.0619,465,569,516,4.65,91793,4369,0.535,0.582,0.0476,732,755,747,1.59,11844,115,0.069,0.015,0.0097,,,,,,,,,
"Armenia","","",0,2963233,409003,8199,13802.59,2766.91,0.0200,5,54,217,157,20.54,43083,861,0.105,0.105,0.0200,217,379,283,69.44,124599,2244,0.305,0.274,0.0180,379,511,430,31.00,56470,1394,0.138,0.170,0.0247,511,700,642,64.57,120138,3432,0.294,0.419,0.0286,700,755,743,105.52,65158,287,0.159,0.035,0.0044
"Azerbaijan","","",0,10139175,753672,9104,7433.27,897.90,0.0121,5,229,384,322,40.85,194095,2617,0.258,0.287,0.0135,384,509,443,21.51,103930,1794,0.138,0.197,0.0173,518,623,584,36.96,152793,1646,0.203,0.181,0.0108,623,704,652,21.63,126867,1698,0.168,0.187,0.0134,704,755,748,65.24,139804,824,0.185,0.090,0.0059
"Bahrain","","",0,1701583,474138,1429,27864.52,839.81,0.0030,4,44,197,155,31.85,42878,156,0.090,0.109,0.0036,197,312,235,41.18,44218,187,0.093,0.131,0.0042,312,664,490,164.05,190613,1053,0.402,0.737,0.0055,664,755,744,425.67,196893,36,0.415,0.025,0.0002,,,,,,,,,
"Bangladesh","","",0,164689383,1920241,28874,1165.98,175.32,0.0150,5,108,263,157,2.24,365263,5310,0.190,0.184,0.0145,263,355,308,1.32,145927,2294,0.076,0.079,0.0157,411,483,440,4.07,233315,3782,0.122,0.131,0.0162,483,618,556,8.35,773279,15310,0.403,0.530,0.0198,713,755,736,8.20,332437,791,0.173,0.027,0.0024
"Bhutan","","",0,771612,7889,5,1022.41,6.48,0.0006,5,206,206,206,0.50,4,0,0.000,0.000,0.0000,213,224,219,0.90,67,0,0.008,0.000,0.0000,330,359,339,2.57,390,1,0.049,0.200,0.0026,443,560,492,3.34,1629,1,0.206,0.204,0.0006,711,755,755,28.36,5221,2,0.662,0.414,0.0004
"Burma","","",0,54409794,550408,19313,1011.60,354.95,0.0351,3,235,375,306,2.68,137125,3101,0.249,0.161,0.0226,509,691,546,10.31,381153,15943,0.692,0.826,0.0418,739,755,755,3.10,15103,3,0.027,0.000,0.0002,,,,,,,,,,,,,,,,,,
"Cambodia","","",0,16718971,124095,3015,742.24,180.33,0.0243,3,436,582,530,5.70,88403,1829,0.712,0.607,0.0207,582,651,612,4.42,28291,976,0.228,0.324,0.0345,744,755,755,1.89,2528,0,0.020,0.000,0.0000,,,,,,,,,,,,,,,,,,
"Georgia","","",0,3989175,1482840,15631,37171.60,3918.35,0.0105,5,223,409,318,107.14,271002,3552,0.183,0.227,0.0131,409,508,471,33.52,81759,1485,0.055,0.095,0.0182,508,610,572,121.66,248390,3670,0.168,0.235,0.0148,610,695,654,117.99,303185,4318,0.204,0.276,0.0142,695,755,745,526.85,582421,2706,0.393,0.173,0.0046
"Indonesia","","",0,273523621,4822203,145203,1762.99,530.86,0.0301,4,162,277,246,1.55,330808,10349,0.069,0.071,0.0313,277,467,372,4.55,1297396,32806,0.269,0.226,0.0253,467,621,541,16.98,2542896,96428,0.527,0.664,0.0379,726,755,750,13.09,549587,1031,0.114,0.007,0.0019,,,,,,,,,
