Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Albania","","",0,2877800,268630,3419,9334.56,1188.06,0.0127,5,62,97,91,0.72,625,25,0.002,0.007,0.0398,124,342,322,27.33,56141,1133,0.209,0.331,0.0202,342,493,384,37.67,75602,1291,0.281,0.378,0.0171,540,683,597,30.12,69007,657,0.257,0.192,0.0095,683,755,726,71.78,67314,310,0.251,0.091,0.0046
"Andorra","","",0,77265,37358,149,48350.48,1928.43,0.0040,5,169,330,277,129.70,6616,28,0.177,0.186,0.0042,330,403,361,89.87,3434,31,0.092,0.208,0.0090,403,506,435,68.75,2960,17,0.079,0.113,0.0057,506,599,546,40.23,1294,3,0.035,0.020,0.0023,599,755,731,635.07,22272,20,0.596,0.133,0.0009
"Austria","","",0,9006400,2327428,14424,25841.93,1601.53,0.0062,5,47,101,64,7.72,15363,589,0.007,0.041,0.0384,155,376,295,78.49,398172,7091,0.171,0.492,0.0178,376,522,430,35.78,235918,2957,0.101,0.205,0.0125,522,695,668,151.21,593578,2701,0.255,0.187,0.0046,695,755,740,364.44,1086595,1067,0.467,0.074,0.0010
"Belarus","","",0,9449321,844418,6279,8936.28,664.49,0.0074,5,70,200,114,10.01,68569,585,0.081,0.093,0.0085,200,424,328,20.09,241584,1572,0.286,0.250,0.0065,424,520,484,14.03,104786,945,0.124,0.150,0.0090,520,706,639,21.50,282127,2446,0.334,0.390,0.0087,706,755,752,81.09,150239,766,0.178,0.122,0.0051
"Bosnia and Herzegovina","","",0,3280815,365597,15124,11143.48,4609.83,0.0414,5,229,372,288,47.82,99466,3995,0.272,0.264,0.0402,372,521,432,48.46,84224,5023,0.230,0.332,0.0596,534,627,603,22.63,35609,1257,0.097,0.083,0.0353,627,684,657,24.85,38350,1883,0.105,0.125,0.0491,684,738,727,70.99,65976,1594,0.180,0.105,0.0242
"Bulgaria","","",0,6948445,1049719,34674,15107.25,4990.18,0.0330,5,134,222,182,3.41,13760,479,0.013,0.014,0.0348,222,364,300,47.83,197173,8044,0.188,0.232,0.0408,364,525,427,52.16,208848,9445,0.199,0.272,0.0452,525,686,644,67.02,287302,11170,0.274,0.322,0.0389,686,755,734,126.17,342322,5545,0.326,0.160,0.0162
"Croatia","","",0,4105268,1023103,14582,24921.71,3552.02,0.0143,5,151,388,322,85.66,234941,5191,0.230,0.356,0.0221,388,528,450,53.20,123191,2936,0.120,0.201,0.0238,528,689,659,128.63,289860,3346,0.283,0.229,0.0115,689,738,732,208.53,277590,2227,0.271,0.153,0.0080,738,755,738,195.14,106867,906,0.104,0.062,0.0085
"Cyprus","","",0,1207361,295639,792,24486.38,655.98,0.0027,5,54,102,73,2.61,835,15,0.003,0.019,0.0179,237,383,346,48.98,30708,191,0.104,0.242,0.0062,383,498,456,68.69,41562,151,0.141,0.191,0.0036,498,622,542,81.91,46997,194,0.159,0.244,0.0041,622,755,714,352.26,175127,238,0.592,0.300,0.0014
"Czech Republic","","",0,10708982,3449340,37974,32209.78,3546.00,0.0110,5,136,315,277,113.88,522974,8160,0.152,0.215,0.0156,315,371,351,109.02,428134,7399,0.124,0.195,0.0173,371,529,406,112.93,717787,14671,0.208,0.386,0.0204,554,702,674,168.60,752956,5153,0.218,0.136,0.0068,702,755,740,329.50,1029929,2540,0.299,0.067,0.0025
"Denmark","","",0,5946704,2444994,4168,41115.11,700.89,0.0017,5,44,157,74,4.94,12812,604,0.005,0.145,0.0471,174,393,330,56.97,193650,1710,0.079,0.410,0.0088,393,519,478,17.43,86777,220,0.035,0.053,0.0025,519,607,569,16.73,63556,100,0.026,0.024,0.0016,607,755,750,762.66,2088784,1539,0.854,0.369,0.0007
